year,devrions_VERB apporter_VERB,devrions_VERB rapporter_VERB
1800,0.0,1.5720821977538435e-08
1801,0.0,7.143547975374531e-09
1802,4.475680270843441e-09,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,1.4040760554223652e-08,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,1.1921177378582115e-09
1819,1.035105001712111e-09,2.070210003424222e-09
1820,0.0,0.0
1821,0.0,1.97229765852569e-09
1822,0.0,1.0025615893027862e-08
1823,1.9765373782121287e-09,0.0
1824,1.6842225392110777e-09,0.0
1825,8.805443041381977e-10,1.7610886082763955e-09
1826,0.0,2.642395191543301e-09
1827,0.0,0.0
1828,0.0,2.7516904310687096e-09
1829,3.429270423183084e-09,0.0
1830,2.0873671680021744e-09,2.0873671680021744e-09
1831,1.5591206103948707e-09,1.5591206548037917e-08
1832,2.705993873419743e-09,0.0
1833,0.0,1.1583628500844156e-09
1834,0.0,0.0
1835,0.0,0.0
1836,0.0,4.704525213838906e-09
1837,0.0,4.174734336004349e-09
1838,3.1560809521380406e-09,1.2624323808552163e-09
1839,0.0,0.0
1840,0.0,4.458782232319436e-09
1841,0.0,1.2841097074556274e-09
1842,2.0124795163667386e-09,6.708265054555795e-10
1843,0.0,2.953455480181333e-09
1844,0.0,0.0
1845,1.674068439427856e-09,2.7901139176833567e-09
1846,2.9272506640865004e-09,1.1709002656346001e-09
1847,0.0,5.393223645455691e-10
1848,0.0,0.0
1849,3.3517659758786067e-09,1.6758829879393033e-09
1850,0.0,0.0
1851,0.0,5.8044946626978344e-09
1852,0.0,1.9531636308300904e-09
1853,0.0,0.0
1854,6.234797567117312e-09,0.0
1855,0.0,0.0
1856,0.0,4.659470143053568e-09
1857,0.0,4.881509085841174e-10
1858,3.9149408159744326e-09,0.0
1859,9.675129142294736e-09,2.5460866748261424e-09
1860,0.0,0.0
1861,1.8863854922557266e-09,5.187560159214399e-09
1862,9.035972525772706e-10,0.0
1863,0.0,1.4983863039219614e-09
1864,0.0,0.0
1865,0.0,1.4120533631256649e-09
1866,0.0,6.3252967308358166e-09
1867,4.85281148598915e-10,3.88224918879132e-09
