year,vous_PRON envoyez_VERB,vous_PRON renvoyez_VERB
1800,6.288328879833216e-08,1.8864986461863964e-08
1801,9.762848662830947e-08,7.857902417640616e-08
1802,1.096541666356643e-07,1.1189200677108602e-08
1803,1.1702035251914822e-07,8.776526438936116e-08
1804,1.2606439980800133e-07,1.5819846321818432e-07
1805,1.5635827121940338e-07,1.2508661662025133e-07
1806,1.671368039524168e-07,1.3543844978869402e-07
1807,5.124519342203371e-08,2.562259560079383e-08
1808,7.478044317110744e-08,4.98536292248275e-08
1809,2.7108365552308555e-08,3.388545621874073e-08
1810,5.8503168975931885e-08,1.6848913109157593e-07
1811,1.0529722516139373e-07,7.019814773912003e-08
1812,1.0668832750582169e-07,6.66802022486479e-08
1813,2.8757416004054903e-08,2.0130190847567064e-08
1814,8.81069599500961e-08,5.349351139827263e-08
1815,9.170560399951455e-08,7.821948222463959e-08
1816,9.965697067571e-08,2.3176038865813098e-08
1817,9.963989899830494e-08,9.029865888354749e-08
1818,9.298518666156497e-08,5.6029534789558966e-08
1819,1.6665189939146785e-07,1.252477037638755e-07
1820,5.007655090594199e-07,1.2815800154442059e-07
1821,1.8440982785250526e-07,1.3806084253609185e-07
1822,1.664252238242625e-07,1.2431763707354548e-07
1823,1.3835762135983032e-07,7.609668895014465e-08
1824,1.4821158700328851e-07,1.0189546184591336e-07
1825,1.4793144487157406e-07,9.774041975774139e-08
1826,2.0434523406720473e-07,5.46095013653769e-08
1827,1.465546439760601e-07,8.11120042243374e-08
1828,1.8436325888160354e-07,2.1646631376270875e-07
1829,9.51622528555518e-08,6.94427257919017e-08
1830,1.1271782973665267e-07,3.1310507075943406e-08
1831,1.418799779884239e-07,1.0446107978623331e-07
1832,1.1229874630203085e-07,6.359085480411864e-08
1833,1.285782751381248e-07,8.108540061613212e-08
1834,1.3908451013122658e-07,8.307732812795621e-08
1835,1.5504330974636105e-07,9.15133639978194e-08
1836,1.5524932539534575e-07,7.460032547257356e-08
1837,1.8160095116570574e-07,2.087367234615556e-08
1838,1.117252637072852e-07,4.670999675937537e-08
1839,1.5800733166315695e-07,5.733009666997191e-08
1840,1.5287252619344827e-07,7.070354524074673e-08
1841,1.6051371609648868e-07,5.6500827128047604e-08
1842,1.5093596772430828e-07,9.928232636013945e-08
1843,1.193196057514001e-07,6.497602278443537e-08
1844,1.0922237247967814e-07,5.598332375456039e-08
1845,1.4564394312799323e-07,4.519984547757261e-08
1846,1.2528632531427775e-07,3.688335681317767e-08
1847,1.8984147409639718e-07,1.0031395891729744e-07
1848,1.769948809737798e-07,1.3033259094186178e-07
1849,9.887709495615127e-08,1.3826034894748318e-07
1850,1.7379830463681856e-07,1.0115604354155039e-07
1851,2.0702697867136521e-07,1.0706068209742625e-07
1852,9.570501546818377e-08,5.4037527341677105e-08
1853,1.5407584186277745e-07,7.106598953754428e-08
1854,1.6210472830735512e-07,1.1066765459588623e-07
1855,8.809515605889828e-08,6.42139355022664e-08
1856,1.3564236134300245e-07,4.4523828623965755e-08
1857,1.1227470508856641e-07,4.637433737020302e-08
1858,1.8595969386581146e-07,5.725601015527104e-08
1859,1.4869146447438197e-07,7.281807956616149e-08
1860,1.496739159279059e-07,4.5314119789807705e-08
1861,1.843941852541775e-07,7.073945473834442e-08
1862,2.087309671772175e-07,9.984749915759039e-08
1863,1.258644424240174e-07,5.3442441583229083e-08
1864,1.8843281246461174e-07,6.424935738991167e-08
1865,1.5626723826045463e-07,4.4715020131036454e-08
1866,2.14573534051965e-07,5.644110834257532e-08
1867,2.0915617859884605e-07,3.930777126015528e-08
1868,2.5539148662545585e-07,1.0670128158807302e-07
1869,1.4797062419802387e-07,5.2742005207662146e-08
1870,1.5252570051416114e-07,6.307453759291093e-08
1871,8.603153212050074e-08,1.2957836448279636e-07
1872,1.9532905604080497e-07,8.284855024243143e-08
1873,1.6700952354398169e-07,6.704324961859243e-08
1874,1.3263632503424105e-07,7.050038774991663e-08
1875,1.6535212932211607e-07,6.122034079680816e-08
1876,1.6626540499942166e-07,6.650616257708464e-08
1877,1.1441909286702412e-07,5.133397384948779e-08
1878,1.0689186646928306e-07,4.106580131502113e-08
1879,1.4479101473341416e-07,6.659164464295486e-08
1880,1.05894459423439e-07,6.161132315440909e-08
1881,1.2968864027129712e-07,3.834879214181797e-08
1882,1.2645231883823271e-07,3.926677072385587e-08
1883,1.1248423348320102e-07,2.527735559754163e-08
1884,1.1354919049466616e-07,2.3766109080725073e-08
1885,1.3471378856877436e-07,5.929984880914674e-08
1886,1.0067403533042807e-07,5.098236344203144e-08
1887,1.3449585356539728e-07,5.223139565302404e-08
1888,1.141310672636564e-07,5.516334877775364e-08
1889,1.284353010611028e-07,6.515742123625046e-08
1890,1.1928983667530701e-07,9.569404024745154e-08
1891,1.0963658514384633e-07,4.0157587477551715e-08
1892,1.7927945705764614e-07,3.384996727362477e-08
1893,1.0715644638281674e-07,4.372475737035586e-08
1894,1.2035940155641356e-07,3.906954315624489e-08
1895,1.2398346171949015e-07,7.101965149303169e-08
1896,1.0083919832482025e-07,4.1279203166766365e-08
1897,1.5324256530391267e-07,4.253501018069983e-08
1898,1.0241622305784404e-07,5.601771402297118e-08
1899,1.2713430308508578e-07,7.406955049304997e-08
1900,1.2198974808086405e-07,5.502516442490446e-08
1901,9.780292931083068e-08,3.185581243236868e-08
1902,9.329539096825101e-08,1.964113566232939e-08
1903,1.1826482548826789e-07,3.7801543228965784e-08
1904,1.0373026526622198e-07,5.2671325967423854e-08
1905,1.0218302648468125e-07,5.212366627205256e-08
1906,8.745113433406004e-08,3.395161840558103e-08
1907,1.2754251343949363e-07,3.8057040852024215e-08
1908,1.0461258970195786e-07,4.0273391732625896e-08
1909,1.2212183708726343e-07,3.1355607332805846e-08
1910,5.771682776156695e-08,2.0307772796712698e-08
1911,8.29978343830362e-08,1.755723388896513e-08
1912,9.845806125952095e-08,3.334029496926405e-08
1913,8.962052611138915e-08,2.8105846094916842e-08
1914,6.897645921100093e-08,3.683208982252495e-08
1915,4.241074325062044e-08,1.2958838335741518e-08
1916,6.482602721291642e-08,3.186363883855847e-08
1917,5.702540661900457e-08,1.8642921206790675e-08
