year,mais_CONJ ajouter_VERB,mais_CONJ rajouter_VERB
1800,2.2009151834367913e-08,0.0
1801,1.1905912922216544e-08,0.0
1802,8.951360541686881e-09,0.0
1803,3.900678446910888e-09,0.0
1804,1.7302956178966156e-08,0.0
1805,5.685755422035754e-09,0.0
1806,8.645007376628655e-09,0.0
1807,8.540865348294346e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,2.25903047379461e-08,0.0
1810,3.2761775070611066e-08,0.0
1811,1.7549536934780008e-08,0.0
1812,2.1337665856435706e-08,0.0
1813,3.163315831500313e-08,0.0
1814,3.776012658107675e-08,0.0
1815,3.5063905334808965e-08,0.0
1816,3.244645441213834e-08,0.0
1817,1.4011860671736542e-08,0.0
1818,1.1921176934492905e-08,0.0
1819,1.2421260464634543e-08,0.0
1820,8.306536791735653e-09,0.0
1821,1.6764530097468366e-08,0.0
1822,2.8071724500478012e-08,0.0
1823,1.2847493291445744e-08,0.0
1824,1.7684337549894735e-08,0.0
1825,7.044354433105582e-09,0.0
1826,1.0569581432307018e-08,0.0
1827,2.6730091473581297e-08,0.0
1828,5.6868266540277546e-08,0.0
1829,4.886710414098161e-08,0.0
1830,1.2524202785968441e-08,0.0
1831,1.2472964883158966e-08,0.0
1832,1.8941957335982806e-08,0.0
1833,4.749287596528262e-08,0.0
1834,1.3068343296396279e-08,0.0
1835,1.4369867074037757e-08,0.0
1836,6.048674894287842e-09,0.0
1837,9.741046858025015e-09,0.0
1838,1.2624324252641372e-08,0.0
1839,2.027527878922797e-08,0.0
1840,7.0066574764382494e-09,0.0
1841,1.540931604537832e-08,0.0
1842,2.3478928135034494e-08,0.0
1843,4.31204498774207e-08,0.0
1844,8.232842019229025e-09,0.0
1845,1.5066615177694587e-08,0.0
1846,1.4050803187615202e-08,0.0
1847,1.9954927488186058e-08,0.0
1848,8.045221600028185e-09,0.0
1849,4.105913387064675e-08,0.0
1850,2.7834883731259197e-08,0.0
1851,2.386292341505225e-08,0.0
1852,1.6276363368206148e-08,0.0
1853,1.1943863231778096e-08,0.0
1854,1.558699302961486e-08,0.0
1855,1.5920811335945473e-08,0.0
1856,1.3460691838940164e-08,0.0
1857,2.0990489346672803e-08,0.0
1858,1.9574704079872163e-08,0.0
1859,2.0368694064742954e-08,0.0
1860,1.3731551673501485e-08,0.0
1861,1.5091084160090418e-08,0.0
1862,1.3102160273392727e-08,0.0
1863,1.548332484446746e-08,0.0
1864,1.7261020390790804e-08,0.0
1865,1.7415324293779122e-08,0.0
1866,2.3841504104282762e-08,0.0
1867,8.73506067478047e-09,4.85281148598915e-10
1868,2.0747470852455763e-08,0.0
1869,1.6115613732381462e-08,0.0
1870,1.3188312664169644e-08,0.0
1871,1.593176635061866e-08,0.0
