year,pouvais_VERB approcher_VERB,pouvais_VERB rapprocher_VERB
1800,6.288328968651058e-09,0.0
1801,2.8574191901498125e-08,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,2.2743021688143017e-08,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,4.680253518074551e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,0.0,0.0
1816,0.0,0.0
1817,1.5568733857662664e-08,0.0
1818,2.384235475716423e-09,0.0
1819,2.070210003424222e-09,0.0
1820,0.0,0.0
1821,1.97229765852569e-09,0.0
1822,0.0,8.02049271442229e-09
1823,0.0,0.0
1824,8.421112696055388e-09,0.0
1825,8.805443041381977e-10,0.0
1826,0.0,1.145037931138404e-08
1827,0.0,0.0
1828,3.668920500743411e-09,3.668920500743411e-09
1829,8.57317605795771e-10,8.57317605795771e-10
1830,3.1310507520032616e-09,6.262101504006523e-09
1831,1.091384405071949e-08,1.5591206103948707e-09
1832,1.3529969367098715e-09,0.0
1833,2.89590715851773e-08,1.1583628500844156e-09
1834,1.0267983796552471e-08,0.0
1835,1.2100940693926532e-08,0.0
1836,1.3441500135158435e-09,0.0
1837,1.3915781860163179e-09,6.957890930081589e-10
1838,1.2624323808552163e-09,1.8936485712828244e-09
1839,1.3283802502428443e-08,0.0
1840,2.5478754661634184e-09,0.0
1841,6.420548537278137e-09,2.5682194149112547e-09
1842,7.379091560011375e-09,0.0
1843,5.31621990873532e-09,0.0
1844,2.195424508855126e-09,0.0
1845,3.9061593959388574e-09,0.0
1846,3.5127007969038004e-09,0.0
1847,7.011190739092399e-09,0.0
1848,5.63165514222419e-09,0.0
1849,8.379414939696517e-10,0.0
1850,2.7155984128057753e-09,0.0
1851,1.9348316282474798e-09,0.0
1852,5.859490670445666e-09,0.0
1853,4.777545470346922e-09,0.0
1854,4.1565315633818045e-09,2.0782657816909023e-09
1855,4.776243400783642e-09,0.0
1856,2.5885946719483854e-09,0.0
1857,4.881508974818871e-09,0.0
1858,2.4468380654951716e-09,9.787352039936081e-10
1859,1.5276520048956854e-09,2.5460866748261424e-09
1860,4.577183909670879e-10,9.154367819341758e-10
1861,3.772770984511453e-09,5.187560159214399e-09
1862,2.2589932147099034e-09,7.228778020618165e-09
1863,7.491931519609807e-09,4.994620828036034e-10
1864,5.753673537611803e-09,0.0
