year,veux_VERB entrer_VERB,veux_VERB rentrer_VERB
1800,9.432493897065797e-09,0.0
1801,5.000483582762172e-08,2.3811825844433088e-09
1802,5.147032311469957e-08,4.475680270843441e-09
1803,2.5354410126965377e-08,5.851017448321727e-09
1804,7.909923027682453e-08,1.2359254952798437e-08
1805,1.421438877713399e-08,2.842877755426798e-08
1806,1.152667650217154e-08,1.4408345627714425e-08
1807,2.2775640928784924e-08,1.4234775136401367e-08
1808,9.064295980465431e-09,0.0
1809,1.581321384946932e-08,9.036122072814123e-09
1810,8.190443878675069e-08,2.574139479349924e-08
1811,2.2563691359778204e-08,2.0056614147279106e-08
1812,4.267533171287141e-08,0.0
1813,6.614205716459765e-08,8.627225156487839e-09
1814,5.034683425719777e-08,1.5733386149463513e-08
1815,3.776112933451259e-08,1.0788894222457657e-08
1816,5.3304887615013286e-08,2.3176038865813098e-09
1817,5.293369653713853e-08,0.0
1818,4.172412104708201e-08,8.344824387052086e-09
1819,4.968504185853817e-08,1.0351049795076506e-08
1820,4.6279275522920216e-08,4.746592452420373e-09
1821,5.325203744632745e-08,2.070912508145284e-08
1822,7.619468078701175e-08,1.2030739071633434e-08
1823,6.522573414713406e-08,4.743689885344793e-08
1824,5.3895121254754486e-08,1.8526447931321854e-08
1825,5.987701001686219e-08,2.553578504205234e-08
1826,5.6371099788066203e-08,1.7615968683770689e-09
1827,5.2538457140371975e-08,4.608636583469661e-09
1828,4.953042775923677e-08,5.503380862137419e-09
1829,3.600733933240008e-08,1.1145129263923081e-08
1830,6.78394300734908e-08,7.305785310052215e-09
1831,5.456922025359745e-08,3.1182412207897414e-09
1832,6.764985016616265e-08,9.470978667991403e-09
1833,2.7800709290204395e-08,1.1583628278799551e-08
1834,3.080395316601425e-08,1.120143711119681e-08
1835,6.277362984974388e-08,1.0588323107185715e-08
1836,6.51912728244497e-08,6.048674894287842e-09
1837,4.731365876864402e-08,6.262101948095733e-09
1838,3.3454458758797045e-08,1.4517972601879592e-08
1839,6.571986688186371e-08,2.23727205650448e-08
1840,4.267691267045848e-08,1.1465439264668476e-08
1841,5.8426991245141835e-08,1.733548060656176e-08
1842,6.77534757187459e-08,2.2137275124123335e-08
1843,3.721353891705803e-08,1.5357969118667825e-08
1844,3.896878553177885e-08,7.683985892015244e-09
1845,5.5802278353667134e-08,1.897277535078956e-08
1846,3.5127008857216424e-08,1.7563504428608212e-08
1847,2.6966118227278457e-08,1.294373674909366e-08
1848,3.942158599556933e-08,5.63165514222419e-09
1849,3.77073661184113e-08,1.1731181359664333e-08
1850,2.647708541303473e-08,1.0862393651223101e-08
1851,1.7413483988093503e-08,9.029214709244116e-09
1852,4.036538214791108e-08,1.6276363368206148e-08
1853,4.001194398028929e-08,1.2541057081705276e-08
1854,4.052618152172727e-08,9.352196350675968e-09
1855,4.776243400783642e-08,1.2736649068756378e-08
1856,6.109083017236117e-08,1.6049286344355096e-08
1857,5.7113656026785975e-08,2.5383847912507917e-08
1858,5.04048642824273e-08,2.6915218498402282e-08
1859,7.230886467368691e-08,2.0877910955618972e-08
1860,5.492620758218436e-08,2.4716793944890014e-08
1861,5.989274143303192e-08,2.7352589526685733e-08
1862,6.415540809712184e-08,1.2198563048571032e-08
1863,3.8958042125614156e-08,1.5982786649715308e-08
1864,4.315254997777629e-08,2.589153069720851e-08
1865,5.742350239756888e-08,3.0594488720225854e-08
1866,7.833637027943041e-08,1.8489329178805747e-08
1867,5.82337378318698e-08,1.2132028714972876e-08
1868,3.1615194018286275e-08,2.0253484223076157e-08
1869,6.25090450512289e-08,2.7347706321734222e-08
1870,5.6193677266946906e-08,2.121598008386627e-08
1871,7.222400455475508e-08,4.5671061599250606e-08
1872,6.047338985126771e-08,3.0236694925633856e-08
