year,vos_DET oies_NOUN,vos_DET rois_NOUN
1937,1.2591118148108649e-09,4.784624862974596e-08
1938,1.2965214457594243e-09,4.2785206488815675e-08
1939,3.058810094103137e-09,1.8352860564618823e-08
1940,0.0,2.2822046474857416e-08
1941,2.9515025978810172e-09,3.836953510472085e-08
1942,3.034211770724937e-09,2.4273694165799498e-08
1943,1.4516175816936538e-08,4.3548528338988035e-08
1944,1.2852744646352221e-08,2.2492303131116387e-08
1945,0.0,2.83205521256491e-08
1946,0.0,5.0115978034170894e-08
1947,2.3841741914054637e-09,3.099426448827103e-08
1948,4.348755133776194e-09,3.3702851398587086e-08
1949,0.0,9.817008095325264e-09
1950,0.0,5.743095066179649e-08
1951,1.0661401761424827e-09,3.4116485636559446e-08
1952,0.0,1.8980646387944944e-08
1953,1.0773827385790469e-09,3.878577825577878e-08
1954,0.0,1.759056522665503e-08
1955,2.815682353940474e-09,4.3173796981932355e-08
1956,3.488456634670456e-09,6.01758785023776e-08
1957,0.0,4.68256993180205e-08
1958,2.4816730892496253e-09,1.8198935247681902e-08
1959,0.0,2.5577467255288866e-08
1960,6.2287499602575735e-09,4.775375028742701e-08
1961,6.948159270159238e-10,4.2383770937348686e-08
1962,2.5367825617905737e-09,1.839167362849281e-08
1963,0.0,3.75031089516753e-08
1964,3.041984220075733e-09,4.50213653024889e-08
1965,2.188817349590977e-09,6.402290902984831e-08
1966,5.539074754423723e-10,3.5450080204668666e-08
1967,2.465167847631733e-09,5.1275491630420333e-08
1968,2.245707841908029e-09,5.6142697046901446e-08
1969,3.6334062425424918e-09,3.633406286951413e-08
1970,2.2993624781975086e-09,5.058597629670203e-08
1971,5.138397485282553e-10,3.083038502271762e-08
1972,0.0,3.591102853972572e-08
1973,2.205281512956958e-09,4.4656949027555015e-08
1974,2.812785782069227e-09,2.025205825262333e-08
1975,1.7134440533084216e-09,1.9990180621931586e-08
1976,1.7140580066410394e-09,2.628222389722268e-08
1977,1.1753563677885381e-09,9.402851330886364e-09
