year,certaines_DET humeurs_NOUN,certaines_DET rumeurs_NOUN
1800,2.2009151834367913e-08,0.0
1801,4.286128785224719e-08,0.0
1802,8.951360541686881e-08,0.0
1803,4.6808139586573816e-08,0.0
1804,2.7190360185613827e-08,0.0
1805,1.1371511021707192e-07,0.0
1806,3.1698359492793315e-08,0.0
1807,2.2775640928784924e-08,0.0
1808,2.7192887053217873e-08,0.0
1809,2.0331274441787173e-08,2.259030518203531e-09
1810,0.0,0.0
1811,1.0028307073639553e-08,0.0
1812,2.9339291440777515e-08,0.0
1813,6.039057476314724e-08,0.0
1814,1.2272040406102747e-07,3.1466771410748606e-09
1815,8.631115377966125e-08,0.0
1816,3.2446456188495176e-08,4.6352077731626196e-09
1817,2.3353100786493997e-08,0.0
1818,7.987188865854478e-08,0.0
1819,1.1386155129855524e-08,5.175524897538253e-09
1820,2.254631326081835e-08,1.1866481131050932e-08
1821,2.9584464655840748e-08,0.0
1822,2.0051231786055723e-08,2.0051231786055723e-09
1823,5.336650943377208e-08,1.9765373782121287e-09
1824,1.0189546628680546e-07,6.736890156844311e-09
1825,2.6416328680056722e-08,0.0
1826,3.699353356978463e-08,0.0
1827,2.2121454890111636e-08,9.217273055917019e-10
1828,1.2841221419535032e-08,0.0
1829,3.8579290873030914e-08,3.429270423183084e-09
1830,1.982998831806526e-08,1.0436835840010872e-09
1831,1.091384405071949e-08,7.795603051974354e-09
1832,8.117981842303834e-09,4.058990921151917e-09
1833,2.0850531967653296e-08,3.59092489077284e-08
1834,3.453776287187793e-08,7.467624740797874e-09
1835,3.100866052818674e-08,7.563087933704082e-09
1836,4.5029024398068884e-08,1.68018754465038e-08
1837,3.061472142462662e-08,9.74104708006962e-09
1838,3.1560809077291196e-08,1.5780404538645598e-08
1839,3.9152260211672285e-08,1.0487212875887053e-08
1840,2.7389662093924017e-08,5.095750932326837e-09
1841,3.33868519497571e-08,7.704658244733764e-09
1842,2.2808102073668124e-08,1.341653010911159e-08
