year,aux_ADP âmes_NOUN,aux_ADP ames_NOUN,aux_ADP rames_NOUN
1800,3.961647352390685e-07,1.0973134383363004e-06,3.144164395507687e-08
1801,2.3573707363944152e-07,1.5906299517531863e-06,5.000483582762172e-08
1802,2.394488944901241e-07,1.0808767569869815e-06,2.4616241489638924e-08
1803,3.3740867766418603e-07,8.75702314884208e-07,8.776526305709353e-08
1804,2.84262853256223e-07,1.3743491287243614e-06,5.438072037122765e-08
1805,3.5251684948889306e-07,1.2991951148233483e-06,2.842877755426798e-08
1806,5.388721522336937e-07,8.039856602692907e-07,1.4408345627714425e-08
1807,1.4804166426074516e-07,1.0989246348458437e-06,1.7081731584767113e-08
1808,3.2404858529844205e-07,9.585492963815057e-07,4.5321478570059526e-08
1809,2.0557177826674433e-07,8.222871201724047e-07,8.358413250419972e-08
1810,4.4228396722800767e-07,1.5678849396572048e-06,8.658469141664682e-08
1811,3.108775299409672e-07,5.089365755495123e-07,4.262030639523573e-08
1812,4.214188962237131e-07,5.734497818821183e-07,5.601137331723294e-08
1813,6.700478252241737e-07,6.757992849770744e-07,3.1633157648869314e-08
1814,4.405347908686963e-07,6.8282894227778e-07,7.866692897096073e-08
1815,5.502336080098758e-07,8.442309864520325e-07,6.473336622292436e-08
1816,6.674699033482057e-07,8.459254328130328e-07,1.1588019432906549e-08
1817,8.158016662207501e-07,1.133403864428395e-06,2.8023721676539992e-08
1818,5.674480640927015e-07,8.082558289324027e-07,5.6029534789558966e-08
1819,7.421702594712087e-07,5.972555729982787e-07,4.34744116262209e-08
1820,1.0667966705568688e-06,9.766113793219233e-07,6.64522934457068e-08
1821,1.4654172151296052e-06,9.595227870029532e-07,1.972297702934611e-08
1822,1.0336409985711725e-06,7.519211777662349e-07,3.909990198280866e-08
1823,8.24216103367803e-07,9.171133177332536e-07,3.5577674140085946e-08
1824,7.68005466333932e-07,6.223202282384932e-07,9.515857168906905e-08
1825,1.060175293332577e-06,7.422988226313265e-07,3.610231535944308e-08
1826,7.240163171218228e-07,6.465060695681757e-07,1.0393421490118016e-07
1827,7.991375792215649e-07,6.479742958864776e-07,2.8573547083965423e-08
1828,9.319058258405732e-07,6.759985904380983e-07,5.870272801189458e-08
1829,6.121247896340165e-07,5.804040381085507e-07,3.9436608478826685e-08
1830,8.756505325280273e-07,7.211853323418893e-07,3.026682482420995e-08
1831,6.033796660087631e-07,5.971431904505664e-07,1.0446107778783187e-07
1832,5.398457894045805e-07,6.724394601143047e-07,7.576783056517655e-08
1833,7.992703796588785e-07,8.108539802931247e-07,4.401778674889556e-08
1834,8.970484159931402e-07,7.766330012426437e-07,6.06744499087597e-08
1835,8.735366563428215e-07,8.939570008692499e-07,6.958040899007756e-08
1836,1.1216931445900968e-06,1.1552968834926958e-06,5.7126375796467954e-08
1837,9.65059488322595e-07,5.427154676773682e-07,2.7135774516295896e-08
1838,1.1216711568451387e-06,4.5005713777968026e-07,6.059675428105038e-08
1839,9.522389099458906e-07,3.642558432659371e-07,6.362242477297997e-08
1840,1.4446453526772984e-06,3.006493027868373e-07,9.554533164646273e-08
1841,1.4099525031951998e-06,3.1717508885975576e-07,4.8796167106957e-08
1842,1.6240710021264704e-06,3.4145069349733603e-07,4.829950794871252e-08
1843,1.6356236738346297e-06,2.1855570359052834e-07,2.1855571574747046e-08
1844,1.977528654606431e-06,3.029685744504462e-07,2.8540519281250454e-08
1845,1.9435933111822123e-06,1.6461672436296482e-07,6.863680690472052e-08
1846,1.7844520066034875e-06,2.207146940769178e-07,4.800691244533084e-08
1847,1.6120344961123578e-06,1.466956831563948e-07,3.66739207890987e-08
1848,1.4312448879394424e-06,2.6307875744535636e-07,4.585776330889857e-08
1849,1.4772907981353e-06,1.2401533822092858e-07,3.4355601030711114e-08
1850,1.5315975581131624e-06,1.7651389150330488e-07,2.851378333446064e-08
1851,1.6626653200901842e-06,1.3414832356062334e-07,6.191461210391935e-08
1852,2.095744665808752e-06,2.5781759482867983e-07,4.687592580765454e-08
1853,1.8680202931165013e-06,6.808002517288969e-08,3.9414750352406713e-08
1854,2.514182043000801e-06,1.5431123384646028e-07,2.857615460927221e-08
1855,2.1546165704933173e-06,1.2471302568428655e-07,6.792879503336735e-08
1856,2.7760088805450778e-06,1.4703217021683201e-07,3.31340110903966e-08
1857,2.026802468080291e-06,1.4595711750331475e-07,2.5871997877402464e-08
1858,2.196281718269688e-06,1.7078930070191234e-07,5.187296703290656e-08
1859,2.1178349278727637e-06,9.01314711754253e-08,4.888486571097417e-08
1860,2.067971582420114e-06,9.932489186681437e-08,2.8836259158282473e-08
1861,2.3556238595290324e-06,1.188422871223338e-07,7.02678613073715e-08
1862,2.2964924433210854e-06,1.5993671320657654e-07,4.472806480748659e-08
1863,2.446864829863671e-06,1.3835099554881936e-07,4.9446746253067886e-08
1864,2.5479183278775963e-06,2.4453112668076926e-07,5.0824116915038076e-08
1865,2.3896648357890626e-06,1.1202289323941628e-07,4.00081777152117e-08
1866,2.2571579236796424e-06,7.055138806499883e-08,7.493043635564689e-08
1867,2.0153726403293604e-06,8.540948215340904e-08,8.58947650783648e-08
1868,1.9033334925921963e-06,8.002595763834108e-08,4.0012981705750406e-08
1869,2.2161409027887657e-06,4.297496825067526e-08,3.320792885119772e-08
1870,2.085473525426096e-06,4.9312819605518143e-08,5.2753247992143315e-08
1871,1.497585939702617e-06,5.629224064662708e-08,3.504988654867702e-08
1872,1.988969991373324e-06,7.559173764715155e-08,1.3908880158730597e-08
1873,1.7922097885758603e-06,7.243065630602175e-08,5.3275440392575035e-08
1874,1.538461853911599e-06,5.496640564928157e-08,4.002988018836362e-08
1875,1.616903617218668e-06,1.0985331799773235e-07,1.94531928343622e-08
1876,1.5858696666981587e-06,7.07383716047616e-08,4.2322105153758116e-08
1877,1.6402131848280987e-06,3.710889440178278e-08,2.659470932364627e-08
1878,1.5894881144618012e-06,3.7442350941940816e-08,2.7779808675632012e-08
1879,1.6904503059578246e-06,3.971061446339519e-08,4.398714081865762e-08
1880,1.6006107994570584e-06,2.2462462112571302e-08,6.225310800189732e-08
1881,1.507456106608629e-06,3.277078564067892e-08,4.113779539238749e-08
1882,1.4934684653411523e-06,5.45741594137894e-08,3.4608003574021495e-08
1883,1.513481649340065e-06,2.3381554137280602e-08,3.981183588352977e-08
1884,1.4074818075471285e-06,3.3668655419205606e-08,5.0172897836375796e-08
1885,1.4850745131411713e-06,4.576401235745209e-08,4.576401319011936e-08
1886,1.4997850250608735e-06,5.29184023267959e-08,3.807543791367607e-08
1887,1.49185930276019e-06,5.288428783778443e-08,3.068594561783655e-08
1888,1.6105160831614285e-06,2.0924028509838877e-08,3.423931871360253e-08
1889,1.4522586759824208e-06,2.9446143023914573e-08,3.257871100670329e-08
1890,1.5474906458479154e-06,3.6704564720935196e-08,7.144281255477836e-08
1891,1.3959541718122637e-06,2.1034926467322634e-08,1.1537338440170686e-07
1892,1.6605288877258317e-06,3.3223115369906964e-08,3.5730520986376746e-08
1893,1.6442971872976386e-06,5.4809906668840114e-08,2.5865349195797194e-08
1894,1.5117392617725045e-06,3.906954448851252e-08,3.08775429669339e-08
1895,1.5317374213452695e-06,4.393588692863659e-08,3.7315410317262376e-08
1896,1.6706283378908893e-06,2.889544237216768e-08,3.774098450426422e-08
1897,1.5936062052190891e-06,5.477110776030969e-08,2.680288169187861e-08
1898,1.6641221503022052e-06,5.941272696041722e-08,6.90319303942033e-08
1899,1.557118839201621e-06,2.65323762960179e-08,4.643165851803133e-08
1900,1.685534963158375e-06,2.751258176836302e-08,4.3604847066447405e-08
1901,1.6581787853908736e-06,2.5708199125062947e-08,3.1855812210324075e-08
1902,1.2565416813714592e-06,2.897067519214147e-08,3.879124221839447e-08
1903,1.4764201665684595e-06,3.726151920346865e-08,1.674068350610014e-08
1904,1.5140319042927786e-06,3.9772226401169064e-08,5.159640092955442e-08
1905,1.574547615845745e-06,2.47716436252432e-08,3.251278357652154e-08
1906,1.5468562750697856e-06,2.6749759185484834e-08,4.218231425268115e-08
1907,1.5377101458824427e-06,3.1371345021735664e-08,3.291419820028452e-08
1908,1.5353001927564947e-06,2.897719530992049e-08,2.8486056180554442e-08
