year,pourrons_VERB établir_VERB,pourrons_VERB rétablir_VERB
1800,1.2576657937302116e-08,0.0
1801,1.1905912700171939e-08,0.0
1802,8.951360541686881e-09,4.475680270843441e-09
1803,1.755305234496518e-08,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,0.0
1807,5.693910232196231e-09,0.0
1808,0.0,2.2660739951163578e-09
1809,2.25903047379461e-08,0.0
1810,3.978215445954447e-08,0.0
1811,2.5070768572277302e-08,5.0141535368197765e-09
1812,1.0668832928217853e-08,0.0
1813,0.0,0.0
1814,1.5733386149463513e-08,0.0
1815,2.4275012222574333e-08,0.0
1816,3.7081662185300956e-08,2.3176038865813098e-09
1817,1.8682481339737933e-08,0.0
1818,2.8610825708597076e-08,2.384235475716423e-09
1819,3.001804671498576e-08,0.0
1820,2.3732962262101864e-09,5.933240565525466e-09
1821,2.9584463767662328e-09,0.0
1822,8.02049271442229e-09,0.0
1823,2.9648061783404955e-09,0.0
1824,1.0105335235266466e-08,8.421112696055388e-10
1825,8.805443485471187e-09,0.0
1826,1.3211976401805714e-08,0.0
1827,9.217273055917019e-10,0.0
1828,8.255071293206129e-09,5.503380862137419e-09
1829,3.429270423183084e-09,0.0
1830,1.982998831806526e-08,0.0
1831,3.1182412207897414e-09,0.0
1832,6.764984572527055e-09,2.0294953273491956e-08
1833,3.01174338801502e-08,0.0
1834,1.6802156110884425e-08,0.0
1835,2.3445572594482655e-08,7.563087933704082e-10
1836,1.1425274948351216e-08,4.704525213838906e-09
1837,1.1132625488130543e-08,9.045257876039159e-09
1838,2.019891809368346e-08,1.2624323808552163e-09
1839,5.5931801412612e-09,0.0
1840,2.5478755105723394e-08,8.280594876453051e-09
1841,1.0914932957462042e-08,4.494383976094696e-09
1842,1.542900918138912e-08,0.0
1843,1.8902115428431898e-08,5.906911071384968e-10
1844,1.4819115712327857e-08,6.037417232818143e-09
1845,1.2834524554250493e-08,5.580227835366713e-09
1846,1.1709002656346001e-08,1.1709002656346001e-09
1847,1.0786447290911383e-08,0.0
1848,1.126331028444838e-08,9.65426583121598e-09
1849,1.9272654583346593e-08,1.6758829879393033e-09
1850,3.733947906425783e-08,0.0
1851,1.805842941848823e-08,5.8044946626978344e-09
1852,2.278690836021724e-08,0.0
1853,7.166318205520383e-09,0.0
1854,2.5978321716024766e-08,1.0391328908454511e-09
1855,1.5920811335945473e-08,2.653468555990912e-09
1856,1.2425253714809514e-08,5.177189232874468e-10
1857,3.124165814938351e-08,0.0
1858,2.6915218498402282e-08,0.0
1859,1.5276519604867644e-08,1.018434669930457e-09
1860,1.785101666484934e-08,5.950338888283113e-09
1861,7.545541969022906e-09,2.357981809808507e-09
1862,1.1294965851504912e-08,4.517986262886353e-10
1863,3.096664968893492e-08,1.4983863039219614e-09
1864,2.0617330065419992e-08,4.794727948009836e-10
1865,2.3534221682552925e-08,3.765475486972036e-09
1866,1.6056523222118813e-08,0.0
1867,2.6690463172940326e-08,3.88224918879132e-09
1868,1.1855697756857353e-08,0.0
1869,1.660396442559886e-08,1.953407657850903e-09
1870,3.2110673231500186e-08,4.587239033071455e-09
1871,9.559059321873065e-09,4.248470908407853e-09
1872,2.116568786902917e-08,1.2094678591978436e-09
1873,2.6338419445437466e-08,5.387403856360606e-09
1874,3.4652732239237594e-08,5.974609251779839e-09
1875,3.1468399441791917e-08,5.721527140956084e-10
1876,3.023007266733657e-08,3.02300739996042e-09
1877,1.2369632429454214e-08,0.0
1878,1.268208649207736e-08,1.2078177347163432e-09
1879,1.1607718342077078e-08,0.0
1880,3.273101611966922e-08,0.0
1881,1.4642266066289267e-08,5.5780060570498335e-09
1882,2.3959387362992857e-08,1.3310770263785798e-09
1883,2.274962085380139e-08,2.5277355764075082e-09
1884,3.3668655419205606e-08,0.0
1885,2.4493415295978593e-08,6.445635691854079e-10
1886,2.1296431285122708e-08,0.0
1887,9.793386546164129e-09,4.570247291724172e-09
1888,1.8387781963724592e-08,3.1703073499755874e-09
1889,1.8168895721260014e-08,4.385595886446936e-09
1890,1.7041404731799048e-08,0.0
1891,4.6531805963923034e-08,0.0
1892,1.56712811616444e-08,1.8805537127519756e-09
1893,3.571881634911733e-08,0.0
1894,1.6384001710889606e-08,0.0
1895,3.250051960890232e-08,2.4074457982692365e-09
1896,2.299841384001411e-08,1.7691086373616827e-09
1897,2.5637540090883704e-08,5.826713556089658e-10
1898,3.1120951149432585e-08,0.0
1899,3.15071986278781e-08,5.527578395003729e-10
1900,3.945200433008722e-08,3.114631885736685e-09
1901,4.526878427668635e-08,1.676621730339889e-09
1902,2.9461702411026636e-08,9.820567692386817e-10
1903,5.34621804604285e-08,0.0
1904,3.439760121182189e-08,5.374625189347171e-10
1905,2.4255568220610257e-08,4.64468330463319e-09
1906,3.806696469155213e-08,1.0288369045596824e-09
1907,1.7485668024619372e-08,3.0857059130084963e-09
1908,3.290630701258124e-08,1.964555629285769e-09
1909,4.015717891547865e-08,0.0
1910,2.9927242906069296e-08,4.275320542035388e-09
1911,2.8730021028877673e-08,5.320374141248863e-10
1912,2.3963337980603683e-08,1.5628263128064646e-09
1913,2.4924052155483878e-08,4.242391771214216e-09
1914,3.8171439342704616e-08,3.3483718020477227e-09
1915,1.4136913861761968e-08,5.890381071793627e-09
1916,2.5271162940043723e-08,5.493730803607377e-09
1917,4.0575770299255964e-08,0.0
1918,2.6418664589300533e-08,9.189101035644853e-09
1919,2.025726608678724e-08,1.012863304339362e-08
1920,4.846228307542333e-08,2.2716695191604686e-09
1921,3.559191341651058e-08,4.543648568500203e-09
1922,4.205423209668879e-08,9.591316185719734e-09
1923,2.1231896241147297e-08,0.0
1924,2.836157442231979e-08,2.578324886925998e-09
1925,3.299453510408057e-08,6.598906754362588e-09
1926,2.6750733184144337e-08,8.916910765321973e-09
1927,2.3413372574054847e-08,0.0
1928,3.884854038460617e-08,4.570416489713125e-09
1929,2.6736975300423182e-08,3.342121912552898e-09
1930,2.7309368988426286e-08,5.2518016602221e-09
1931,3.877821086462063e-08,1.1405356659111021e-09
1932,3.7262424257278326e-08,0.0
1933,2.867665571670841e-08,0.0
1934,4.553000465534751e-08,1.1981580172459871e-09
1935,2.2739740757060645e-08,2.393656828303392e-09
1936,2.9099314957647948e-08,4.849885826274658e-09
1937,1.510934133364117e-08,3.777335333410292e-09
1938,3.241303758727554e-08,3.8895642262559704e-09
1939,3.211750509990452e-08,0.0
1940,3.296517903095264e-08,0.0
1941,5.312704587367989e-08,0.0
1942,4.247896612241675e-08,3.034211770724937e-09
1943,4.645176332473966e-08,0.0
1944,3.213186161588055e-08,3.2131861615880553e-09
1945,1.5249527862692958e-08,6.535512131478072e-09
1946,2.9234318077442367e-08,1.3921104269343232e-09
1947,3.099426493236024e-08,2.3841741914054637e-09
1948,2.6092530802657166e-08,3.2615663503321457e-09
1949,1.9634017078828947e-08,8.835307596655184e-09
1950,2.6588404367089424e-08,3.190608444114673e-09
1951,2.0256663901818683e-08,4.264560704569931e-09
1952,1.7926167217297007e-08,0.0
1953,3.3398865895151175e-08,1.0773827385790469e-09
1954,2.8340354063516315e-08,0.0
1955,1.5016972554349195e-08,0.0
1956,3.1396108823855684e-08,1.744228317335228e-09
