year,les_DET adieux_NOUN,les_DET radieux_ADJ
1800,9.809792964610153e-07,0.0
1801,6.072015692470956e-07,0.0
1802,5.84076275345069e-07,0.0
1803,5.363432822313996e-07,0.0
1804,7.267241839414851e-07,0.0
1805,8.642348241494346e-07,0.0
1806,5.503987976496205e-07,2.881669125542885e-09
1807,7.117388065580599e-07,0.0
1808,8.837688270091348e-07,0.0
1809,6.799681795399692e-07,0.0
1810,8.658469141664682e-07,0.0
1811,7.069956389216259e-07,0.0
1812,8.801786854917282e-07,0.0
1813,1.135917973016376e-06,0.0
1814,1.1170703970719842e-06,0.0
1815,7.417364784600977e-07,0.0
1816,5.654953412204122e-07,0.0
1817,7.083773905236512e-07,0.0
1818,8.309060470779173e-07,0.0
1819,6.873097220250202e-07,0.0
1820,9.101591196269965e-07,0.0
1821,5.739386184089312e-07,0.0
1822,8.712260353149759e-07,1.0025615893027862e-09
1823,7.244009410101171e-07,0.0
1824,9.313750481965144e-07,0.0
1825,1.12797727958025e-06,8.805443041381977e-10
1826,7.345859174279212e-07,3.5231937367541377e-09
1827,7.355384017415645e-07,2.7651818612639545e-09
1828,6.530678504645948e-07,0.0
1829,7.252907021637611e-07,0.0
1830,8.819126326997662e-07,0.0
1831,1.074234074138758e-06,0.0
1832,8.226221173135428e-07,4.058990810129615e-09
1833,8.803557474124091e-07,2.3167257001688313e-09
1834,6.422157170504761e-07,3.733812370398937e-09
1835,6.36811989807029e-07,1.5126175867408165e-09
1836,6.512406880432309e-07,4.704525213838906e-09
1837,6.686533122746141e-07,6.957890930081589e-10
1838,6.21116730492588e-07,6.312161904276081e-10
1839,6.026651702129016e-07,1.0487212875887053e-08
1840,5.923810393326789e-07,1.9109065441114126e-09
1841,6.195829493904625e-07,1.219904177673925e-08
1842,6.245394814641259e-07,1.0733224087289273e-08
1843,6.568485177993466e-07,1.1813822142769936e-09
1844,6.767396172335793e-07,5.488561272137815e-10
1845,7.047827708106524e-07,5.580227946389016e-10
1846,6.668276952837005e-07,1.1709002656346001e-09
1847,5.781535836746343e-07,1.0786447290911383e-09
1848,5.293755833690739e-07,4.82713291560799e-09
1849,6.184008363163684e-07,6.703531951757213e-09
1850,6.673582939598077e-07,1.765138968323754e-08
1851,6.030225279118895e-07,0.0
1852,6.608203406699431e-07,1.1718981340891332e-08
1853,5.404598235614344e-07,2.9859659189668264e-09
1854,6.619276571306898e-07,1.558699391779328e-09
1855,7.1059888284708e-07,7.960405667972736e-09
1856,7.040977285655003e-07,1.5531567143511893e-08
1857,8.244869036388991e-07,7.322263462228307e-09
1858,7.144766893674159e-07,1.0766087354951992e-08
1859,9.303400663185357e-07,1.3748867822016564e-08
1860,9.039938380084322e-07,1.876645328025006e-08
1861,8.20577719551352e-07,6.13075279431996e-09
1862,7.432087327785553e-07,9.487771457372673e-09
1863,8.395957404871979e-07,1.1987090431375691e-08
1864,6.750977039615691e-07,1.630207535630035e-08
1865,6.956716038786226e-07,6.589582213223366e-09
1866,6.709680171468335e-07,8.27154178484335e-09
1867,7.570385900379506e-07,1.455843445796745e-09
