year,aurez_VERB emporté_VERB,aurez_VERB remporté_VERB
1800,0.0,0.0
1801,1.6668277424969347e-08,2.3811825844433088e-09
1802,0.0,2.2378401354217203e-09
1803,0.0,3.900678446910888e-09
1804,0.0,0.0
1805,1.1371510844071508e-08,5.685755422035754e-09
1806,0.0,2.881669125542885e-09
1807,0.0,1.1387820464392462e-08
1808,0.0,0.0
1809,0.0,0.0
1810,2.3401267590372754e-09,2.3401267590372754e-09
1811,0.0,2.5070767684098882e-09
1812,0.0,0.0
1813,3.738464116054274e-08,2.8757416448144113e-09
1814,1.5733386149463513e-08,3.1466771410748606e-09
1815,1.0788894222457657e-08,0.0
1816,0.0,9.270415546325239e-09
1817,0.0,0.0
1818,1.0729059418679299e-08,2.384235475716423e-09
1819,8.280840013696888e-09,0.0
1820,8.306536791735653e-09,9.493184904840746e-09
1821,0.0,3.94459531705138e-09
1822,1.0025615893027862e-09,1.0025615893027862e-09
1823,0.0,9.882686891060644e-10
1824,2.5263338088166165e-09,8.421112696055388e-10
1825,0.0,8.805443041381977e-10
1826,0.0,9.688783109140786e-09
1827,0.0,5.530363722527909e-09
1828,0.0,1.8344602503717056e-09
1829,0.0,8.57317605795771e-10
1830,1.461157062010443e-08,3.1310507520032616e-09
1831,3.1182412207897414e-09,0.0
1832,0.0,4.058990921151917e-09
1833,0.0,4.6334514003376626e-09
1834,5.600718555598405e-09,9.334530925997342e-10
1835,0.0,6.050470346963266e-09
1836,0.0,0.0
1837,0.0,1.3915781860163179e-09
1838,0.0,0.0
1839,1.3982950353153e-09,1.3982950353153e-09
1840,5.095750932326837e-09,1.592422194107712e-08
1841,6.420548537278137e-10,1.2841097074556274e-09
1842,1.341653010911159e-09,2.0124795163667386e-09
1843,0.0,5.906911071384968e-10
1844,0.0,3.841992946007622e-09
1845,5.580227946389016e-10,4.464182357111213e-09
1846,0.0,1.7563503984519002e-09
1847,0.0,5.393223645455691e-10
1848,1.6090443422100975e-09,5.63165514222419e-09
1849,0.0,8.379414939696517e-10
1850,0.0,6.788996032014438e-10
1851,0.0,6.449438760824933e-10
1852,6.510545436100301e-10,1.9531636308300904e-09
1853,2.388772735173461e-09,1.7915795513800958e-09
1854,1.558699391779328e-09,1.0391328908454511e-09
1855,0.0,5.837630823180007e-09
1856,6.73034605824796e-09,5.694908100650764e-09
1857,4.881509085841174e-10,0.0
1858,0.0,4.404308473482388e-09
1859,5.092173349652285e-10,2.5460866748261424e-09
1860,1.8308735638683515e-09,8.696649622663699e-09
1861,1.4147891747029462e-09,2.8295783494058924e-09
1862,6.325180823552046e-09,4.517986262886353e-10
