year,pouvez_VERB envoyer_VERB,pouvez_VERB renvoyer_VERB
1800,6.288328968651058e-09,0.0
1801,4.7623651688866175e-09,0.0
1802,6.713520406265161e-09,0.0
1803,1.3652374342143503e-08,1.1702034896643454e-08
1804,7.4155526164076946e-09,2.4718509461507665e-09
1805,3.695740957709859e-08,2.842877755426798e-08
1806,1.729001475325731e-08,0.0
1807,5.693910232196231e-09,0.0
1808,6.798221985349073e-09,4.5321479902327155e-09
1809,9.036122072814123e-09,6.7770917766551975e-09
1810,9.360507036149102e-09,1.8721014072298203e-08
1811,0.0,5.0141535368197765e-09
1812,0.0,1.0935553973467904e-07
1813,2.300593315851529e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,4.8550024445148665e-08,0.0
1816,1.8540831092650478e-08,4.6352077731626196e-09
1817,4.670620334934483e-09,1.2454987263765815e-08
1818,1.7881765401739358e-08,2.384235475716423e-09
1819,5.796588098405664e-08,3.1053151161586356e-09
1820,4.153268307049984e-08,4.746592452420373e-09
1821,5.5224333550540905e-08,3.94459531705138e-09
1822,6.115625694746996e-08,1.2030739071633434e-08
1823,2.569498569471307e-08,3.9530747564242574e-09
1824,1.6842225392110777e-08,2.2737005167527968e-08
1825,3.3460683113162304e-08,7.044354433105582e-09
1826,7.0463874735082754e-09,6.1655889282974385e-09
1827,4.608636672287503e-08,2.3043183361437514e-08
1828,6.420610709767516e-09,2.7516904310687096e-09
1829,1.0287811491593857e-08,2.571952872898464e-09
1830,1.461157062010443e-08,3.1310507520032616e-09
1831,2.0268567268999504e-08,0.0
1832,1.3529969367098715e-09,2.705993873419743e-09
1833,2.3167257001688313e-09,2.3167256557599103e-08
1834,1.8669061851994684e-09,1.120143711119681e-08
1835,5.294161553592858e-09,9.075705520444899e-09
1836,5.645430078971003e-08,9.409050427677812e-09
1837,3.896418832027848e-08,7.653680356156656e-09
1838,1.1361890983607736e-08,2.5248647617104325e-09
1839,2.6567605004856887e-08,8.38977065598101e-09
1840,8.280594876453051e-09,4.458782232319436e-09
