year,voulez_VERB entrer_VERB,voulez_VERB rentrer_VERB
1800,4.087413785214267e-08,0.0
1801,1.04772034603684e-07,1.1905912700171939e-08
1802,2.2378401354217203e-08,2.2378401354217203e-09
1803,3.315576790896557e-08,1.950339223455444e-09
1804,4.943701981119375e-08,0.0
1805,6.538618890772341e-08,2.842877711017877e-09
1806,4.034336598124355e-08,0.0
1807,4.555128185756985e-08,0.0
1808,2.7192887941396293e-08,4.5321479902327155e-09
1809,3.162642769893864e-08,0.0
1810,1.0998595456612748e-07,4.680253518074551e-09
1811,4.763445815569867e-08,7.521229861140455e-09
1812,1.600324850414836e-08,5.3344164641089264e-09
1813,2.300593315851529e-08,2.8757416448144113e-09
1814,2.5173417128598885e-08,3.1466772298927026e-08
1815,2.4275012222574333e-08,2.697223555614414e-09
1816,5.7940098940889584e-08,0.0
1817,4.203558034987509e-08,3.113746815941454e-09
1818,4.530047448270125e-08,5.960588467246453e-09
1819,1.5526575580793178e-08,5.175524897538253e-09
1820,2.8479554714522237e-08,3.5599443393152796e-09
1821,3.550135829755163e-08,4.930744257336528e-09
1822,6.51665033046811e-08,1.2030739071633434e-08
1823,7.115534828017189e-08,7.906149512848515e-09
1824,6.231623217445303e-08,4.210556348027694e-09
1825,4.402721387464226e-08,2.641632912414593e-09
1826,4.844391554570393e-08,1.7615968683770689e-09
1827,3.2260455640198415e-08,3.6869092223668076e-09
1828,4.677873732816806e-08,9.172301140836225e-09
1829,5.486832677092934e-08,1.714635211591542e-09
1830,3.5485243188304594e-08,1.0436835840010872e-09
1831,6.080570358335535e-08,1.5591206103948707e-09
1832,4.19429042608499e-08,4.058990921151917e-09
1833,1.9692167896323554e-08,6.950177322551099e-09
1834,3.547121707470069e-08,4.667265685043276e-09
1835,6.352993864311429e-08,1.285724948729694e-08
1836,5.981467410265395e-08,2.688300027031687e-09
1837,5.5663129217009555e-08,7.653680356156656e-09
1838,5.5547026533986354e-08,5.049729523420865e-09
1839,3.4957377437194737e-08,2.0974426639952526e-09
1840,3.503328827036967e-08,3.821813088222825e-09
1841,5.906904476660202e-08,5.1364388298225094e-09
1842,5.634942823462552e-08,3.3541325272778977e-09
1843,5.198081609592009e-08,1.063243981747064e-08
1844,7.135129465041246e-08,7.683985892015244e-09
1845,6.194053270291988e-08,3.348136878855712e-09
1846,6.849766265304424e-08,7.025401593807601e-09
1847,3.829188699455699e-08,8.629157832729106e-09
1848,6.194820656446609e-08,1.126331028444838e-08
1849,5.865590324560799e-08,2.262441967104678e-08
1850,6.653215933738466e-08,3.394498016007219e-09
1851,7.28786559989203e-08,2.579775504329973e-08
1852,5.468858077506411e-08,9.114764054629632e-09
1853,5.4941772020811186e-08,6.569124799682413e-09
1854,1.0027632413311949e-07,8.313063126763609e-09
1855,6.792879503336735e-08,1.0083180512765466e-08
1856,9.215396801209863e-08,1.0354378465748937e-09
1857,5.613735609699688e-08,4.881509085841174e-10
1858,5.725600971118183e-08,1.0276719919488642e-08
1859,6.314294864750991e-08,7.129042689513199e-09
1860,5.309533435138292e-08,2.746310290291376e-09
1861,4.8574428035408346e-08,4.715963619617014e-09
1862,4.563166200455271e-08,2.710791813242963e-09
1863,6.493007020935693e-08,1.9978483312144135e-09
1864,4.794727814783073e-08,8.63051052846231e-09
1865,6.636650340396955e-08,5.6482134525026595e-09
1866,7.97960524323571e-08,4.865612801552288e-09
1867,5.338092634588065e-08,1.94112459439566e-09
1868,5.9278487896108345e-08,6.915823469455518e-09
1869,6.543915986867432e-08,1.2697149998075474e-08
1870,5.447346396181274e-08,2.2936195165357276e-09
1871,9.877695106297324e-08,2.1242354542039266e-09
1872,8.526748729309475e-08,1.814201766592305e-08
1873,8.32054638522095e-08,1.1373408881354408e-08
1874,5.257655999457711e-08,1.4936523129449597e-08
1875,7.209123964457831e-08,1.3731664694205392e-08
1876,3.627608791134662e-08,7.255217759905008e-09
1877,3.7727378554563984e-08,5.566334504436554e-09
1878,4.891661831152305e-08,9.662541877730746e-09
1879,3.9099681714560575e-08,3.665595160740054e-09
1880,2.8238524407697696e-08,4.492492600149944e-09
1881,3.2770785196589713e-08,6.2752567586699115e-09
1882,4.3925542314582344e-08,1.7304001787010748e-08
1883,3.917990198942789e-08,1.2638677882037541e-09
1884,2.706695667598069e-08,4.621187876807653e-09
1885,3.222817923642651e-08,2.5782542767416317e-09
1886,3.87207848007165e-08,9.034849313138693e-09
1887,3.003305337756501e-08,6.528924623161458e-10
1888,2.8532765483646472e-08,3.804368819970705e-09
1889,3.3205225236088154e-08,1.6915869593958632e-08
1890,4.3258950199742685e-08,9.831579994568074e-09
1891,3.1233678754460925e-08,8.286486163910922e-09
1892,4.7013841708576365e-08,7.522214851007902e-09
1893,4.187723234849727e-08,5.542574843531156e-09
1894,2.835692747282792e-08,8.822155450616265e-09
1895,2.467631965430428e-08,1.0833506536300774e-08
1896,2.94851449922362e-08,1.0024948871034667e-08
1897,4.253501018069983e-08,6.992056267307589e-09
1898,3.055511754723739e-08,2.8291773368493978e-09
1899,2.819064981451902e-08,4.9748205555033564e-09
