year,très_ADV emporté_VERB
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,7.4155526164076946e-09
1805,0.0
1806,0.0
1807,0.0
1808,6.798221985349073e-09
1809,9.036122072814123e-09
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,1.2586708564299443e-08
1815,0.0
1816,4.6352077731626196e-09
1817,1.556873407970727e-09
1818,1.1921177378582115e-09
1819,2.070209959015301e-08
1820,1.0679833017945839e-08
1821,0.0
1822,1.2030739071633434e-08
1823,3.9530747564242574e-09
1824,5.894778887238772e-09
1825,1.7610886082763955e-09
1826,8.80798456392995e-09
1827,1.1060727445055818e-08
1828,6.420610709767516e-09
1829,5.143905745796928e-09
1830,1.0436835840010872e-09
1831,0.0
1832,0.0
1833,4.6334514003376626e-09
1834,9.334530925997342e-10
1835,2.0420337421001022e-08
1836,1.344150035720304e-08
1837,5.5663127440652715e-09
1838,8.2058102535143e-09
1839,1.3982950353153e-09
1840,0.0
1841,1.926164561183441e-09
1842,2.683306021822318e-09
1843,1.1813822142769936e-09
1844,1.6465684371524958e-09
1845,2.2320911785556063e-09
1846,5.854501328173001e-10
1847,2.6966118227278457e-09
1848,4.82713291560799e-09
1849,4.1897072478036534e-09
1850,6.788996032014438e-10
1851,0.0
1852,5.208436348880241e-09
1853,1.7915795513800958e-09
1854,0.0
1855,6.8990182455763716e-09
1856,0.0
1857,1.4644527812635033e-09
1858,1.468102750479261e-09
1859,6.110608019582742e-09
1860,9.612086238064421e-09
1861,5.659156698811785e-09
1862,8.584174260306554e-09
1863,9.989241656072068e-10
1864,2.3973640850272204e-09
1865,4.706844247692743e-09
1866,1.1190909532388105e-08
1867,9.7056229719783e-10
1868,2.4699371437009177e-09
1869,1.4650557433881772e-09
1870,4.587239033071455e-09
1871,2.1242354542039266e-09
1872,6.652073114565837e-09
1873,1.1972008939764578e-09
1874,5.974609140757536e-10
1875,2.8607636259891933e-09
1876,5.441413541973361e-09
1877,5.566334504436554e-09
1878,0.0
1879,7.331190321480108e-09
1880,1.0910338410496934e-08
1881,6.9725074602899895e-09
1882,1.1314154946262533e-08
1883,8.847074184359371e-09
1884,3.300848483434038e-09
1885,9.023890079618013e-09
1886,1.1616235084943582e-08
1887,1.1099172247952538e-08
1888,1.3315291091942072e-08
1889,1.4409814674820609e-08
1890,1.835228202740069e-08
1891,2.8046567734918426e-08
1892,2.1312942521944933e-08
1893,1.6011883430255835e-08
1894,3.5288621136331244e-08
1895,1.9259566386153892e-08
1896,9.435246361988447e-09
1897,1.8645483379486905e-08
1898,2.4330926606808134e-08
1899,1.9899282222013426e-08
1900,1.2977633190303095e-08
1901,6.706486921359556e-09
1902,4.910283735171106e-09
1903,1.836074892125339e-08
1904,6.987012746151322e-09
1905,1.2901897328276846e-08
1906,5.658602919567102e-09
1907,6.685696440911215e-09
1908,6.384805573134145e-09
1909,1.320236009405562e-08
1910,2.351426242608312e-08
