year,deux_DET oies_NOUN,deux_DET rois_NOUN
1800,3.458580932758082e-08,2.1694734764210466e-07
1801,5.23860170797974e-08,1.1834477895433793e-06
1802,1.1860552717735118e-07,8.503792798819632e-07
1803,9.751696339321825e-09,7.762350335838164e-07
1804,7.4155528384522995e-09,4.745953976481587e-07
1805,5.970043304159844e-08,8.244345082175641e-07
1806,5.76333825108577e-09,6.88718932551069e-07
1807,0.0,5.01064103985982e-07
1808,2.039466551195801e-08,8.58842042816832e-07
1809,4.518061036407062e-09,8.268051594484405e-07
1810,2.3401266702194334e-08,9.126494617817116e-07
1811,0.0,8.824910473492764e-07
1812,7.468182872116813e-08,6.161251242531307e-07
1813,2.8757416448144113e-09,5.636453543900188e-07
1814,9.440031423224582e-09,7.048556760480551e-07
1815,2.697223555614414e-09,6.014808562326834e-07
1816,1.622322720606917e-08,5.469545136804754e-07
1817,7.784366928831332e-09,9.730458678802734e-07
1818,9.536941902865692e-09,8.309060479660957e-07
1819,1.6561680027393777e-08,8.932956401253023e-07
1820,3.322614805512103e-08,7.511482564837024e-07
1821,1.577838126820552e-08,1.0423593250763474e-06
1822,1.604098542884458e-08,7.830006154563307e-07
1823,3.95307486744656e-09,7.036473093080531e-07
1824,1.2631669044083083e-08,9.616910681131685e-07
1825,1.1447076175841175e-08,8.594112550497357e-07
1826,1.8496766784892316e-08,1.0093950137957108e-06
1827,9.217273166939322e-09,9.668919531691245e-07
1828,0.0,6.594884318644745e-07
1829,2.914879759785549e-08,7.072870076285653e-07
1830,1.982998831806526e-08,7.51452155611787e-07
1831,6.236482441579483e-09,7.218728512725647e-07
1832,2.1647950210201827e-08,8.61859065892645e-07
1833,2.548398292390175e-08,5.641226952235456e-07
1834,1.7735608537350345e-08,6.534171461680671e-07
1835,2.2689263801112247e-09,9.794199016255334e-07
1836,4.099657546774438e-08,7.72886245670179e-07
1837,1.5307360268224102e-08,6.77698556827977e-07
1838,2.651107999795954e-08,8.988518338526319e-07
1839,1.2584655206815398e-08,6.306310531556392e-07
