year,elles_PRON appellent_VERB,elles_PRON rappellent_VERB
1800,3.144164573143371e-08,9.432493763839034e-08
1801,4.286128607589035e-08,7.38166612279656e-08
1802,6.042168365638645e-08,3.3567602031325805e-08
1803,8.386458816289633e-08,1.6772917277307897e-07
1804,3.2134061411781545e-08,9.887404095465513e-08
1805,7.391481915419718e-08,1.2224374756897305e-07
1806,1.729001475325731e-08,1.3543844801233718e-07
1807,4.839823652957875e-08,1.5088861893275407e-07
1808,6.798221896531231e-08,1.9714844334828285e-07
1809,9.036122294858728e-08,1.0617443813032423e-07
1810,2.8081521108447305e-08,3.042164697930616e-08
1811,6.769107230297777e-08,1.6045291850730337e-07
1812,7.734904095002548e-08,1.0135391548260486e-07
1813,5.176334849643638e-08,1.552900528167811e-07
1814,1.5733386149463513e-08,9.125363531481412e-08
1815,4.8550024001059455e-08,1.4025562933284164e-07
1816,5.0987285504788815e-08,1.0197457100957763e-07
1817,8.095741899083464e-08,7.161617610051962e-08
1818,5.12610629499477e-08,8.225612546652883e-08
1819,8.384350458356948e-08,8.901902859292932e-08
1820,9.018525926052234e-08,8.662530959213655e-08
1821,6.212737524435852e-08,1.193240102281834e-07
1822,4.511527151862538e-08,9.42407893944619e-08
1823,3.953074600993034e-08,1.2155704709471138e-07
1824,4.547400678234226e-08,9.852702209656172e-08
1825,7.484626873832667e-08,1.47050897680856e-07
1826,5.2847906495401276e-08,6.605988545071995e-08
1827,4.424290978022327e-08,1.1521591503083073e-07
1828,9.447470183943096e-08,1.3116390995548954e-07
1829,5.74402791997386e-08,1.1145128553380346e-07
1830,5.740259689801519e-08,1.0958677876260481e-07
1831,9.042899407063487e-08,1.2317052977550702e-07
1832,1.0553376128541458e-07,1.0823975316043288e-07
1833,1.1351955997440655e-07,1.7259606188702037e-07
1834,6.067444946467049e-08,1.1108091868550218e-07
1835,8.092504089063368e-08,1.4521128832711838e-07
1836,7.728862572164985e-08,1.2298972862367918e-07
1837,6.122943929653957e-08,1.1689256496083544e-07
1838,7.385229405798555e-08,1.546479673208978e-07
1839,9.368577025270497e-08,1.4682097670970506e-07
1840,4.458782187910515e-08,1.4841375062246698e-07
1841,8.08989106815261e-08,1.1685398249028367e-07
1842,9.32448820378795e-08,1.5563174571298077e-07
1843,1.0041748765843295e-07,1.6952834336336764e-07
1844,9.275668233499346e-08,1.4764230016339752e-07
1845,6.752075787375134e-08,1.261131536978155e-07
1846,6.264316620985255e-08,1.4460617947520404e-07
1847,9.384208965457219e-08,1.2296550266910344e-07
1848,1.2952807182387005e-07,1.5446825329945568e-07
1849,1.2652916225874833e-07,2.002680190571482e-07
1850,8.689915187432007e-08,1.3442211965752904e-07
1851,1.3027866430093127e-07,1.889685634637317e-07
1852,9.375185427984434e-08,2.109416783468987e-07
1853,9.614810458913325e-08,1.9647655591370494e-07
1854,6.858277146193359e-08,1.4911556966978878e-07
1855,7.695058812373645e-08,1.7672100227628107e-07
1856,1.0561466368130823e-07,1.8379021327064038e-07
1857,8.298565390418844e-08,1.532793874048366e-07
1858,1.0178845855079999e-07,1.9868324585559094e-07
1859,4.939408082549335e-08,2.1387127446814702e-07
1860,8.696649622663699e-08,2.1192361643329605e-07
1861,7.451222749921271e-08,1.9524090077993606e-07
1862,1.292144098385961e-07,2.3177269881102802e-07
1863,8.740586743272161e-08,2.092746100856857e-07
1864,8.438721543768679e-08,2.7377895861491197e-07
1865,1.063746815077593e-07,2.2498715779306622e-07
1866,8.222886016540087e-08,1.7759486325985563e-07
1867,7.424801395927716e-08,2.2468517002494082e-07
1868,7.261614776155056e-08,2.553914839609206e-07
1869,8.057806333283679e-08,2.2561857804248575e-07
1870,1.0952033013822415e-07,1.6456720075552767e-07
1871,6.16028295041815e-08,1.9967812647792016e-07
1872,8.466274703522458e-08,2.0863320315811507e-07
1873,7.781805599904601e-08,1.9095354986120583e-07
1874,5.675878789190847e-08,2.2703514090949284e-07
1875,7.437985072300535e-08,2.0139775003258364e-07
1876,7.07383716047616e-08,2.3337617349739048e-07
1877,7.2362348113586e-08,2.6347315440489183e-07
1878,7.548861180595168e-08,2.2888145423394235e-07
1879,1.203537092209217e-07,2.3704182439132637e-07
1880,8.214843383314019e-08,2.4772886320079124e-07
1881,8.367009485255039e-08,2.433405121848864e-07
1882,8.518892791187227e-08,2.722052521164642e-07
1883,5.687405213450347e-08,2.862660508640147e-07
1884,6.007544328667791e-08,2.1917633574730644e-07
1885,7.154655712326985e-08,2.4686784172445186e-07
1886,1.0777284842333756e-07,2.1231896596418665e-07
1887,1.1295039747949431e-07,2.3765285561694327e-07
1888,1.0144983697557564e-07,2.111424635131698e-07
1889,9.147099433448602e-08,2.7065390639791076e-07
1890,5.702316130395957e-08,2.720070426676102e-07
1891,7.840290727756383e-08,2.403081005297736e-07
1892,7.146104152866428e-08,2.5700900607716903e-07
1893,8.991288247273133e-08,2.882138900872633e-07
1894,6.427570120592918e-08,2.923914195207544e-07
1895,8.967735709575209e-08,2.3653154812564026e-07
1896,7.548196823137232e-08,2.7833976190549947e-07
1897,6.933789098440002e-08,2.9133568091310735e-07
1898,9.166534908899848e-08,2.6254766538613694e-07
1899,6.577818467690122e-08,2.7693168647147104e-07
1900,7.163653670261283e-08,2.9017986946655583e-07
1901,7.209473018576773e-08,2.5819974069918317e-07
1902,5.695929239379893e-08,2.4207699311773467e-07
1903,8.478345669971077e-08,2.4246989838161426e-07
1904,7.685714109584296e-08,2.3433366180825033e-07
1905,7.483100716854096e-08,2.9364719722480004e-07
1906,7.047532868398321e-08,2.4692084821253957e-07
1907,7.971407534057562e-08,2.2011370504060324e-07
1908,8.889614377949329e-08,2.1266315286538884e-07
1909,7.041258776041559e-08,2.7229868493350295e-07
1910,7.535252777302048e-08,2.607945503996234e-07
1911,9.310654647265437e-08,2.3250034786315155e-07
1912,8.699733733408266e-08,2.6724330837168964e-07
1913,9.704471359839317e-08,2.465890247549396e-07
1914,8.170027321341422e-08,2.3505570823090238e-07
1915,5.419150461705158e-08,1.9320449951010232e-07
1916,7.91097249930317e-08,2.3623043432507984e-07
1917,7.676496949216016e-08,1.864292187292449e-07
1918,6.547234665532642e-08,2.3661934989149813e-07
1919,9.023691305287684e-08,2.7807702451809746e-07
1920,6.512119199442168e-08,2.453403027402601e-07
1921,9.314479498812034e-08,1.9461961642264214e-07
1922,7.377935418162451e-08,2.2133805543944618e-07
1923,6.688047449188161e-08,2.2611969541230792e-07
1924,7.348226027659166e-08,2.2044677905341814e-07
1925,9.56841468280345e-08,2.3096173862313663e-07
1926,8.805449169813073e-08,2.5301733330707066e-07
1927,7.135503921062991e-08,2.9768430920285027e-07
1928,9.140833334697618e-08,2.3651904967891824e-07
1929,8.132496631674258e-08,2.662557179178293e-07
1930,9.348207541393094e-08,2.2897855700421132e-07
1931,1.0036713860017699e-07,1.8818838043443975e-07
1932,1.0192369082062669e-07,2.41109802345818e-07
1933,7.455930273181366e-08,1.6747166853292583e-07
1934,8.986185306980587e-08,2.0728133875991261e-07
1935,7.899067711036878e-08,2.0944496981201155e-07
1936,8.851041499724488e-08,1.9884532065361782e-07
1937,5.791914325925518e-08,2.518223638503514e-07
1938,8.168085052773222e-08,2.242982191091869e-07
1939,9.329370698196726e-08,2.58469448510823e-07
1940,9.128818589942966e-08,2.2568468693862087e-07
1941,7.378756272657938e-08,2.656352364738268e-07
1942,7.888950648293758e-08,2.548737967345005e-07
1943,9.580676341158778e-08,1.6548441195141095e-07
1944,6.747690939334916e-08,2.4420214117526484e-07
1945,1.0021118868053236e-07,2.3092142953373695e-07
1946,8.07424029858339e-08,2.505798732954645e-07
1947,9.536696765621855e-08,1.621238432392147e-07
1948,1.0002136896503089e-07,2.1635057123603474e-07
1949,7.264586265876005e-08,1.7572444477309546e-07
1950,7.976521132491143e-08,1.574033454687651e-07
1951,8.315893396115825e-08,1.4499506306719923e-07
1952,8.752187241611864e-08,2.3093121370720837e-07
1953,7.757155628951296e-08,1.9500627956858807e-07
1954,9.6748109967848e-08,1.7101937999086658e-07
1955,7.133062140951552e-08,1.6424813864546195e-07
1956,9.06998742777887e-08,1.613411200196424e-07
1957,6.979679945118278e-08,2.0939039302447782e-07
1958,1.0588471965888857e-07,1.9108882298723984e-07
1959,9.843449433333262e-08,1.7904227433973574e-07
1960,9.896791652863612e-08,1.9239917037339183e-07
1961,9.518978494327257e-08,1.5702840272524554e-07
1962,1.1035004376935831e-07,1.775747762167157e-07
1963,9.634419129156413e-08,1.6682417935953708e-07
1964,1.0221066659710232e-07,1.3141371368874388e-07
1965,1.0232720981662169e-07,1.389899004777817e-07
1966,9.471817818962336e-08,1.6617224218862248e-07
1967,9.367637687773822e-08,1.4988219732003927e-07
1968,1.1677681399646644e-07,1.441744537089562e-07
1969,1.1445229475270935e-07,1.439737218333903e-07
1970,1.0347131151888789e-07,1.250853216561154e-07
1971,9.711571280490716e-08,1.654563988040536e-07
1972,9.644676168818478e-08,1.2825367079472016e-07
1973,1.190852003674081e-07,1.5492102534153673e-07
1974,1.3838906198770928e-07,1.3613883353968959e-07
1975,1.1822763923419188e-07,1.433581502396919e-07
1976,1.1427053436818824e-07,1.6454957574296714e-07
1977,1.316399149686731e-07,1.6690060178348176e-07
1978,1.2653459435796321e-07,1.3663360221016774e-07
1979,1.3225459483123814e-07,1.480549300936218e-07
1980,1.091548966769551e-07,1.2905291768561256e-07
1981,1.220831080672724e-07,1.3030631862420705e-07
1982,1.384272998450342e-07,1.4277254933858785e-07
1983,1.1493875007317911e-07,1.3893695438582654e-07
1984,1.4613501519988858e-07,1.3569680135105955e-07
1985,1.0948315676273523e-07,1.3474850391048676e-07
1986,1.156935702795181e-07,1.4506655077184405e-07
1987,1.3993770409115314e-07,1.5643691142486205e-07
1988,1.3372315166293447e-07,1.3492246253576923e-07
1989,1.3555661482200776e-07,1.745222846238903e-07
1990,1.1878059424930143e-07,1.6890817988723938e-07
1991,1.1605701288885939e-07,1.453643392324011e-07
1992,1.283816999375631e-07,1.4491153166318327e-07
1993,1.429115528139846e-07,1.4789683433491518e-07
1994,1.1393841603535293e-07,1.5719281520887307e-07
1995,1.3068106596847429e-07,1.4423719107981015e-07
1996,1.1476898365003763e-07,1.4306086626447723e-07
1997,1.5775202655277099e-07,1.443263215605839e-07
1998,1.330308023739235e-07,1.6354682941255305e-07
1999,1.3070775395362944e-07,1.841791075207766e-07
2000,1.4535323700215486e-07,1.7672125807166594e-07
2001,1.397606581576838e-07,1.8532525558612178e-07
2002,1.3012227739750415e-07,1.783157159707116e-07
2003,1.4084199051467294e-07,1.5292607713490725e-07
2004,1.2465559251495506e-07,1.6517967083018448e-07
2005,1.2295236828663292e-07,1.684402306523225e-07
2006,1.2559564055436567e-07,1.758339038815393e-07
2007,1.3341561455604278e-07,1.6537145341999349e-07
2008,1.1495087193225118e-07,1.3794105058195782e-07
2009,1.0966842367565732e-07,1.497212451795349e-07
2010,1.4313092933093685e-07,1.47382344550806e-07
2011,9.024573799365498e-08,1.1663114207749459e-07
2012,8.204249013488152e-08,1.0246800741242623e-07
2013,8.506831505883383e-08,8.367375414763956e-08
2014,7.644021593478101e-08,7.990492534304394e-08
2015,9.265285427773051e-08,9.287450808415088e-08
2016,8.761768555132221e-08,1.0045999232488612e-07
2017,8.35182945024826e-08,8.251205230180858e-08
2018,7.666956136631597e-08,7.899287979284964e-08
2019,8.57131858822413e-08,9.413144752556946e-08
