year,dus_VERB aller_VERB
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,2.842877711017877e-09
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,2.6672082320544632e-09
1813,0.0
1814,0.0
1815,5.394447111228828e-09
1816,0.0
1817,0.0
1818,1.1921177378582115e-09
1819,0.0
1820,5.933240565525466e-09
1821,0.0
1822,1.0025615893027862e-09
1823,3.360113609574e-08
1824,0.0
1825,8.805443041381977e-10
1826,0.0
1827,1.8434546111834038e-09
1828,0.0
1829,8.57317605795771e-10
1830,0.0
1831,6.236482441579483e-09
1832,9.470978667991403e-09
1833,1.0425265983826648e-08
1834,9.334530925997342e-10
1835,5.294161553592858e-09
1836,1.1425274948351216e-08
1837,1.1132625488130543e-08
1838,6.312161904276081e-09
1839,2.0974426639952526e-09
1840,3.821813088222825e-09
1841,6.420548537278137e-10
1842,9.391571076378114e-09
1843,5.906910960362666e-09
1844,6.037417232818143e-09
1845,7.254296274794569e-09
1846,1.7563503984519002e-09
1847,3.775256551818984e-09
1848,6.43617736884039e-09
1849,1.0893239199560867e-08
1850,1.0183494048021657e-08
1851,4.514607354622058e-09
1852,4.557382027314816e-09
1853,7.166318205520383e-09
1854,5.7152309551611324e-09
1855,1.326734277995456e-08
1856,9.836659486950339e-09
1857,1.3180074809326925e-08
1858,6.8511463169329545e-09
1859,2.0877910955618972e-08
1860,8.696649622663699e-09
1861,1.5091083938045813e-08
1862,9.035972525772706e-10
1863,1.0988165932701577e-08
1864,1.1507347075223606e-08
1865,2.3534221238463715e-09
1866,5.352174259343201e-09
1867,1.6014277903764196e-08
1868,9.385760613156435e-09
1869,2.2952539424636598e-08
1870,1.490852596930381e-08
1871,1.911811864374613e-08
1872,1.269941218851045e-08
1873,2.095101514498765e-08
1874,3.2860349108432274e-08
1875,3.032409523484603e-08
1876,2.418405919968336e-08
1877,1.855444864418132e-08
1878,1.8117265909722846e-08
1879,9.774920428640144e-09
1880,8.343199908722454e-09
1881,1.045876096839038e-08
1882,1.1314154946262533e-08
1883,2.0221884611260066e-08
1884,8.582206056928499e-09
1885,1.9981470700258797e-08
1886,1.7424351739236954e-08
1887,2.0892558794116667e-08
1888,2.4728397107764977e-08
1889,3.00726554769426e-08
1890,9.831579994568074e-09
1891,2.2309770031370135e-08
1892,1.4417578242387208e-08
1893,1.6011883374744684e-08
1894,1.3233232287745977e-08
1895,4.1528441130367355e-08
1896,2.4767521367152767e-08
1897,1.631479840114025e-08
1898,9.619203211741478e-09
1899,8.291367592505594e-09
1900,1.972600216504361e-08
1901,1.5089595351014395e-08
1902,7.365425602756659e-09
1903,1.5120615870500842e-08
1904,1.827372564378038e-08
1905,1.2901897328276846e-08
1906,2.1605574218597212e-08
1907,1.131425531042396e-08
1908,1.4734167663732478e-08
1909,1.320236009405562e-08
1910,2.5651923252212327e-08
1911,1.8089272302290738e-08
