year,aurais_VERB apporté_VERB,aurais_VERB rapporté_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,6.713520406265161e-09,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,8.540865792383556e-09,0.0
1808,0.0,0.0
1809,2.259030518203531e-09,1.8072244145628247e-08
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,0.0
1816,6.952811659743929e-09,0.0
1817,7.317304806520042e-08,0.0
1818,1.4305412854298538e-08,1.1921177378582115e-09
1819,0.0,2.070210003424222e-09
1820,1.1866481131050932e-08,0.0
1821,4.930744257336528e-09,3.94459531705138e-09
1822,2.0051231786055723e-09,0.0
1823,4.941343334508019e-09,8.894418535021487e-09
1824,1.6842225392110777e-09,0.0
1825,9.68598712347557e-09,0.0
1826,7.0463874735082754e-09,2.642395191543301e-09
1827,5.530363722527909e-09,0.0
1828,3.668920500743411e-09,3.668920500743411e-09
1829,1.714635211591542e-09,0.0
1830,5.218417697960831e-09,1.0436835840010872e-09
1831,3.1182412207897414e-09,0.0
1832,5.411987746839486e-09,2.705993873419743e-09
1833,6.950177322551099e-09,0.0
1834,7.467624740797874e-09,3.733812370398937e-09
1835,1.1344631900556124e-08,3.025235173481633e-09
1836,1.4785650037651976e-08,6.048674894287842e-09
1837,6.262101948095733e-09,3.478945576063097e-09
1838,3.1560809521380406e-09,2.5248647617104325e-09
1839,4.194885327990505e-09,0.0
1840,6.3696887764308485e-09,1.9109065441114126e-09
1841,3.852329122366882e-09,3.852329122366882e-09
1842,1.341653010911159e-09,1.341653010911159e-09
1843,1.7720733769266417e-09,0.0
1844,8.232841963717874e-09,5.488561272137815e-10
1845,2.7901139176833567e-09,2.2320911785556063e-09
1846,4.6836010625384006e-09,2.3418005312692003e-09
1847,1.6179670936367074e-09,1.6179670936367074e-09
1848,5.63165514222419e-09,2.413566457803995e-09
1849,7.54147322368226e-09,6.703531951757213e-09
1850,2.7155984128057753e-09,0.0
1851,5.159551008659946e-09,1.2898877521649865e-09
1852,3.906327261660181e-09,0.0
1853,9.555090940693844e-09,0.0
1854,6.234797567117312e-09,2.0782657816909023e-09
1855,3.1841622671890946e-09,0.0
1856,1.5531567143511893e-09,3.1063134287023786e-09
1857,4.881508974818871e-09,7.322263684272912e-09
1858,5.3830437884982985e-09,4.404308473482388e-09
1859,1.9350258284589472e-08,4.073738679721828e-09
1860,3.661747127736703e-09,0.0
1861,2.357981809808507e-09,3.772770984511453e-09
1862,2.2589932147099034e-09,0.0
1863,5.9935452156878455e-09,3.496234635136375e-09
1864,9.109982990196386e-09,0.0
1865,1.4120533631256649e-09,1.4120533631256649e-09
1866,4.865612801552288e-09,1.9462451650298362e-09
1867,5.82337378318698e-09,1.455843445796745e-09
1868,3.951899252285784e-09,9.87974813071446e-10
1869,4.883519366671862e-09,7.813630631403612e-09
1870,4.587239033071455e-09,1.834895613228582e-08
1871,1.4869648623516696e-08,3.18635318130589e-09
1872,6.652073114565837e-09,7.861540751719076e-09
1873,2.1549615425442425e-08,0.0
1874,1.1949218503559678e-08,2.9873046258899194e-09
1875,1.602027666081085e-08,1.1443054281912168e-09
1876,1.874264654588842e-08,3.02300739996042e-09
1877,4.329371083855449e-09,1.2369631985365004e-09
1878,9.662541877730746e-09,6.039088673581716e-10
1879,8.55305515301552e-09,4.27652757650776e-09
1880,3.2089231272180996e-09,2.5671385017744797e-09
1881,1.5339516323820135e-08,6.972507571312292e-10
1882,7.320923423037584e-09,4.6587693702804245e-09
1883,1.516641390253426e-08,0.0
1884,1.3203393933736152e-08,2.6406787867472303e-09
1885,1.2891271383708158e-09,3.2228177904158883e-09
1886,9.680196200179125e-09,1.2906927748801422e-09
1887,1.3057849246322917e-09,1.9586774424595887e-09
1888,9.510921827882157e-09,0.0
1889,1.1903759755682586e-08,5.6386229019267375e-09
