year,deux_DET âmes_NOUN,deux_DET ames_NOUN,deux_DET rames_NOUN
1800,8.489244152087849e-08,3.112722986031713e-07,1.2262241000371432e-07
1801,2.8574191901498125e-08,4.690929813477851e-07,7.619784270218588e-08
1802,7.161088433349505e-08,3.0210841828193225e-07,1.0070280609397742e-07
1803,7.216254971353919e-08,1.98934606565615e-07,4.290746247193056e-08
1804,5.6852570651244605e-08,3.435872937274098e-07,5.6852570651244605e-08
1805,1.1087222873129576e-07,3.01345039588341e-07,3.9800287288116465e-08
1806,1.2679343797117326e-07,1.9307183052319488e-07,1.152667650217154e-08
1807,2.562259560079383e-08,1.7935817187009206e-07,4.27043254092041e-08
1808,3.3991110370834576e-08,1.8128591250388126e-07,9.517511045942229e-08
1809,9.93973401364201e-08,2.6882463943778134e-07,1.649092302713484e-07
1810,1.0296557917399696e-07,2.1061141186606847e-07,7.020380365929668e-08
1811,4.7634459487966296e-08,2.0056614413732632e-07,7.270522672797597e-08
1812,1.8937179069311583e-07,3.4406986593182864e-07,9.601949457760384e-08
1813,1.0352670187785407e-07,2.415623043816595e-07,2.0130190847567064e-08
1814,8.496028014448598e-08,1.2272040805783035e-07,3.1466772298927026e-08
1815,2.022917726662854e-07,1.564389611186101e-07,5.394447111228828e-09
1816,1.9236112791531923e-07,1.1124498477954603e-07,5.5622493277951435e-08
1817,1.634717108345285e-07,1.198792493051215e-07,2.9580594862466114e-08
1818,1.323250700124845e-07,2.908767271492252e-07,6.318223921830679e-08
1819,3.7988354861795415e-07,2.504954240700741e-07,3.9333988510747986e-08
1820,1.9935688833072618e-07,1.5307760481420019e-07,9.255855459855411e-08
1821,1.8440982862966138e-07,1.4792232305715913e-07,8.086420510977632e-08
1822,2.175558648787046e-07,1.4837911521681235e-07,7.920236555492011e-08
1823,1.7195874946196454e-07,1.2748666733397584e-07,4.7436898187314114e-08
1824,1.0357968882601654e-07,1.3221146843989118e-07,4.8000342367515714e-08
1825,1.9195865652577027e-07,1.4440926165981693e-07,2.1133062944045378e-07
