year,devrions_VERB avoir_VERB
1800,4.4018303668735825e-08
1801,7.619784270218588e-08
1802,3.1329761895904085e-08
1803,5.460949736857401e-08
1804,4.69651695311768e-08
1805,6.538618890772341e-08
1806,4.610670600868616e-08
1807,3.701041606518629e-08
1808,3.852325747288887e-08
1809,1.581321384946932e-08
1810,1.1700633351097167e-08
1811,3.5099073869560016e-08
1812,2.400487453257938e-08
1813,4.026038169513413e-08
1814,4.72001566720337e-08
1815,1.3486118000116676e-08
1816,1.622322720606917e-08
1817,3.580808893843823e-08
1818,2.8610825708597076e-08
1819,3.1053151161586356e-08
1820,4.9839222526770754e-08
1821,3.8459806006585495e-08
1822,3.408709403629473e-08
1823,4.348382276475604e-08
1824,3.8737120178211626e-08
1825,3.9624492131906663e-08
1826,3.787433300317389e-08
1827,4.147772969531616e-08
1828,6.970948618345574e-08
1829,3.600733933240008e-08
1830,2.922314124020886e-08
1831,2.6505050598757407e-08
1832,2.3000948701223933e-08
1833,6.718504863556518e-08
1834,4.760610750054184e-08
1835,6.579886502322552e-08
1836,6.183090306421946e-08
1837,4.313892532081809e-08
1838,5.807189040751837e-08
1839,5.5232654005976656e-08
1840,5.86011346115356e-08
1841,7.126809009605495e-08
1842,6.77534757187459e-08
1843,6.97015494210973e-08
1844,4.9945906965831455e-08
1845,7.086889297625021e-08
1846,6.966856602730331e-08
1847,7.496581133636937e-08
1848,4.98803736093123e-08
1849,4.357295679824347e-08
1850,7.467895812851566e-08
1851,5.159551008659946e-08
1852,3.841221740685796e-08
1853,4.538668108011734e-08
1854,7.58567040293201e-08
1855,5.73149208094037e-08
1856,7.66223990922299e-08
1857,5.174399575480493e-08
1858,8.172438725750908e-08
1859,5.906921174414492e-08
1860,3.295572525985335e-08
1861,8.724532563064713e-08
1862,4.608346060308577e-08
1863,8.890425107210831e-08
1864,5.513937040291239e-08
1865,7.483882313863433e-08
1866,6.130672147719451e-08
1867,6.066014179850754e-08
1868,7.113418831750096e-08
1869,9.278686263769487e-08
1870,6.880858904878551e-08
1871,7.009977309735405e-08
1872,7.861540751719076e-08
1873,8.679706553493816e-08
1874,5.974609251779839e-08
1875,5.89317288302027e-08
1876,1.0701446484517874e-07
1877,6.370360239316142e-08
1878,6.76377922559368e-08
1879,5.742765907257308e-08
1880,5.198455355071019e-08
1881,5.996356833293248e-08
1882,5.457415852561098e-08
1883,4.549924170760278e-08
1884,8.120087358065575e-08
1885,7.476937469164113e-08
1886,7.292414494486366e-08
1887,1.1099172070316854e-07
1888,6.213802095089704e-08
1889,9.209750828631513e-08
1890,7.406456603575862e-08
1891,5.928024648937935e-08
1892,5.955086734843462e-08
1893,6.343169189904074e-08
1894,6.049477718761409e-08
1895,8.60661870660806e-08
1896,8.019959096827733e-08
1897,8.332200707172888e-08
1898,6.733442603490403e-08
1899,8.567746334620097e-08
1900,9.188163829776386e-08
1901,8.662545525339738e-08
1902,8.200174050898568e-08
1903,7.182293160212794e-08
1904,9.190608807330136e-08
1905,7.999176432349486e-08
1906,6.790323681116206e-08
1907,7.14855232786249e-08
1908,1.1394422472221777e-07
1909,1.1882124795192794e-07
1910,1.2291546624965122e-07
1911,8.512598981269548e-08
1912,1.073140794005667e-07
1913,8.962052788774599e-08
1914,8.370929549528228e-08
1915,9.071186468645465e-08
1916,1.2415831918133335e-07
1917,1.162441023438987e-07
1918,9.763419939190499e-08
1919,1.1233574781499556e-07
1920,1.1736959493191534e-07
1921,6.815472630705699e-08
1922,1.0698006747134059e-07
1923,7.961961046021315e-08
1924,9.153053071031536e-08
1925,9.458432970177455e-08
1926,1.0031524766418443e-07
1927,8.027441822378023e-08
1928,9.369353648480683e-08
1929,8.800920880958074e-08
1930,9.138135226294253e-08
1931,9.694553426697894e-08
1932,9.753987484373283e-08
1933,1.0553009133218438e-07
1934,7.428579351653752e-08
1935,5.984141893122796e-08
1936,5.456121598967911e-08
1937,9.821071955684602e-08
1938,9.464606876008475e-08
1939,9.635251529971356e-08
1940,9.128818589942966e-08
1941,1.121570960549434e-07
1942,9.102635090130207e-08
1943,9.870999662098257e-08
1944,1.4138018400444707e-07
1945,1.241747327185294e-07
1946,1.0023195073927127e-07
1947,7.390939771312333e-08
1948,9.567261116671943e-08
1949,6.675565344949064e-08
1950,7.338399399259288e-08
1951,8.848963517493758e-08
1952,8.014050933979888e-08
