year,voudrais_VERB appeler_VERB,voudrais_VERB rappeler_VERB
1800,6.288328968651058e-09,1.8864987794131594e-08
1801,2.3811825844433088e-09,0.0
1802,1.3427040812530322e-08,0.0
1803,7.801356893821776e-09,0.0
1804,0.0,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,0.0
1807,1.4234775136401367e-08,2.8469551160981155e-09
1808,0.0,6.798221985349073e-09
1809,4.518061036407062e-09,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,5.751483289628823e-09
1814,6.293354282149721e-09,9.440030979135372e-09
1815,0.0,5.394447111228828e-09
1816,0.0,0.0
1817,0.0,1.556873407970727e-09
1818,8.344824387052086e-09,2.384235475716423e-09
1819,3.3123360054787554e-08,0.0
1820,1.1866481131050932e-09,2.3732962262101864e-09
1821,1.676452932031225e-08,3.94459531705138e-09
1822,1.0025615893027862e-09,2.0051231786055723e-09
1823,0.0,0.0
1824,5.894778887238772e-09,9.263223965660927e-09
1825,1.7610886082763955e-09,8.805443041381977e-10
1826,8.80798456392995e-09,4.403992281964975e-09
1827,9.217273055917019e-10,9.217273055917019e-10
1828,4.586150570418113e-09,9.172301140836225e-09
1829,8.57317605795771e-10,1.714635211591542e-09
1830,1.1480519646056564e-08,7.305785310052215e-09
1831,7.795603274018958e-09,0.0
1832,0.0,0.0
1833,5.791814139399776e-09,1.1583628500844156e-09
1834,3.360431222176885e-08,9.334530925997342e-10
1835,3.025235173481633e-09,3.781543966852041e-09
1836,1.2097349788575684e-08,5.376600054063374e-09
1837,3.478945576063097e-09,7.653680356156656e-09
1838,2.019891809368346e-08,7.574594285131298e-09
1839,7.690622361167243e-09,4.894032734625853e-09
1840,1.46502836528839e-08,7.64362617644565e-09
1841,1.219904177673925e-08,7.0626033910059505e-09
1842,3.219967226186782e-08,0.0
1843,1.7720733325177207e-08,1.7720733769266417e-09
1844,1.920996517412732e-08,1.2623690537338916e-08
1845,1.897277535078956e-08,2.2320911785556063e-09
1846,1.9319854160926297e-08,5.854501328173001e-10
1847,2.1033571329098777e-08,3.775256551818984e-09
1848,1.367687652020777e-08,5.63165514222419e-09
1849,2.1786478399121734e-08,1.6758829879393033e-09
1850,3.055048125588655e-08,7.467895635215882e-09
1851,5.095056465620473e-08,5.159551008659946e-09
1852,1.6276363368206148e-08,1.3021090872200602e-09
1853,8.360704129017904e-09,6.569124799682413e-09
1854,3.4810952342922974e-08,1.2989160858012383e-08
1855,2.2819829581521844e-08,4.776243400783642e-09
1856,1.863788057221427e-08,1.0872097000458325e-08
1857,1.8549734193129552e-08,2.9289055625270066e-09
1858,2.838332058274773e-08,3.9149408159744326e-09
1859,6.619825576592575e-09,1.476730293603623e-08
1860,2.0597328287408345e-08,1.1900677776566226e-08
1861,2.9238975685075275e-08,1.5091083938045813e-08
1862,3.975828022362293e-08,3.162590411776023e-09
1863,2.8469338886338846e-08,1.2986014041871385e-08
1864,6.041356925834407e-08,6.712618905169165e-09
1865,5.271665770578693e-08,1.9298061815220535e-08
1866,1.9949013108089275e-08,1.216403244796993e-08
1867,2.1837651686951176e-08,1.94112459439566e-09
1868,4.5940829807022965e-08,1.6301584082611953e-08
1869,4.395167252368992e-08,8.30198221279943e-09
1870,6.995539791887495e-08,1.1468097582678638e-08
1871,4.0360472297606975e-08,1.4869648623516696e-08
1872,5.442605299776915e-08,2.8422494580127022e-08
1873,4.4895035244962855e-08,2.095101514498765e-08
1874,6.153847209589003e-08,9.559374625212058e-09
1875,4.005068987567029e-08,1.6592428764283795e-08
1876,3.869449471949338e-08,2.2974855795609983e-08
1877,4.0201303619369355e-08,1.855444864418132e-08
1878,4.650098262004576e-08,2.2344627481629686e-08
1879,6.231511662235789e-08,2.504823370941267e-08
1880,5.262634061864446e-08,1.7969970400599777e-08
1881,5.159655458442103e-08,2.5101027034679646e-08
1882,5.590523599607877e-08,6.655385131892899e-09
1883,6.003372021723408e-08,2.401348808689363e-08
1884,6.073561564789998e-08,2.6406787867472303e-08
1885,6.574548194748786e-08,3.609556031847205e-08
1886,6.905206362262106e-08,1.2261581083805595e-08
1887,1.0968593500138013e-07,1.9586773092328258e-08
1888,6.404020780337305e-08,2.282621380800265e-08
1889,5.826577265111155e-08,2.192797943223468e-08
1890,6.94764992204e-08,1.1142456735058204e-08
1891,5.673055980537356e-08,3.4420789774003424e-08
1892,7.647584965297938e-08,1.817868522380195e-08
1893,6.83584246985447e-08,3.263960834942736e-08
1894,6.805662167153059e-08,4.663139208105349e-08
1895,1.1977043357092043e-07,3.972285611553161e-08
1896,6.781583294923621e-08,3.951009475144929e-08
1897,6.001514663012131e-08,3.088158351260972e-08
1898,8.544115814856923e-08,5.771521927044887e-08
1899,1.0226020208392583e-07,4.4220627160029835e-08
1900,9.759180130686218e-08,3.5818267463127995e-08
1901,8.494883019238841e-08,4.135666742399735e-08
1902,6.972602761834423e-08,3.977329754434322e-08
1903,8.856360977915756e-08,2.6461078661554893e-08
1904,5.6433563599966874e-08,6.019580212068831e-08
1905,8.515252147844876e-08,4.902721073563043e-08
1906,7.819160430244665e-08,2.6749759740596346e-08
1907,1.0285686613542566e-07,4.422845378826423e-08
1908,8.742272683548435e-08,4.125566732682273e-08
1909,7.701377313651392e-08,3.5206294768386215e-08
1910,7.481811081788692e-08,5.71824116946118e-08
1911,7.076097574554296e-08,5.905615196866165e-08
1912,7.918320221733666e-08,6.459682566628544e-08
1913,1.0818099127618552e-07,4.8787505591008085e-08
1914,1.0446920128970305e-07,7.366418230958516e-08
1915,1.0249262771822032e-07,8.128725426104211e-08
1916,1.2086208300843282e-07,8.789969285771804e-08
1917,9.540789136508465e-08,7.23783983858084e-08
1918,6.432370724951397e-08,9.303964532136888e-08
1919,7.642513821792818e-08,8.839534615390221e-08
1920,7.2693424613135e-08,7.572231908170579e-08
1921,9.768844222435291e-08,5.9067428281878165e-08
