year,petites_ADJ âmes_NOUN,petites_ADJ ames_NOUN,petites_ADJ rames_NOUN
1800,5.65949598296811e-08,1.1633408547595536e-07,3.772997558826319e-08
1801,7.143547975374531e-09,3.2145965178642655e-07,1.6668277424969347e-08
1802,4.2518962573012686e-08,1.4098392853156838e-07,8.951360541686881e-09
1803,6.826187615160961e-08,1.326230716358623e-07,0.0
1804,2.2246657849223084e-08,2.3235398316501232e-07,2.4718509461507665e-09
1805,4.264316544322355e-08,9.665784261869703e-08,5.685755422035754e-09
1806,1.2391177506287931e-07,1.4696512096179504e-07,0.0
1807,3.4163463169534225e-08,1.0533734240425474e-07,4.27043254092041e-08
1808,4.5321478125970316e-08,1.2236799307174806e-07,2.2660739951163578e-09
1809,2.259030518203531e-09,4.0662548883574345e-08,0.0
1810,5.616304221689461e-08,5.616304221689461e-08,2.8081521108447305e-08
1811,4.512738271955641e-08,4.262030373070047e-08,3.008491944456182e-08
1812,4.000812481308458e-08,5.067695596494559e-08,0.0
1813,3.163315653864629e-08,8.052076339026826e-08,5.751483289628823e-09
1814,4.72001566720337e-08,1.0069366851439554e-07,5.034683425719777e-08
1815,3.236668177919455e-08,1.0788894400093341e-07,0.0
1816,6.489290882427667e-08,1.622322720606917e-08,2.0858434979231788e-08
1817,1.5724421587037796e-07,8.562803732736768e-08,1.556873407970727e-09
1818,3.4571413953798924e-08,1.0013788909191135e-07,4.768470951432846e-09
1819,1.3249344021915022e-07,4.45095160728215e-08,2.070209959015301e-08
1820,1.1273156985680544e-07,4.034603762193001e-08,2.3732962262101864e-09
1821,1.0058718025174329e-07,4.437669787193954e-08,1.97229765852569e-09
1822,6.817418807258946e-08,1.0526896687679255e-07,3.5089655625597516e-08
1823,3.4589404229734555e-08,6.324919610278812e-08,1.087095569118901e-08
1824,7.915846111927749e-08,5.894779064874456e-08,3.2000230021367315e-08
1825,1.1359021812040737e-07,6.516027895031584e-08,7.924898959288385e-09
1826,3.963592831723872e-08,8.807984386294265e-08,1.76159691278599e-08
1827,8.664236322841745e-08,5.530363722527909e-08,1.6591091167583727e-08
1828,9.997808092521154e-08,4.1275356466030644e-08,4.586150570418113e-09
1829,4.543783305166471e-08,9.601956918459109e-08,1.1145129263923081e-08
1830,1.07499410262335e-07,5.218418053232199e-08,4.174734336004349e-09
1831,9.198811312671751e-08,5.3010101197514814e-08,3.4300654760954785e-08
1832,3.5177919244233635e-08,6.629684889958298e-08,2.1647950987357945e-08
1833,5.79181431703546e-08,2.7800709290204395e-08,2.3167257001688313e-09
1834,8.494423298088805e-08,6.347480763224667e-08,2.333632664885954e-08
1835,3.100866052818674e-08,6.126101226300307e-08,9.075705520444899e-09
1836,5.040562456315456e-08,3.8308275662757296e-08,1.2097349788575684e-08
1837,5.775049416456568e-08,2.5744196108234974e-08,9.045257876039159e-09
1838,3.850418650586107e-08,2.019891809368346e-08,1.199310784016916e-08
1839,3.705481788074394e-08,3.146163862766116e-08,1.0487212875887053e-08
1840,4.713569623504554e-08,1.9109066329292546e-08,5.286841542329057e-08
1841,1.0144466955352982e-07,8.988767952189392e-09,3.852329122366882e-09
1842,7.915753030829364e-08,1.408735705865638e-08,1.2745703159566801e-08
1843,1.1459407289748924e-07,1.2995204023980023e-08,1.8311423488626133e-08
1844,1.0153838303494922e-07,1.1525978393933656e-08,4.390849017710252e-09
1845,9.263178668561522e-08,4.464182357111213e-09,2.2320911785556063e-09
1846,8.957387209740375e-08,9.367202569166011e-09,1.5807152919933287e-08
1847,6.094342541729247e-08,3.235934187273415e-09,2.1572894581822766e-09
1848,8.367030801537112e-08,1.045878850192139e-08,4.82713291560799e-09
1849,8.379414850878675e-08,8.379414717651912e-09,1.0893239199560867e-08
1850,4.6844071732721204e-08,1.0183494048021657e-08,1.425689166723032e-08
1851,7.28786559989203e-08,8.384270389072412e-09,1.2898877521649865e-08
1852,4.817803755940986e-08,6.510545436100301e-10,1.0416872697760482e-08
1853,6.270528274399112e-08,2.9859659189668264e-09,4.777545470346922e-09
1854,6.546537423268717e-08,1.5586992863081406e-08,8.313063126763609e-09
1855,8.862585332281014e-08,9.021793090369101e-09,1.4328730202350926e-08
1856,8.076415536351078e-08,1.0354378465748937e-09,1.2942972915652717e-08
