year,autres_ADJ règles_NOUN
1800,4.936338200423052e-07
1801,3.500338270345793e-07
1802,5.885519840376219e-07
1803,4.7003175041027134e-07
1804,9.046974458470913e-07
1805,7.960057606393178e-07
1806,5.965055152046261e-07
1807,9.793526096757432e-07
1808,7.614008765699509e-07
1809,7.093355844922655e-07
1810,8.190443878675069e-07
1811,5.239790397126853e-07
1812,8.721771109776455e-07
1813,5.262607132294761e-07
1814,4.436814755592877e-07
1815,5.097752511229459e-07
1816,8.227493744072945e-07
1817,7.083773994054354e-07
1818,5.114185293031426e-07
1819,7.22503302741373e-07
1820,4.4143308741695364e-07
1821,6.271906483057421e-07
1822,7.21844344298006e-07
1823,6.324919596956136e-07
1824,5.835831240474931e-07
1825,5.846814303822612e-07
1826,6.738107942716454e-07
1827,7.392252991955672e-07
1828,8.374311306624804e-07
1829,7.107162942610046e-07
1830,6.815254025571704e-07
1831,5.86229324417431e-07
1832,8.970369549388124e-07
1833,7.239767989553059e-07
1834,6.086114263670339e-07
1835,5.490801697760617e-07
1836,5.62526797365237e-07
1837,5.434112553270865e-07
1838,5.106539022747825e-07
1839,5.984702814432197e-07
1840,5.841004355744417e-07
1841,5.72712921531604e-07
1842,5.541026752986511e-07
1843,6.267232547374491e-07
1844,6.992427188379224e-07
1845,6.171732048199097e-07
1846,6.6331502068806e-07
1847,6.094342506202111e-07
1848,5.873011963419827e-07
1849,5.840452104166616e-07
1850,5.26147175605729e-07
1851,5.546517611865198e-07
1852,6.705861561595583e-07
1853,4.90295626320858e-07
1854,4.748837327817057e-07
1855,4.510896509657414e-07
1856,5.037405275132301e-07
1857,4.7545897718936914e-07
1858,3.8708977667667455e-07
1859,4.4505594409827154e-07
1860,3.6892101196173144e-07
1861,4.084024549655396e-07
1862,4.093295520313234e-07
1863,4.2753953266583267e-07
1864,3.59604591437801e-07
1865,4.6456552915685734e-07
1866,4.841285055068312e-07
1867,3.8531322843482485e-07
1868,3.695025880823266e-07
1869,3.7212417014487187e-07
1870,3.8934192048145633e-07
1871,4.0041836912863005e-07
1872,4.4629364737147625e-07
1873,3.6155466887066723e-07
1874,3.160568311511014e-07
1875,2.729168500081869e-07
1876,3.1922957077767933e-07
1877,3.061483808686205e-07
1878,3.448319690901869e-07
1879,3.445659519929478e-07
1880,4.0560789482668724e-07
1881,3.0888209778812126e-07
1882,3.67377257060042e-07
1883,3.1912660453103925e-07
1884,3.0961958330522066e-07
1885,3.4484150868152597e-07
1886,3.104116013119551e-07
1887,3.042478972092866e-07
1888,3.271757123002317e-07
1889,2.8067812074539233e-07
1890,3.368954649696221e-07
1891,3.187109931523935e-07
1892,2.7518769063483717e-07
1893,4.156931088239446e-07
1894,3.049945007660426e-07
1895,2.479669192201328e-07
1896,2.9897936726364094e-07
1897,3.1930388932899234e-07
1898,3.508180024258678e-07
1899,3.067806026990638e-07
1900,3.540298335602543e-07
1901,3.2302910302206556e-07
1902,2.8970673399131286e-07
1903,2.878317297838606e-07
1904,3.1280317358550747e-07
1905,3.323528763310435e-07
1906,2.952761798402648e-07
1907,4.026846454063815e-07
1908,3.4821747596502917e-07
1909,3.124558549671974e-07
1910,2.8858413525512105e-07
1911,3.2933115301503335e-07
1912,2.7245272660181286e-07
1913,2.407557366801427e-07
1914,2.1697450086621828e-07
1915,2.2972486135586223e-07
1916,2.658965938540092e-07
1917,2.1823184681579733e-07
