year,pouviez_VERB envoyer_VERB,pouviez_VERB renvoyer_VERB
1800,9.432493897065797e-09,0.0
1801,1.4287095950749062e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,0.0
1804,1.730295728918918e-08,0.0
1805,0.0,0.0
1806,8.645007376628655e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,9.064295980465431e-09,0.0
1809,1.3554183553310395e-08,0.0
1810,7.020380277111826e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,5.751483289628823e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,2.697223555614414e-09
1816,2.3176038865813098e-09,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,1.8631890696951814e-08,0.0
1820,5.933240565525466e-09,0.0
1821,3.155676253641104e-08,0.0
1822,5.012807946513931e-09,1.0025615893027862e-09
1823,1.9765373782121287e-09,0.0
1824,0.0,2.5263338088166165e-09
1825,0.0,0.0
1826,0.0,0.0
1827,9.217273055917019e-10,0.0
1828,0.0,9.172301251858528e-10
1829,9.430493719264632e-09,2.571952872898464e-09
1830,7.305785310052215e-09,1.0436835840010872e-09
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,1.3613558280667348e-08,0.0
1836,6.720750067579218e-10,0.0
1837,1.3915781860163179e-09,0.0
1838,1.8936485712828244e-09,2.5248647617104325e-09
1839,0.0,0.0
1840,1.2739377330817092e-09,0.0
1841,6.420548537278137e-10,0.0
1842,2.683306021822318e-09,6.708265054555795e-10
1843,1.7720733769266417e-09,0.0
1844,1.097712254427563e-09,0.0
1845,5.580227835366713e-09,0.0
1846,3.5127007969038004e-09,0.0
1847,0.0,0.0
1848,8.84974404868899e-09,8.045221711050488e-10
1849,0.0,0.0
1850,2.7155984128057753e-09,0.0
1851,6.449438760824933e-10,0.0
1852,3.906327261660181e-09,6.510545436100301e-10
1853,6.569124799682413e-09,7.166318205520383e-09
1854,2.5978321716024766e-09,1.0391328908454511e-09
1855,5.306937111981824e-09,7.960405667972736e-09
1856,5.177189232874468e-10,4.141751386299575e-09
1857,2.4407544874094356e-09,0.0
1858,2.4468380654951716e-09,4.893676019968041e-10
1859,1.5276520048956854e-09,0.0
1860,5.492620580582752e-09,2.288591982591015e-09
1861,2.8295783494058924e-09,0.0
1862,1.3553959066214816e-09,4.066187830886747e-09
1863,1.048870412745373e-08,7.491931519609807e-09
1864,5.274200631788517e-09,0.0
1865,2.8241067262513297e-09,0.0
1866,4.379051787850585e-09,0.0
