year,quelles_DET règles_NOUN
1800,7.231578358357638e-08
1801,1.357274115321161e-07
1802,1.4769744893783354e-07
1803,9.55666195068261e-08
1804,2.8673472129980837e-07
1805,1.5920114826428744e-07
1806,2.0459850702536642e-07
1807,2.0782772836014374e-07
1808,1.654234011994049e-07
1809,1.2650571079575457e-07
1810,1.497681072493151e-07
1811,1.4039630258366742e-07
1812,1.9737340295478134e-07
1813,1.1790540987988152e-07
1814,1.2586708564299443e-07
1815,1.1598061533391046e-07
1816,1.2515061698081809e-07
1817,1.525735875418377e-07
1818,1.5855166601852488e-07
1819,1.7079232605965444e-07
1820,1.0442503572960504e-07
1821,1.1044866532472497e-07
1822,9.323822780515911e-08
1823,1.1661570376020336e-07
1824,1.4652735735865008e-07
1825,1.391259978333892e-07
1826,1.2331178211866245e-07
1827,1.318070079747713e-07
1828,2.036250918990845e-07
1829,1.7660742024361298e-07
1830,1.8890672137672482e-07
1831,1.1381580478087017e-07
1832,1.3800568510191624e-07
1833,1.436369920781999e-07
1834,1.1574818659099151e-07
1835,1.2705987728622858e-07
1836,1.0618785317717538e-07
1837,1.419409692005047e-07
1838,1.754781067120348e-07
1839,1.5940564068728236e-07
1840,1.8281006042286663e-07
1841,1.6500809429942365e-07
1842,1.804523250825696e-07
1843,2.5340648690530543e-07
1844,1.866110874715332e-07
1845,2.416238764624268e-07
1846,2.3300915863444516e-07
1847,1.8822350256186837e-07
1848,1.9308532728246064e-07
1849,2.631136268860246e-07
1850,1.330643186747693e-07
1851,1.6188091933599935e-07
1852,2.024779597320503e-07
1853,1.9647655946641862e-07
1854,1.953569785939635e-07
1855,1.4116453428414388e-07
1856,1.956977477846067e-07
1857,1.718291144925388e-07
1858,1.663849893418501e-07
1859,2.174357991435727e-07
1860,1.4875847220707783e-07
1861,1.3723454728165052e-07
1862,2.0873096762130672e-07
1863,1.7531119311797738e-07
1864,1.7644598315769144e-07
1865,1.3791054342959796e-07
1866,2.831786680701498e-07
1867,1.916860519202146e-07
1868,1.916671159563066e-07
1869,1.9045724641841844e-07
1870,1.7087465664644697e-07
1871,7.64724781276982e-08
1872,1.7295390364324703e-07
1873,1.4545990723036084e-07
1874,1.3263632503424105e-07
1875,1.3674449661493782e-07
1876,1.6445160078149001e-07
1877,1.484355909298074e-07
1878,1.6426321636231478e-07
1879,2.517041970406808e-07
1880,1.7264005869321863e-07
1881,2.0708347747699918e-07
1882,2.4292155487160016e-07
1883,1.8199695972498375e-07
1884,1.8484751151959244e-07
1885,2.40422210140423e-07
1886,1.7876094915436624e-07
1887,1.945619549914568e-07
1888,2.0543592071931016e-07
1889,1.6539961755768218e-07
1890,1.8286737635264672e-07
1891,2.1289894647225083e-07
1892,1.9996554989631932e-07
1893,2.0692279356637755e-07
1894,1.335926320678027e-07
1895,1.739379662524243e-07
1896,1.9224314584675994e-07
1897,1.847068133997709e-07
1898,2.0483245322111543e-07
1899,1.6638011501868277e-07
1900,1.8480149321931094e-07
1901,2.3975689522615085e-07
1902,1.482905709337956e-07
1903,1.6200660724052796e-07
1904,1.9778620696797589e-07
1905,2.0075352225035203e-07
1906,1.8158971215598285e-07
1907,2.093137254632893e-07
1908,1.9252644634093485e-07
1909,1.9693521480235177e-07
1910,1.9345825208461065e-07
1911,1.8408494639743367e-07
1912,2.2713076575087143e-07
1913,1.8507433807712914e-07
1914,1.6473989017384838e-07
1915,1.9202642320692576e-07
1916,1.3294829059873337e-07
1917,1.0418102913689609e-07
1918,1.3439059998177072e-07
1919,1.5469184511118783e-07
1920,1.6507465616655281e-07
1921,1.7341591806996348e-07
1922,1.5936340513889036e-07
1923,1.8471750351523042e-07
1924,1.6243446587793642e-07
1925,1.7597084678300234e-07
1926,1.4935825021211713e-07
1927,1.6835329574860225e-07
1928,1.805314546743375e-07
1929,1.8270266544107017e-07
1930,1.7225909587637034e-07
1931,1.4028588957160082e-07
1932,1.6768090915775247e-07
1933,1.5485393234371259e-07
1934,1.1981579994824187e-07
1935,1.9508303417126172e-07
1936,1.4670904313618394e-07
1937,1.1961562051965302e-07
1938,1.4780344770315423e-07
1939,8.717608501740415e-08
1940,8.368083648235825e-08
1941,1.2986611253040792e-07
1942,1.1530004950799366e-07
1943,9.290352687152392e-08
1944,1.2852744823987905e-07
1945,1.0456819410364915e-07
1946,1.419952653236578e-07
1947,1.4185836683111575e-07
1948,1.1524200971280152e-07
1949,9.620668350862616e-08
1950,1.2762433954094377e-07
1951,1.8977295113131731e-07
1952,1.4762724820371886e-07
1953,1.626847989655289e-07
1954,1.0554339180401939e-07
1955,1.2764427026468184e-07
1956,1.1599118554528332e-07
1957,1.2899154810952496e-07
1958,9.016745572409945e-08
1959,1.25562111819022e-07
1960,1.1696208446210221e-07
1961,1.0422238894136626e-07
1962,1.084474510193445e-07
1963,1.0992290810918348e-07
1964,1.466236376757024e-07
1965,1.4500914957693567e-07
1966,1.0136506922719946e-07
1967,1.3459815839667044e-07
1968,1.042008488383317e-07
1969,1.1536064903339138e-07
1970,1.3566239154272353e-07
1971,1.2280769823291848e-07
1972,1.1799337507056862e-07
1973,1.0419954854512525e-07
1974,9.169682169130056e-08
1975,1.2108337976712846e-07
