year,mieux_ADV rempli_VERB
1800,1.7292904885835014e-07
1801,2.4288061695187935e-07
1802,2.953948978756671e-07
1803,2.0868630201675842e-07
1804,2.5212878540514794e-07
1805,1.5351540127994667e-07
1806,2.1900684998854558e-07
1807,2.0498076480635063e-07
1808,3.376450194991776e-07
1809,2.5075237886085233e-07
1810,2.854954743725102e-07
1811,2.8329966994533606e-07
1812,1.600324992523383e-07
1813,3.077043686516845e-07
1814,1.8565394555025705e-07
1815,1.0788894400093341e-07
1816,2.016315363562171e-07
1817,2.631116160500824e-07
1818,2.586895391232247e-07
1819,1.9459973543689557e-07
1820,1.0323838495196469e-07
1821,1.577838162347689e-07
1822,1.965020715033461e-07
1823,1.4132241688002978e-07
1824,1.456852487535798e-07
1825,1.2239566160587856e-07
1826,1.5149733201269555e-07
1827,2.2582318592867523e-07
1828,1.9537002060587838e-07
1829,2.3233306478687155e-07
1830,2.6613932391228445e-07
1831,1.2005229166334175e-07
1832,2.110675154654018e-07
1833,1.436369956309136e-07
1834,1.456186851100938e-07
1835,1.338666493211349e-07
1836,1.4449612706357584e-07
1837,1.0854309806518359e-07
1838,1.0667553596022117e-07
1839,1.0277468476260765e-07
1840,1.5350950377523986e-07
1841,7.961480008589206e-08
1842,1.1940711885927158e-07
1843,7.50177733266355e-08
1844,1.2513919500634074e-07
1845,9.932805511425613e-08
1846,1.1826092816136224e-07
1847,1.2458346532184805e-07
1848,6.194820656446609e-08
1849,1.4831564953965426e-07
1850,1.1337623107010586e-07
1851,9.867641637129054e-08
1852,1.0937716155012822e-07
1853,1.176470547648023e-07
1854,1.2365681811843388e-07
1855,1.4434868944590562e-07
1856,9.422484481547144e-08
1857,1.1129840515877731e-07
1858,1.2136317195654556e-07
1859,8.503929649350539e-08
1860,9.566314673747911e-08
1861,1.1978548286606383e-07
1862,1.0572087916216333e-07
1863,1.2986014041871385e-07
1864,1.3041659485679702e-07
1865,1.035505761137756e-07
1866,1.0996285482178791e-07
1867,1.2034972485253093e-07
1868,1.1213514028440841e-07
1869,1.0255390492375227e-07
1870,9.919904186972417e-08
1871,5.3105885911008954e-08
1872,8.224381531363179e-08
1873,7.24306516985962e-08
1874,9.798358746593294e-08
1875,6.636971505713518e-08
1876,1.1185127135604489e-07
1877,7.978412952525105e-08
1878,9.058633310132791e-08
1879,1.0019293483765068e-07
1880,8.664092376875487e-08
1881,7.39085805889772e-08
1882,6.588831524823036e-08
1883,8.531107908993363e-08
1884,9.638477393991707e-08
1885,7.605849816627597e-08
1886,5.808117364836107e-08
1887,8.814048158001242e-08
1888,7.164894810784972e-08
1889,6.265136676120164e-08
1890,6.030035848425541e-08
1891,7.01164211136529e-08
1892,5.328235630486233e-08
1893,3.4487133149241345e-08
1894,5.230277722034771e-08
1895,9.930713673611535e-08
1896,4.540712339462516e-08
1897,3.554295346930303e-08
1898,5.4320206999136644e-08
1899,5.3617512207893014e-08
1900,4.879590065343109e-08
1901,5.86817598957623e-08
1902,4.517461249520238e-08
1903,4.266173903033632e-08
1904,6.395804064140975e-08
1905,5.5736197879241445e-08
1906,5.041300710217911e-08
1907,5.091414934099703e-08
1908,4.714933510285846e-08
1909,7.096268461737054e-08
1910,6.092331972240572e-08
1911,9.363858310962314e-08
1912,4.844761747335724e-08
1913,4.8787505591008085e-08
1914,3.8841115213017474e-08
1915,4.005459075528961e-08
1916,3.735737053034427e-08
1917,3.61891991929042e-08
1918,4.5945505178224266e-08
1919,3.9593746947730324e-08
1920,5.4520068459851245e-08
1921,2.9533714140939082e-08
1922,2.5084981203349344e-08
1923,6.688047449188161e-08
1924,3.738571052736006e-08
1925,3.079489729884699e-08
1926,5.3501466368288675e-08
1927,3.0102906833917586e-08
1928,4.4561559775502246e-08
1929,5.23599084090165e-08
1930,3.7812974085227324e-08
1931,3.649714130915527e-08
1932,3.287861005674131e-08
1933,3.4411986149507356e-08
1934,5.2718952758823434e-08
1935,4.308582290946106e-08
1936,2.9099314957647948e-08
1937,1.3850230295986421e-08
1938,3.5006078036303734e-08
1939,1.2235240376412548e-08
1940,1.2678914806940611e-08
1941,1.4757512545315876e-08
1942,2.1239483061208375e-08
1943,2.0322646676618206e-08
1944,4.177142187700156e-08
1945,4.357008265287732e-08
1946,2.9234318077442367e-08
1947,2.622591566137089e-08
1948,2.2830963786191205e-08
1949,2.0615717133409817e-08
1950,2.0207187034770868e-08
1951,2.8785784422780125e-08
1952,1.5817205323287453e-08
1953,1.939288907237824e-08
1954,1.5636057781875934e-08
1955,1.407841132561316e-08
1956,2.0930739808022736e-08
1957,2.2087593976038988e-08
1958,2.1507833736222892e-08
1959,1.9376869886400527e-08
1960,1.7302083321624195e-08
1961,1.389631876236308e-08
1962,3.868593267952747e-08
1963,2.4571003010009917e-08
1964,3.9545792418493875e-08
1965,3.447387442179206e-08
1966,2.4925835617750636e-08
1967,3.845661922241561e-08
1968,4.087188543167031e-08
1969,6.313043598993318e-08
1970,4.1388524607555155e-08
1971,2.980270608077262e-08
1972,3.1293897251316594e-08
1973,2.536073751002732e-08
1974,2.2502286256553816e-08
1975,1.4278700888326057e-08
1976,1.9425991482080462e-08
1977,2.11564152863275e-08
1978,2.5544542481270582e-08
1979,2.3993090181306798e-08
1980,2.8994268319593175e-08
1981,1.4548763971333756e-08
1982,1.8001756529884005e-08
1983,1.515675762675528e-08
1984,1.2177918229383522e-08
1985,1.5038894574104233e-08
1986,1.7983456501724504e-08
1987,1.7721369260925712e-08
1988,1.6190695006912392e-08
1989,2.0854864501984594e-08
1990,1.5801088437683575e-08
1991,1.817054240405014e-08
1992,1.597883780846132e-08
1993,1.938722604677423e-08
1994,1.8462243289718572e-08
1995,1.626735190995987e-08
1996,1.2811421257197253e-08
1997,1.8220598363427598e-08
1998,2.527108478034279e-08
1999,2.422206613061917e-08
2000,1.1045078629479121e-08
2001,1.664860427297299e-08
2002,1.3143664823189738e-08
2003,2.541822929913451e-08
2004,1.6738207264666016e-08
2005,2.0717248361279417e-08
2006,1.3589036562677848e-08
2007,1.3980677948666198e-08
2008,1.0643598891135753e-08
2009,1.5735034608610476e-08
2010,1.2281861749841028e-08
2011,1.606068167347985e-08
2012,1.5319137958158535e-08
2013,1.4782362889320666e-08
2014,3.291476602385046e-08
2015,2.2830725754374726e-08
2016,2.83773591291947e-08
2017,8.301517695485927e-09
2018,1.3681773936013997e-08
2019,3.061185438468783e-08
