year,pouvons_VERB assurer_VERB,pouvons_VERB rassurer_VERB
1800,5.407962930803478e-07,3.144164484325529e-09
1801,5.190977958591247e-07,0.0
1802,5.393194442149252e-07,0.0
1803,4.5832970840820053e-07,3.900678446910888e-09
1804,3.707776556893805e-07,0.0
1805,2.5870187414511747e-07,0.0
1806,5.648071237374097e-07,2.881669125542885e-09
1807,3.644102548605588e-07,5.693910232196231e-09
1808,5.710506343348243e-07,2.2660739951163578e-09
1809,6.370465825966676e-07,0.0
1810,4.329234570832341e-07,4.680253518074551e-09
1811,4.3121721660099865e-07,0.0
1812,5.867858021701977e-07,0.0
1813,5.291364573167812e-07,0.0
1814,5.286417490424355e-07,6.293354282149721e-09
1815,7.687087304475426e-07,2.697223555614414e-09
1816,5.307313131197589e-07,0.0
1817,4.4526578335535305e-07,0.0
1818,6.485120707111491e-07,0.0
1819,4.64762138108199e-07,1.035105001712111e-09
1820,5.37551613888354e-07,4.746592452420373e-09
1821,5.394234108280216e-07,3.94459531705138e-09
1822,5.975267072244606e-07,2.0051231786055723e-09
1823,5.563952640841308e-07,0.0
1824,4.816876639779366e-07,0.0
1825,4.3586942410911433e-07,1.7610886082763955e-09
1826,5.971813266114623e-07,0.0
1827,5.613319444819354e-07,7.373818444733615e-09
1828,4.3935324356425554e-07,2.7516904310687096e-09
1829,5.306795856085955e-07,0.0
1830,6.596080197596166e-07,1.0436835840010872e-09
1831,5.20746311849507e-07,3.1182412207897414e-09
1832,4.275470359971223e-07,4.058990921151917e-09
1833,4.07743726782428e-07,0.0
1834,5.292678793011873e-07,0.0
1835,3.9706210941403697e-07,1.2100940693926532e-08
1836,3.024337615897821e-07,1.344150035720304e-08
1837,4.084282068106404e-07,9.045257876039159e-09
1838,2.7016054104933573e-07,0.0
1839,3.334933751375502e-07,8.38977065598101e-09
1840,3.426892476454668e-07,3.821813088222825e-09
1841,4.5393278469418874e-07,3.852329122366882e-09
1842,3.025427588454477e-07,6.708265054555795e-10
1843,3.00071093306542e-07,4.7255288571079745e-09
1844,3.243739570280013e-07,6.586273748609983e-09
1845,3.208631085271918e-07,8.928364714222425e-09
1846,3.1731397598377953e-07,7.610851504580296e-09
1847,2.971666219764302e-07,5.9325460100012606e-09
1848,2.5181543605867773e-07,3.218088684420195e-09
1849,3.4690776828938397e-07,1.256912263158938e-08
1850,1.8398179690848337e-07,4.752297222410107e-09
1851,1.8961350178869907e-07,1.6123596680017727e-08
1852,2.0963956615105417e-07,2.6042181744401205e-09
1853,2.5679307213977154e-07,1.7915795513800958e-09
1854,2.3432446027982223e-07,0.0
1855,2.419963323063712e-07,1.0613874223963649e-09
1856,2.3452666653156484e-07,6.212626857404757e-09
1857,1.913551557208848e-07,2.9289055625270066e-09
1858,1.6198067953610007e-07,1.9574704079872163e-09
1859,2.66829886186315e-07,5.092173349652285e-09
1860,2.1970483032873744e-07,1.2816115280145368e-08
1861,1.9524090077993606e-07,6.6023493339173456e-09
1862,2.272547021675564e-07,4.066187830886747e-09
1863,1.8629935993885738e-07,8.990317823531768e-09
1864,1.9226858682941383e-07,3.3563094525845827e-09
1865,1.5391381680274208e-07,9.413688495385486e-09
1866,1.912185894070717e-07,3.4059290943133647e-09
1867,1.5092243188519205e-07,6.308654931785895e-09
1868,2.1043862830083526e-07,1.4819622196071691e-09
1869,1.562726197334996e-07,8.30198221279943e-09
1870,2.087193706756807e-07,3.4404292748035914e-09
1871,1.5082071058714064e-07,3.611200227737754e-08
1872,1.499740136523542e-07,8.4662747923403e-09
1873,1.4545990723036084e-07,1.0774807712721213e-08
1874,1.3861092895695037e-07,6.572069999322139e-09
1875,1.7221796611011086e-07,8.010138330405425e-09
1876,2.1705193375964882e-07,9.673623679873344e-09
1877,1.843075096985558e-07,1.8554447978047506e-09
1878,1.4010686300025554e-07,7.850815109122777e-09
1879,1.563987268582423e-07,4.27652757650776e-09
1880,1.296404974482357e-07,1.9253538763308597e-09
1881,1.3456939029765635e-07,2.7890030285249168e-09
1882,1.1846585579178281e-07,9.317538740560849e-09
1883,1.3965738787646842e-07,1.0742875922176154e-08
1884,1.4193648212312837e-07,1.2543224237049344e-08
1885,1.2633445578558167e-07,6.445635691854079e-10
1886,1.206797719532915e-07,0.0
1887,1.2209089561565634e-07,6.528924512139156e-09
1888,1.5344286907748028e-07,1.014498351992188e-08
1889,1.5850795875849144e-07,6.265136853755848e-09
1890,1.2715510422367515e-07,1.9663159989136147e-09
1891,1.1282369172249673e-07,1.2748440081367107e-09
1892,1.0154990093269589e-07,3.761107425503951e-09
1893,1.5026536459572526e-07,3.695050043717174e-09
1894,1.0775632119930378e-07,0.0
1895,9.870527861721712e-08,1.0833506536300774e-08
1896,1.3032433798798593e-07,8.255840455717589e-09
1897,8.273933360669616e-08,5.826713334045053e-09
1898,1.0807458039607809e-07,9.619203211741478e-09
1899,1.111043275159318e-07,1.326618814800895e-08
1900,7.838490034828283e-08,5.19105292084987e-09
1901,8.27133348479947e-08,1.2854099118442264e-08
1902,7.85645397627377e-08,1.4730851205513318e-08
1903,1.2150495365403913e-07,4.320176216765503e-09
1904,1.0856742704845601e-07,1.0749250378694342e-09
1905,1.24374295751295e-07,4.1286072338664326e-09
1906,9.979717674468702e-08,1.5432553013283723e-09
1907,1.0954256168815846e-07,8.742834012309686e-09
1908,1.0805055694618204e-07,9.331639461152008e-09
1909,1.0616898293847044e-07,6.60118004702781e-09
1910,1.2131222604239156e-07,1.6032452032632705e-09
1911,9.470265638356068e-08,8.51259862599818e-09
1912,1.2554704653666704e-07,1.0418842455450772e-09
1913,1.0181740606185485e-07,3.181793939432964e-09
1914,9.710278447983e-08,7.366418142140674e-09
1915,1.4843760709482012e-07,2.3561523843085297e-09
1916,1.1646709907608965e-07,1.0987462051303964e-09
1917,9.540789136508465e-08,2.1932848870420685e-09
1918,1.0797193539247019e-07,9.189101035644853e-09
1919,8.379142002468143e-08,7.366278698128781e-09
1920,1.309996093823429e-07,5.300562211374427e-09
1921,9.39020665668977e-08,3.7863738810983705e-09
1922,1.2026035278722702e-07,0.0
1923,1.1889861895042486e-07,3.1847844361720945e-09
1924,1.1344629768927916e-07,1.289162443462999e-09
1925,1.1768050711680189e-07,4.399271169575059e-09
1926,1.3040981627909787e-07,3.343841648018042e-09
1927,8.58490309951776e-08,3.3447675740205796e-09
1928,9.826395341860916e-08,5.713020723163709e-09
1929,8.689517017046455e-08,2.2280812750352652e-09
1930,7.142450186847782e-08,6.302162347537887e-09
1931,8.782124893969012e-08,2.2810713318222042e-09
1932,9.315606064319581e-08,8.767629289252454e-09
1933,1.1355955820135932e-07,1.1470662197865522e-09
1934,6.230421689679133e-08,2.3963160344919743e-09
1935,8.018750463634206e-08,3.590485242455088e-09
1936,8.972288867425959e-08,2.424942913137329e-09
1937,9.317427185351335e-08,6.295559185076627e-09
1938,8.68669403075728e-08,1.2965214457594243e-09
1939,7.341144225847529e-08,0.0
1940,8.114505334333444e-08,2.5357829169792012e-09
1941,8.559357667081713e-08,0.0
1942,9.406056733496371e-08,0.0
1943,1.451617634984359e-07,0.0
1944,5.462416652335378e-08,0.0
1945,1.0021118868053236e-07,0.0
1946,8.213451252458981e-08,9.744772988540262e-09
1947,1.0132740158041997e-07,0.0
1948,7.392883816237372e-08,0.0
1949,9.031647607571358e-08,4.908504269707237e-09
1950,8.508288829034427e-08,5.317680518146517e-09
1951,7.569595084078173e-08,5.330700769690111e-09
1952,8.646739502182754e-08,9.490323193972472e-09
1953,8.403585383121026e-08,2.1547654771580937e-09
1954,1.1433867541654763e-07,3.9090144454689835e-09
1955,8.25933454962069e-08,0.0
1956,7.064124929456739e-08,3.488456634670456e-09
1957,1.0513694803648832e-07,0.0
1958,7.362296372548371e-08,8.272243445794913e-10
1959,6.89816559429346e-08,7.750747821333448e-10
1960,7.128458179295194e-08,2.076250060767393e-09
1961,5.697490479406042e-08,1.3896318540318475e-09
1962,8.43480236767391e-08,1.9025869768540815e-09
1963,4.849539791962343e-08,6.466053248388448e-10
1964,9.12595226054691e-08,1.8251904432275978e-09
