year,veuillez_VERB avoir_VERB
1800,6.288328968651058e-09
1801,4.7623651688866175e-09
1802,2.4616241489638924e-08
1803,9.75169611727722e-09
1804,9.887403562558461e-09
1805,2.842877711017877e-09
1806,8.645007376628655e-09
1807,2.8469551160981155e-09
1808,6.798221985349073e-09
1809,2.259030518203531e-09
1810,2.574139346123161e-08
1811,1.2535384286138651e-08
1812,1.0668832928217853e-08
1813,5.751483289628823e-09
1814,3.1466771410748606e-09
1815,2.966945933380316e-08
1816,6.952811659743929e-09
1817,1.401186100480345e-08
1818,1.7881765401739358e-08
1819,2.898294049202832e-08
1820,7.831877724129299e-08
1821,2.9584463767662328e-09
1822,2.7069162911175226e-08
1823,1.7788836181864554e-08
1824,4.210556259209852e-08
1825,5.107157008410468e-08
1826,5.0205511747947185e-08
1827,1.3825909306319772e-08
1828,2.93513645610588e-08
1829,2.8291480713704686e-08
1830,6.470838531669187e-08
1831,3.897801503782716e-08
1832,1.352996958914332e-08
1833,2.6642345218874652e-08
1834,1.4001796166951408e-08
1835,2.949604294144592e-08
1836,3.293167605278313e-08
1837,3.409366478024367e-08
1838,2.3986214570115294e-08
1839,5.453350482298447e-08
1840,3.567025697037707e-08
1841,3.0818633423024266e-08
1842,2.4149754196400863e-08
1843,3.0125245853440674e-08
1844,2.8540518837161244e-08
1845,2.7901140509101197e-08
1846,2.6930706553685013e-08
1847,2.58874726100089e-08
1848,4.827133137652595e-08
1849,4.8600607982507427e-08
1850,4.1412874907109654e-08
1851,4.5791015423901626e-08
1852,3.190167241484687e-08
1853,2.2096148244443725e-08
1854,2.6497888772070155e-08
1855,2.865746040470185e-08
1856,2.3815070804289462e-08
1857,3.172980900245648e-08
1858,3.229826184281137e-08
1859,4.532034303394994e-08
1860,3.615975252557746e-08
1861,2.782418562219391e-08
1862,3.20777031603825e-08
1863,3.945750570721884e-08
1864,2.828889567041415e-08
1865,3.671338610899966e-08
1866,2.773399376820862e-08
1867,3.1543274658929477e-08
1868,3.902500544938903e-08
1869,2.6859354740338404e-08
1870,3.669791226457164e-08
1871,5.8416476100831005e-08
1872,7.619647490741954e-08
1873,3.7711828326791874e-08
1874,3.465273401559443e-08
