year,dois_VERB appliquer_VERB
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,4.943701892301533e-09
1805,2.55858996212055e-08
1806,0.0
1807,5.693910232196231e-09
1808,0.0
1809,0.0
1810,0.0
1811,2.5070767684098882e-09
1812,1.600324850414836e-08
1813,0.0
1814,1.2586708564299443e-08
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,9.315945348475907e-09
1820,1.0679833017945839e-08
1821,5.9168927535324656e-09
1822,1.604098542884458e-08
1823,4.941343334508019e-09
1824,5.052667617633233e-09
1825,6.163809906922779e-09
1826,7.0463874735082754e-09
1827,7.373818444733615e-09
1828,0.0
1829,8.57317605795771e-10
1830,7.305785310052215e-09
1831,1.5591206103948707e-09
1832,1.3529969367098715e-09
1833,0.0
1834,7.467624740797874e-09
1835,7.563087933704082e-10
1836,6.720750067579218e-10
1837,3.478945576063097e-09
1838,1.8936486156917454e-08
1839,6.9914749545318955e-09
1840,1.6561189752906103e-08
1841,1.2841097074556274e-09
1842,6.708265054555795e-10
1843,5.31621990873532e-09
1844,7.1351298203126134e-09
1845,8.37034175305007e-09
1846,7.025401593807601e-09
1847,8.629157832729106e-09
1848,8.045221711050488e-10
1849,5.02764896381791e-09
1850,6.788996032014438e-10
1851,1.3543821175687754e-08
1852,6.510545436100301e-09
1853,2.388772735173461e-08
1854,3.117398783558656e-09
1855,5.306937111981824e-09
1856,1.3978411317339123e-08
1857,2.9289055625270066e-09
1858,2.936205500958522e-09
1859,8.656694916453489e-09
1860,4.57718396518203e-09
1861,8.960331143725853e-09
1862,2.2589932147099034e-09
1863,1.9978483312144135e-09
1864,4.315255264231155e-09
1865,5.6482134525026595e-09
1866,5.352174259343201e-09
1867,2.426405742994575e-09
1868,1.1361710683388537e-08
1869,6.8369265804335555e-09
1870,5.160643912205387e-09
1871,0.0
1872,0.0
1873,1.7958012854535355e-09
1874,0.0
1875,9.154443425529735e-09
1876,6.04601479992084e-09
1877,6.184815992682502e-10
1878,3.6234530931267273e-09
1879,9.163987790827832e-09
1880,1.2835692508872398e-09
1881,0.0
1882,6.655385131892899e-09
1883,6.951272890631799e-09
1884,0.0
1885,8.379326565943757e-09
1886,1.936039106809062e-09
1887,1.3057849246322917e-09
1888,0.0
1889,2.5060546970934183e-09
1890,3.2771931834929546e-09
1891,3.824531802365527e-09
1892,2.5074049503359674e-09
1893,0.0
1894,3.780923574225881e-09
1895,6.018614495673091e-10
1896,0.0
1897,1.7480140668268973e-09
1898,1.13167097914868e-09
1899,6.633094074004475e-09
1900,7.26747462209687e-09
1901,5.588738916095792e-10
1902,2.455141867585553e-09
1903,1.6200660812870638e-09
1904,1.0749250378694342e-09
1905,1.0321518084666081e-09
1906,4.115347618238729e-09
1907,2.057137349353866e-09
1908,6.384805573134145e-09
1909,4.950885035270858e-09
1910,4.275320542035388e-09
1911,2.128149656499545e-09
1912,1.0418842455450772e-09
1913,4.242391771214216e-09
