year,pas_ADV entré_VERB,pas_ADV rentré_VERB
1800,3.3956976608351397e-07,1.320549074534938e-07
1801,2.881230898310605e-07,1.9049460320275102e-07
1802,2.730164965214499e-07,6.937304419807333e-08
1803,2.1843798947429605e-07,1.2287136996746995e-07
1804,5.141449719303637e-07,2.5707248596518184e-07
1805,2.3595885068061762e-07,1.02343598484822e-07
1806,3.313919592073944e-07,1.0374009207225754e-07
1807,5.836258196723065e-07,8.54086508184082e-08
1808,3.2404858529844205e-07,1.1330369886763947e-07
1809,4.3599288801488e-07,2.01053723003497e-07
1810,4.5866485720580386e-07,1.8487001796074765e-07
1811,2.1811567307850055e-07,1.3036799373367103e-07
1812,3.414026537029713e-07,2.5605197606637375e-07
1813,2.1280487771946355e-07,1.1502966401621961e-07
1814,4.1536137018738373e-07,1.888006266881348e-07
1815,5.097752477922768e-07,1.2676950689183286e-07
1816,4.890144396085816e-07,1.5296186006708012e-07
1817,3.9233211168721027e-07,1.1520863552050287e-07
1818,2.7657131340674823e-07,2.3484719235966622e-07
1819,4.0576117044111015e-07,1.594061700416205e-07
1820,3.476878873698297e-07,7.713212824000948e-08
1821,3.5304128687130287e-07,1.577838162347689e-07
1822,3.739554585990845e-07,1.3935606091308728e-07
1823,3.9827227737987414e-07,1.5416991061556473e-07
1824,3.494761813271907e-07,1.7852758560366055e-07
1825,3.557398997600103e-07,2.086890020791543e-07
1826,3.311802174721379e-07,1.1186140369545683e-07
1827,2.774399092686508e-07,2.1937110261660564e-07
1828,4.347670881088561e-07,1.440051278223109e-07
1829,4.766685890444933e-07,1.5345985104886495e-07
1830,5.47933893813024e-07,2.0769303432643937e-07
1831,4.942412488162518e-07,9.042899762334855e-08
1832,3.9236911675288866e-07,2.54363413887404e-07
1833,3.22024874321869e-07,1.9808004481092212e-07
1834,4.2845496750487655e-07,2.0162586622518575e-07
1835,4.961385684509878e-07,2.700022321278084e-07
1836,5.00023816130124e-07,2.385866366694245e-07
1837,3.618103221469937e-07,1.7951359154722013e-07
1838,4.1407781736779725e-07,1.4265485503983655e-07
1839,4.670305315812584e-07,1.7059198853530688e-07
1840,4.3823459350278426e-07,1.7580340738732048e-07
1841,4.2696646573858743e-07,1.6500810318120784e-07
1842,4.092041763215093e-07,1.247737344556299e-07
1843,4.276603533526213e-07,1.6598420415903092e-07
1844,3.671847537134454e-07,1.1745520822614708e-07
1845,4.3804789129353594e-07,1.3671558463101974e-07
1846,3.975206368522777e-07,1.3231172601990693e-07
1847,3.8184023765097663e-07,1.3860584147096233e-07
1848,4.111108182769385e-07,1.4722755281582067e-07
1849,4.860060585087922e-07,2.0864743532911234e-07
1850,4.1141316842185915e-07,2.1928457272224477e-07
1851,3.585888066481857e-07,1.5478653381251206e-07
1852,4.446702632776578e-07,1.510446594465975e-07
1853,3.4876080690082745e-07,1.594505789626055e-07
1854,4.224075098591129e-07,1.2417638117767638e-07
1855,4.293312088066159e-07,1.5496256366986927e-07
1856,4.069270858053642e-07,1.496207744366984e-07
1857,5.013309873902472e-07,1.3717040303617978e-07
1858,4.707716243501636e-07,1.5512952700191818e-07
1859,4.4607438098864804e-07,1.996131970827264e-07
1860,4.156082979989151e-07,1.9361488057256793e-07
1861,4.635792265617056e-07,1.693030924343475e-07
1862,4.3056408571828797e-07,1.766532591318537e-07
1863,3.880820429458254e-07,1.5533271380263614e-07
1864,5.6338052445426e-07,1.5534918418325105e-07
1865,4.4197267357048986e-07,1.6003271241515904e-07
1866,4.155233455094276e-07,1.7078301084438863e-07
1867,4.31414946433506e-07,1.747012134956094e-07
1868,4.3322694409653195e-07,1.817873709342166e-07
1869,4.190059428310633e-07,1.9827088237889257e-07
1870,5.149175876795198e-07,1.834895613228582e-07
1871,4.577727281684929e-07,2.750884959823452e-07
1872,5.249090690995217e-07,2.8785333938685653e-07
1873,4.3637973590193724e-07,2.400387870693521e-07
1874,4.4510838392852747e-07,2.6407772679704067e-07
1875,4.594386382450466e-07,2.7577760874919477e-07
1876,3.8996796547507984e-07,1.9468167522518343e-07
1877,4.354110387794208e-07,2.1956097384645545e-07
1878,3.871055866966344e-07,1.6728274943034194e-07
1879,4.233762354033388e-07,1.9488747682316898e-07
1880,4.2999570837309875e-07,2.0729643779304752e-07
1881,4.762222545195982e-07,1.701291836297969e-07
1882,4.605526555678807e-07,2.0565140346207045e-07
1883,3.936948189675604e-07,1.807330960446052e-07
1884,4.0336368556381785e-07,1.8418734271108406e-07
1885,4.260565162894636e-07,1.9594732236782875e-07
1886,4.1302169506707287e-07,1.5746451254017302e-07
1887,4.5049580421618884e-07,1.8607434526529687e-07
1888,5.364159960663528e-07,1.7056252943348227e-07
1889,4.2978837200280395e-07,1.979783235128707e-07
1890,4.417656498389988e-07,2.5365474698446633e-07
1891,4.5065735321259126e-07,2.1608606459722068e-07
1892,4.4569122792381677e-07,1.8429426518196124e-07
1893,4.96368386393442e-07,2.3155645578754047e-07
1894,3.84393899821589e-07,1.802240205961425e-07
1895,4.092657945875544e-07,1.6310445971612353e-07
1896,3.8861421103320026e-07,1.828078950438794e-07
1897,4.177753680778551e-07,2.0976169423647661e-07
1898,3.9268982732210134e-07,2.1558332718996098e-07
1899,4.6929139330131875e-07,2.4044965130087803e-07
1900,3.607781877690286e-07,1.5988443635706062e-07
1901,3.9121172790146375e-07,1.833106324511391e-07
1902,3.6286996873968747e-07,2.0083061258446833e-07
1903,4.3309765374033304e-07,1.62546626825133e-07
1904,3.9449747646358446e-07,1.924115764495582e-07
1905,4.6704869305358443e-07,1.362440400498599e-07
1906,4.1102035197582154e-07,1.8827715564384562e-07
1907,4.340559769389074e-07,2.4068506832009007e-07
1908,4.1059212207983364e-07,1.8172138993577391e-07
1909,3.680158044971904e-07,1.8593324568882963e-07
1910,3.473697915978846e-07,2.47968586108982e-07
1911,3.580611860343197e-07,2.133470076159938e-07
1912,4.0633486264596286e-07,2.0108366527438193e-07
1913,3.7969405752846797e-07,2.2431646584664122e-07
1914,3.964472341522196e-07,2.6519106199884845e-07
1915,3.6166937888992834e-07,1.6964297344657098e-07
1916,4.142273155594012e-07,5.71348039102304e-07
1917,4.112409044410015e-07,6.360526185744675e-07
1918,3.9972590570869215e-07,5.984401809655537e-07
1919,4.2171944869551226e-07,2.697899503800727e-07
1920,3.377215307409642e-07,1.976352450583363e-07
1921,3.9756923797540367e-07,2.612597995721444e-07
1922,3.998841009433818e-07,2.943796175713942e-07
1923,3.5775744322563696e-07,2.770762534964888e-07
1924,3.815920877059398e-07,2.604108146897488e-07
1925,4.168309430951922e-07,2.705551764847769e-07
1926,3.6893717947350524e-07,2.1512046544103214e-07
1927,4.314750015055324e-07,2.9879922180953145e-07
1928,3.47351658547268e-07,2.4794508135528304e-07
1929,3.9771251181264233e-07,2.57343373277763e-07
1930,4.211944997223327e-07,2.541871992889355e-07
1931,3.3873908478199155e-07,2.0985856963307015e-07
1932,3.4632134315870644e-07,2.575491180323297e-07
1933,3.590317305679491e-07,2.466192370320641e-07
1934,3.498621481412556e-07,3.151155567593378e-07
1935,3.267341526225209e-07,2.3098787949038524e-07
1936,3.05542812384374e-07,2.606813609418168e-07
1937,3.11000604824585e-07,2.241219050347354e-07
1938,3.695085979416035e-07,2.1133300265319122e-07
1939,3.272926676345378e-07,2.309401594402516e-07
1940,2.1807733219247893e-07,2.0793419253095635e-07
1941,2.9810175306010933e-07,2.8334426360743237e-07
1942,3.7017383647253155e-07,2.8825010645050497e-07
1943,3.5709791745830444e-07,2.7290411708236206e-07
1944,3.438109104081377e-07,2.69907644678824e-07
1945,2.984550633300387e-07,3.790597133956908e-07
1946,3.6194870745021035e-07,3.104406118836778e-07
1947,3.5881822668670793e-07,3.23055616036072e-07
1948,3.2289506179949967e-07,3.033256632534176e-07
1949,2.5426052729926596e-07,2.660409279542364e-07
