year,ayons_VERB appelé_VERB,ayons_VERB rappelé_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,4.475680270843441e-09,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,8.645007376628655e-09
1807,0.0,0.0
1808,1.8128591960930862e-08,0.0
1809,6.7770917766551975e-09,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,4.026038169513413e-08,0.0
1814,1.5733386149463513e-08,3.1466771410748606e-09
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,1.556873407970727e-09
1818,1.1921177378582115e-09,1.1921177378582115e-09
1819,0.0,1.9666995143552413e-08
1820,0.0,2.3732962262101864e-09
1821,1.97229765852569e-09,0.0
1822,1.0025615893027862e-09,0.0
1823,0.0,0.0
1824,8.421112696055388e-10,3.3684450784221553e-09
1825,5.283265824829186e-09,0.0
1826,8.807984341885344e-10,0.0
1827,5.530363722527909e-09,0.0
1828,2.2013523448549677e-08,0.0
1829,3.429270423183084e-09,8.57317605795771e-10
1830,6.262101504006523e-09,0.0
1831,1.5591206103948707e-09,1.5591206103948707e-09
1832,1.3529969367098715e-09,1.3529969367098715e-09
1833,1.6217079235048004e-08,0.0
1834,6.534171426153534e-09,9.334530925997342e-10
1835,8.31939672707449e-09,0.0
1836,4.704525213838906e-09,0.0
1837,6.957890930081589e-10,6.957890930081589e-10
1838,6.312161904276081e-10,1.8936485712828244e-09
1839,0.0,3.4957374772659477e-09
1840,7.64362617644565e-09,0.0
1841,2.5682194149112547e-09,3.852329122366882e-09
1842,6.708265054555795e-10,0.0
1843,0.0,1.1813822142769936e-09
1844,6.037417232818143e-09,0.0
1845,0.0,1.674068439427856e-09
1846,0.0,5.854501328173001e-10
1847,1.6179670936367074e-09,1.0786447290911383e-09
1848,2.413566457803995e-09,0.0
1849,0.0,1.6758829879393033e-09
1850,2.7155984128057753e-09,2.0366988096043315e-09
1851,8.384270167027807e-09,0.0
1852,1.9531636308300904e-09,6.510545436100301e-10
1853,5.971931837933653e-10,5.971931837933653e-10
1854,1.0391328908454511e-09,0.0
1855,5.306937111981824e-10,2.653468555990912e-09
1856,2.0708756931497874e-09,2.5885946719483854e-09
1857,4.881509085841174e-10,4.881509085841174e-10
1858,9.787352039936081e-10,0.0
1859,2.036869339860914e-09,6.110608019582742e-09
1860,4.577183909670879e-10,2.746310290291376e-09
1861,3.772770984511453e-09,4.715963730639317e-10
1862,4.517986262886353e-10,5.421583626485926e-09
1863,1.4983863039219614e-09,0.0
1864,3.3563094525845827e-09,4.794727948009836e-10
1865,2.3534221238463715e-09,0.0
1866,2.919367858567057e-09,9.731225825149181e-10
1867,2.426405742994575e-09,9.7056229719783e-10
1868,1.4819622196071691e-09,7.409810987013543e-09
1869,2.9301114867763545e-09,4.883519144627257e-10
1870,5.734048791339319e-10,0.0
1871,1.0621177271019633e-09,0.0
1872,6.652073114565837e-09,1.2094678591978436e-09
1873,1.1972008939764578e-09,0.0
1874,1.7923826867161097e-09,5.974609140757536e-10
1875,9.154443425529735e-09,5.721527140956084e-10
1876,6.04601479992084e-10,0.0
1877,0.0,6.184815992682502e-10
1878,0.0,0.0
1879,4.27652757650776e-09,6.10932526790009e-10
1880,6.417846254436199e-10,1.2835692508872398e-09
1881,2.7890030285249168e-09,0.0
1882,6.655385131892899e-10,0.0
1883,0.0,6.319338941018771e-10
1884,6.601696966868076e-10,0.0
1885,3.86738152613475e-09,0.0
1886,1.2906927748801422e-09,0.0
1887,1.3057849246322917e-09,6.528924623161458e-10
1888,6.340614699951175e-10,0.0
1889,1.2530273485467092e-09,6.265136742733546e-10
1890,3.9326319978272295e-09,0.0
1891,0.0,1.2748440081367107e-09
1892,3.761107425503951e-09,0.0
1893,3.695050043717174e-09,6.158416554491453e-10
1894,6.301539290376468e-10,6.301539290376468e-10
1895,6.018614495673091e-10,0.0
1896,5.307326134129653e-09,1.179405795248556e-09
