year,quelques_DET arts_NOUN,quelques_DET rares_ADJ
1800,6.759953361523685e-07,1.2262241710914168e-07
1801,5.381472782950425e-07,5.0004833385131064e-08
1802,2.618272958443413e-07,8.727576528144709e-08
1803,2.632958018278231e-07,4.8758479920252285e-08
1804,3.4358727729610905e-07,7.909923160909216e-08
1805,2.672305021711452e-07,5.401467717547348e-08
1806,1.671368083933089e-07,5.187004603612877e-08
1807,4.953701684407008e-07,6.547997077888112e-08
1808,3.7616828940656433e-07,7.704651894258063e-08
1809,4.992457434127573e-07,8.584315747128812e-08
1810,2.3167255225331473e-07,4.914266327205041e-08
1811,2.206227520673565e-07,9.025476543911282e-08
1812,2.453831555726538e-07,6.401299534886107e-08
1813,2.760711899085777e-07,4.313612333994854e-08
1814,3.8074792207964947e-07,7.237357380063258e-08
1815,8.631115377966125e-08,1.078889435568442e-07
1816,1.4832664874120383e-07,2.0858434979231788e-08
1817,1.588010860587019e-07,1.1053801074467628e-07
1818,1.4186200480992284e-07,9.536941769638929e-08
1819,1.697572156178495e-07,5.589566964836479e-08
1820,2.4326286052200885e-07,6.289235354728362e-08
1821,1.3313008950799343e-07,8.185035305086075e-08
1822,1.373509377344817e-07,1.373509377344817e-07
1823,1.7097048399250525e-07,1.0969782149317098e-07
1824,2.366332712000485e-07,9.85270167674912e-08
1825,1.7258668361108676e-07,8.453225452953461e-08
1826,1.4885493593297383e-07,8.279505436803447e-08
1827,2.6822263876624675e-07,1.465546345391644e-07
1828,2.1371461400576663e-07,1.7885987313448481e-07
1829,2.0318427251808657e-07,2.571952819607759e-07
1830,1.868193655329975e-07,3.204108711685194e-07
1831,1.34084368497156e-07,5.456922398394681e-07
1832,1.975375509832844e-07,6.39967527860108e-07
1833,1.2394482951094687e-07,6.961760838919417e-07
1834,2.0722659233030072e-07,5.703398535672477e-07
1835,2.01934447829899e-07,6.534507690503233e-07
1836,9.946710344266307e-08,6.875327329680658e-07
1837,1.2037151164712157e-07,8.579079775472565e-07
1838,1.1740621319589195e-07,9.310438784382313e-07
1839,1.202533725930266e-07,1.156389963341553e-06
1840,1.1401742766592449e-07,1.0452659324755587e-06
1841,9.951850543643559e-08,1.2622798521988443e-06
1842,7.110761002238064e-08,1.4127606036140605e-06
1843,1.0337094646928335e-07,1.3579988618062089e-06
1844,1.1855292081364155e-07,1.4303191093745227e-06
1845,6.752075681903946e-08,1.3096795186129384e-06
1846,1.0186832199998719e-07,1.4314255309955115e-06
1847,7.712309546548113e-08,1.4847544917984123e-06
1848,5.068489528081699e-08,1.7176548254838053e-06
1849,7.625267928190738e-08,1.6364997890150335e-06
1850,5.838536676350259e-08,1.617138835285914e-06
1851,4.708090317606661e-08,1.8574383346958712e-06
1852,1.0156450658271865e-07,1.7578472153445546e-06
1853,7.285756886687977e-08,1.6452671971478594e-06
1854,4.676098053213451e-08,1.7473019013891644e-06
1855,3.980202833986368e-08,1.7390833164654396e-06
1856,7.299837062602066e-08,1.9150422474467632e-06
1857,2.782460128969433e-08,1.7739404398753322e-06
1858,3.474509924217273e-08,1.9403425284281184e-06
1859,5.652312506931878e-08,2.013954585322608e-06
1860,3.478659782452098e-08,2.056070954381539e-06
1861,2.923897596263103e-08,2.0533305900016785e-06
1862,3.3884898442693157e-08,2.0434852103790035e-06
1863,2.1476870060155306e-08,1.913938703523854e-06
1864,5.8495679411407764e-08,2.1696143619465147e-06
1865,3.43599646512871e-08,2.039946366494405e-06
