year,as_VERB envoyé_VERB,as_VERB renvoyé_VERB
1800,1.8864987794131594e-08,0.0
1801,1.1905912700171939e-08,0.0
1802,2.2378401354217203e-08,0.0
1803,1.1702034896643454e-08,3.900678446910888e-09
1804,4.943701981119375e-08,2.2246657849223084e-08
1805,4.5486043376286034e-08,2.2743021688143017e-08
1806,2.881669125542885e-08,2.5935023018064385e-08
1807,2.1921555060089304e-07,5.693910232196231e-09
1808,3.3991110370834576e-08,0.0
1809,2.710836710662079e-08,0.0
1810,2.3401266702194334e-08,0.0
1811,4.512738271955641e-08,0.0
1812,5.601137331723294e-08,0.0
1813,5.751483289628823e-09,2.8757416448144113e-09
1814,3.776012391654149e-08,0.0
1815,2.1577788444915313e-08,0.0
1816,2.5493642752394408e-08,0.0
1817,1.8682481339737933e-08,0.0
1818,2.026600220972341e-08,7.152706427149269e-09
1819,2.2772310259711048e-08,0.0
1820,8.306536614099969e-08,2.3732962262101864e-09
1821,4.832129363308013e-08,5.9168927535324656e-09
1822,3.8097340393505874e-08,6.015369535816717e-09
1823,6.226093063332883e-08,0.0
1824,2.947389532437228e-08,4.210556348027694e-09
1825,5.0191026446100295e-08,1.7610886082763955e-09
1826,3.3470339388941284e-08,0.0
1827,2.3043183361437514e-08,0.0
1828,4.3109814384934e-08,1.8344602503717056e-09
1829,2.3147574523818548e-08,0.0
1830,2.1917355041978226e-08,5.218417697960831e-09
1831,6.704218691311326e-08,1.5591206103948707e-09
1832,2.705993829010822e-08,2.705993873419743e-09
1833,8.108539617524002e-08,0.0
1834,3.173740381612333e-08,4.667265685043276e-09
1835,5.672315950278062e-08,0.0
1836,4.5701099793404865e-08,1.3441500135158435e-09
1837,3.826840000442644e-08,2.0873671680021744e-09
1838,2.019891809368346e-08,2.5248647617104325e-09
1839,3.076248944466897e-08,3.4957374772659477e-09
1840,3.248541347034006e-08,3.1848443882154243e-09
1841,1.5409316489467528e-08,6.420548537278137e-10
1842,8.049917710195587e-08,0.0
1843,5.198081609592009e-08,2.3627644285539873e-09
1844,5.43367555394525e-08,2.195424508855126e-09
1845,3.348136701220028e-08,1.1160455892778032e-09
1846,6.088681203664237e-08,0.0
1847,2.8044762956369595e-08,5.9325460100012606e-09
1848,2.976732105253177e-08,2.413566457803995e-09
1849,1.8434713311421547e-08,1.256912263158938e-08
1850,3.394497838371535e-08,1.3577992064028876e-09
1851,2.4507867735223954e-08,6.449438760824933e-10
1852,2.9948509450150596e-08,7.812654523320361e-09
1853,2.20961471342207e-08,0.0
1854,4.8319680701069956e-08,4.1565315633818045e-09
1855,2.9718847827098216e-08,1.5920811335945473e-09
1856,4.866558001026533e-08,2.0708756931497874e-09
1857,3.124165814938351e-08,2.4407544874094356e-09
1858,8.074565727156369e-08,3.4255731584664773e-09
1859,6.263373109050008e-08,1.018434669930457e-09
1860,4.211009141386057e-08,2.746310290291376e-09
1861,6.932466334319543e-08,1.4147891747029462e-09
1862,2.755971628687348e-08,2.710791813242963e-09
1863,5.743813957792554e-08,8.490855130105501e-09
1864,7.959248193856183e-08,9.589456340108882e-09
1865,5.836486849375433e-08,1.4120533631256649e-09
