year,mêmes_ADJ oies_NOUN,mêmes_ADJ rois_NOUN
1800,6.288328968651058e-09,1.8864987794131594e-08
1801,2.3811825844433088e-09,4.524247021464589e-08
1802,4.475680270843441e-09,1.3427040812530322e-08
1803,0.0,1.1702034896643454e-08
1804,2.4718509461507665e-09,4.202146608456303e-08
1805,0.0,1.3077237781544682e-07
1806,0.0,8.933174200365102e-08
1807,0.0,1.4234776024579787e-08
1808,2.2660739951163578e-09,4.078933146800523e-08
1809,0.0,9.036122294858728e-09
1810,0.0,6.552354792077608e-08
1811,0.0,7.019814773912003e-08
1812,0.0,1.600324850414836e-08
1813,0.0,4.601186631703058e-08
1814,0.0,1.0384034254684593e-07
1815,0.0,1.4025561778652218e-07
1816,0.0,8.111613958305952e-08
1817,0.0,2.9580595750644534e-08
1818,4.768470951432846e-09,5.006894632231251e-08
1819,0.0,5.90009836543004e-08
1820,3.5599443393152796e-09,4.865257352548724e-08
1821,0.0,7.198886464721e-08
1822,2.0051231786055723e-09,2.606660132187244e-08
1823,0.0,2.4706716672540097e-08
1824,8.421112696055388e-10,9.010590673597108e-08
1825,8.805443041381977e-10,3.874395115843754e-08
1826,1.7615968683770689e-09,3.611273569070761e-08
1827,0.0,8.940754980812926e-08
1828,5.503380862137419e-09,6.604057034564903e-08
1829,0.0,2.7434163052397764e-08
1830,2.0873671680021744e-09,8.975679022249494e-08
1831,1.5591206103948707e-09,2.3386809822056875e-08
1832,0.0,1.758896062131754e-08
1833,0.0,4.6334513115198206e-08
1834,9.334530925997342e-10,4.387229424196448e-08
1835,1.5126175867408165e-09,6.504255622985511e-08
1836,6.720750067579218e-10,6.519127387916157e-08
1837,0.0,3.965997663613052e-08
1838,2.5248647617104325e-09,8.521418637386091e-08
1839,6.9914751765765e-10,4.334714465148437e-08
1840,0.0,6.624475901162441e-08
1841,0.0,4.1091510638580075e-08
1842,0.0,2.3478927246856074e-08
1843,0.0,5.6115656343891374e-08
1844,0.0,5.982531670056801e-08
1845,0.0,6.752075876192976e-08
1846,0.0,5.210506071051668e-08
1847,0.0,3.3437987490003707e-08
1848,0.0,6.436177302227009e-08
1849,0.0,3.351765798242923e-08
1850,0.0,1.968808938102029e-08
1851,0.0,4.450112811582585e-08
1852,6.510545436100301e-10,3.971432649407802e-08
1853,1.1943863675867306e-09,5.2552998397459305e-08
1854,1.558699391779328e-09,4.2084881357595805e-08
1855,1.0613874223963649e-09,4.139410947345823e-08
1856,5.177189232874468e-10,5.3325048154917454e-08
1857,0.0,4.6862489000432106e-08
1858,4.893676019968041e-10,4.991549573674092e-08
1859,0.0,3.717286678472931e-08
1860,0.0,3.341344401164292e-08
1861,4.715963730639317e-10,3.914249901981748e-08
1862,0.0,1.9879140111811466e-08
1863,0.0,3.8958043457881786e-08
1864,4.794727948009836e-10,4.459096825115694e-08
1865,0.0,4.9421867487353666e-08
1866,0.0,3.405929049904444e-08
1867,0.0,2.9602150064533816e-08
1868,0.0,2.6181332657415624e-08
1869,0.0,2.9789466893248573e-08
1870,0.0,3.383088742481277e-08
1871,0.0,2.4428708167434365e-08
1872,0.0,2.7213026498884574e-08
1873,0.0,2.6937019725892242e-08
1874,0.0,3.2262889249068394e-08
1875,0.0,1.9453191668628023e-08
1876,0.0,1.6324239737741664e-08
