year,deviez_VERB avoir_VERB
1800,4.4018303668735825e-08
1801,1.0715321963061797e-07
1802,6.042168365638645e-08
1803,3.510610468993036e-08
1804,1.1123329102247226e-07
1805,3.980028751016107e-08
1806,3.1698359492793315e-08
1807,1.4234775136401367e-08
1808,1.8128591960930862e-08
1809,2.25903047379461e-08
1810,3.2761775514700275e-08
1811,4.262030373070047e-08
1812,6.934741492159446e-08
1813,3.4508900625951355e-08
1814,2.8320094713762956e-08
1815,2.6972236000233352e-08
1816,4.4034472068688046e-08
1817,8.874178547557676e-08
1818,6.556647491606782e-08
1819,7.03871378959775e-08
1820,6.170570543417853e-08
1821,1.4693617345074017e-07
1822,8.421517350143404e-08
1823,4.348382276475604e-08
1824,7.326367779114662e-08
1825,4.9310479255382234e-08
1826,4.668231667892542e-08
1827,3.871254605769536e-08
1828,5.1364885678140126e-08
1829,6.42988169374803e-08
1830,5.9489963177838945e-08
1831,5.9246584527272717e-08
1832,3.2471927369215337e-08
1833,2.4325620628928846e-08
1834,2.5203233278148218e-08
1835,5.294161553592858e-08
1836,5.443807538085821e-08
1837,7.653680000885288e-08
1838,5.9334322344284374e-08
1839,6.222413162504381e-08
1840,2.5478755105723394e-08
1841,2.632424944692957e-08
1842,2.95163662400455e-08
1843,4.3120451209688326e-08
1844,5.817874892954933e-08
1845,4.2409730838244286e-08
1846,3.8639708321852595e-08
1847,2.9123407685460734e-08
1848,1.609044275596716e-08
1849,2.1786478399121734e-08
1850,5.702756666892128e-08
1851,5.159551008659946e-08
1852,3.841221740685796e-08
1853,4.478948767427937e-08
1854,4.1045748133683446e-08
1855,3.980202833986368e-08
1856,5.177189166261087e-08
1857,6.394776619345066e-08
1858,6.900083349137276e-08
1859,4.1755821911237945e-08
1860,3.8906062371779626e-08
1861,3.4426534512022045e-08
1862,7.228778287071691e-08
1863,4.04564275413577e-08
1864,8.103090465283458e-08
1865,3.106517354467542e-08
1866,3.795178216137174e-08
1867,1.9896527092555516e-08
1868,2.5687345583946808e-08
1869,3.027781758646597e-08
1870,2.981705193860762e-08
1871,3.504988654867702e-08
1872,4.051717183983783e-08
1873,4.19020302899753e-08
1874,4.958925714504403e-08
1875,4.520006413599731e-08
1876,2.478866001354163e-08
1877,3.710889728836264e-08
1878,4.7708802242141246e-08
1879,4.581993806596074e-08
1880,4.2357786611546544e-08
1881,2.7890029841159958e-08
1882,3.3276926103553706e-08
1883,4.73950407808843e-08
1884,2.8387297845711146e-08
1885,2.513797880965285e-08
1886,2.0005737511041843e-08
1887,3.982643903555072e-08
1888,3.1703073943845084e-08
1889,2.8193115397812107e-08
1890,1.3764211992395303e-08
1891,3.4420789774003424e-08
1892,2.2566645441202127e-08
1893,2.894455697344256e-08
1894,2.457600345451283e-08
1895,1.5046536461227333e-08
1896,2.299841384001411e-08
1897,1.1653426668090106e-08
1898,2.319925584970406e-08
1899,1.4371703827009696e-08
1900,2.906989848838748e-08
1901,2.1237207548097103e-08
1902,1.6203935970793282e-08
1903,1.8900770726304472e-08
1904,1.5586412160928376e-08
1905,3.973784501454247e-08
1906,3.9095802151223324e-08
1907,1.0799970695529737e-08
1908,1.4734167663732478e-08
1909,4.1807474815414025e-08
1910,1.3894791983659616e-08
1911,1.9153347352585115e-08
1912,1.719108944087111e-08
1913,2.969674284258872e-08
1914,2.0759905794420774e-08
1915,2.9451904026700504e-08
1916,2.5271162940043723e-08
1917,2.1932848426331475e-08
1918,2.5270027848023346e-08
1919,2.2098836538475553e-08
1920,3.180337415642498e-08
1921,2.574734203619755e-08
1922,2.0658220023506146e-08
1923,2.229349149729387e-08
1924,1.5469948877466777e-08
1925,3.189471442510694e-08
1926,2.452150482668003e-08
1927,4.5711821883287485e-08
1928,1.1426041446327417e-08
1929,1.893869061575515e-08
1930,3.886333388436469e-08
1931,2.8513390759599133e-08
1932,1.2055489939655217e-08
1933,2.1794258842078307e-08
1934,2.156684431042777e-08
1935,8.377798899061872e-09
1936,7.274828739411987e-09
1937,1.1332006444320086e-08
1938,1.4261735792331365e-08
1939,1.6823456405745674e-08
1940,1.0143131667916805e-08
1941,1.7709016475464523e-08
1942,1.2136847082899749e-08
1943,2.9032351633873077e-08
1944,1.6065930807940276e-08
1945,1.742803235060819e-08
1946,2.3665876369705074e-08
1947,1.907339353124371e-08
1948,2.717971980814582e-08
1949,1.8652315247891238e-08
1950,2.6588404367089424e-08
1951,2.6653504292539765e-08
1952,1.1599284199803606e-08
1953,8.619061908632375e-09
1954,2.052232517257835e-08
1955,2.1586897602787758e-08
1956,1.5698054411927842e-08
1957,2.03205861026845e-08
1958,1.7371711180658167e-08
1959,2.015194411342236e-08
1960,1.7302083321624195e-08
1961,1.111705483225478e-08
1962,1.4586500007851555e-08
1963,2.651081842941494e-08
1964,3.04198408684897e-08
1965,2.8454625322638094e-08
1966,3.5450078428311826e-08
1967,3.3526280418527676e-08
1968,3.0092486724697665e-08
1969,2.5888018839737015e-08
1970,2.207388050123882e-08
1971,1.849823050292798e-08
1972,1.898154344814884e-08
1973,1.9847533394568018e-08
1974,2.0814615808717463e-08
1975,1.6563292959403952e-08
1976,1.199840671262109e-08
1977,1.057820764316375e-08
1978,1.3663360221016774e-08
1979,2.3993090181306798e-08
1980,1.3644362084619388e-08
1981,2.1506869174459098e-08
1982,1.1173503899897241e-08
1983,1.4525227243211702e-08
1984,1.5657322549600394e-08
1985,1.4437339324047116e-08
1986,2.2779044428489215e-08
1987,2.199894133525504e-08
1988,1.199310784016916e-08
1989,1.3720305780395847e-08
1990,1.0897301727652575e-08
1991,2.1101275393675678e-08
1992,1.8733810946969243e-08
1993,1.883330469354405e-08
1994,1.8462243289718572e-08
1995,1.2471637056421514e-08
1996,2.1352368761995422e-08
1997,1.2466725429760572e-08
1998,1.0489884516573511e-08
1999,1.6452723627935484e-08
2000,1.4579503826439577e-08
2001,1.5334240544007116e-08
2002,1.3143664823189738e-08
2003,1.2084076850271686e-08
2004,1.3214373595360485e-08
2005,1.5763124139311913e-08
2006,1.3589036562677848e-08
