year,voudrions_VERB ajouter_VERB
1800,0.0
1801,2.3811825844433088e-09
1802,2.0140561218795483e-08
1803,3.900678446910888e-09
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,2.5070767684098882e-09
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,1.622322720606917e-08
1817,7.784366928831332e-09
1818,4.768470951432846e-09
1819,3.1053151161586356e-09
1820,0.0
1821,1.97229765852569e-09
1822,6.015369535816717e-09
1823,1.9765373782121287e-09
1824,8.421112696055388e-09
1825,0.0
1826,0.0
1827,9.217273055917019e-10
1828,0.0
1829,8.57317605795771e-10
1830,4.174734336004349e-09
1831,0.0
1832,1.8941957335982806e-08
1833,0.0
1834,7.467624740797874e-09
1835,6.050470346963266e-09
1836,0.0
1837,1.0436836284100082e-08
1838,0.0
1839,1.3982950353153e-09
1840,3.821813088222825e-09
1841,8.988767952189392e-09
1842,9.391571076378114e-09
1843,1.063243981747064e-08
1844,6.586273748609983e-09
1845,1.1718478631905782e-08
1846,7.610851504580296e-09
1847,9.707802561820245e-09
1848,2.413566457803995e-09
1849,5.02764896381791e-09
1850,2.5798184921654865e-08
1851,7.739326512989919e-09
1852,2.6042181744401205e-09
1853,5.3747388761848924e-09
1854,5.7152309551611324e-09
1855,1.0083180512765466e-08
1856,7.765783571755946e-09
1857,6.345961978126979e-09
1858,7.34051397444091e-09
1859,3.055304009791371e-09
1860,4.57718396518203e-09
1861,3.395494019287071e-08
1862,1.2650361647104091e-08
1863,1.4983863039219614e-08
1864,6.712618905169165e-09
1865,1.3179164426446732e-08
1866,1.556996132023869e-08
1867,5.82337378318698e-09
1868,2.420538258718352e-08
1869,5.371870948067681e-09
1870,4.013834153937523e-09
1871,1.0621176826930423e-08
1872,5.442605477412599e-09
1873,6.584604861359367e-09
1874,1.1949218281515073e-09
1875,6.293679799540541e-09
1876,1.0882827083946722e-08
1877,1.855444864418132e-08
1878,9.058632954861423e-09
1879,3.665595160740054e-09
1880,1.0268554007097919e-08
1881,2.4403776777148778e-08
1882,1.2645231528551903e-08
1883,5.687405213450347e-09
1884,2.2445769687351458e-08
1885,1.353583467533781e-08
1886,8.38950331427668e-09
1887,1.1099172247952538e-08
1888,1.6485598663962264e-08
1889,7.51816386923565e-09
1890,1.7041404731799048e-08
1891,2.1672347472190268e-08
1892,9.402768341715273e-09
1893,1.1700991287000306e-08
1894,4.411077725308132e-09
1895,1.023164486468886e-08
1896,5.307326134129653e-09
1897,1.0488084178916779e-08
1898,1.584339415217073e-08
1899,3.3165470370022376e-09
1900,1.9206897405865675e-08
1901,1.620734302321125e-08
1902,1.915010727771005e-08
1903,5.400220270956879e-09
1904,1.0211787859759625e-08
1905,1.3417973399043603e-08
1906,2.623534101076075e-08
1907,6.1714118260169926e-09
1908,1.6698722404839828e-08
1909,8.251475058784763e-09
1910,1.336037680488289e-08
1911,5.852411444351446e-09
1912,1.2502610502451716e-08
1913,1.1666577037772186e-08
1914,1.7411533548283842e-08
1915,9.424609537234119e-09
1916,1.538244731591476e-08
1917,2.8512703309502285e-08
1918,3.445912710731136e-08
1919,1.6574126959767455e-08
1920,1.817335615328375e-08
1921,1.6660044011018726e-08
1922,2.2133805899215986e-08
1923,1.2739137744688378e-08
1924,1.675911143195208e-08
1925,2.5295809891190402e-08
1926,2.5636119005412183e-08
1927,2.6758140592164636e-08
1928,2.399468712610542e-08
1929,3.8991423423340166e-08
1930,3.7812974085227324e-08
1931,3.193499864551086e-08
1932,2.9590749406338546e-08
1933,3.326492148403304e-08
1934,3.354842448288764e-08
1935,2.8723881939640705e-08
1936,3.273672888326473e-08
1937,2.1404900962807005e-08
1938,4.2785206488815675e-08
1939,2.2941076593951948e-08
1940,3.550096039361961e-08
1941,1.1806010391524069e-08
1942,3.3376331032286544e-08
1943,3.4838823381733164e-08
1944,3.534504600111177e-08
1945,3.485606470121638e-08
1946,2.645009899993056e-08
1947,4.2915136333476767e-08
1948,2.8266908813634473e-08
1949,3.7304630495782476e-08
1950,3.93508372553697e-08
1951,3.6248767543156646e-08
1952,3.9015773722894664e-08
1953,3.5553629373907825e-08
1954,4.88626810124515e-08
