year,vouliez_VERB aller_VERB
1800,2.2009151834367913e-08
1801,1.4287095950749062e-08
1802,0.0
1803,1.950339267864365e-08
1804,4.943701892301533e-09
1805,0.0
1806,0.0
1807,5.693910232196231e-09
1808,1.3596443970698147e-08
1809,2.259030518203531e-09
1810,2.3401266702194334e-08
1811,2.5070767684098882e-09
1812,5.067695596494559e-08
1813,5.751483289628823e-09
1814,0.0
1815,8.091670444798638e-09
1816,2.3176038865813098e-08
1817,7.784366928831332e-09
1818,3.5763532135746345e-09
1819,2.070210003424222e-09
1820,9.255855104584043e-08
1821,1.577838126820552e-08
1822,8.02049271442229e-09
1823,1.4824030003524058e-08
1824,1.1789557774477544e-08
1825,7.924898959288385e-09
1826,7.0463874735082754e-09
1827,4.885154680778214e-08
1828,1.1006761724274838e-08
1829,1.628903412154159e-08
1830,1.982998831806526e-08
1831,7.795603274018958e-09
1832,5.411987746839486e-09
1833,1.0425265983826648e-08
1834,1.4001796166951408e-08
1835,4.310960122211327e-08
1836,1.1425274948351216e-08
1837,1.948209416013924e-08
1838,9.468243078458727e-09
1839,1.3982949909063791e-08
1840,1.2102408852854296e-08
1841,1.8619591202195807e-08
1842,2.5491406319133603e-08
1843,1.0041748765843295e-08
1844,1.0428266250528395e-08
1845,7.254296274794569e-09
1846,1.5807152919933287e-08
1847,1.833696039454935e-08
1848,1.689496542667257e-08
1849,4.8600607982507427e-08
1850,1.765138968323754e-08
1851,6.449438760824933e-09
1852,1.2370036550635177e-08
1853,8.957897534855874e-09
1854,1.9223959313308114e-08
1855,1.9104973603134567e-08
1856,2.0708757375587084e-08
1857,4.881508974818871e-09
1858,2.7404585267731818e-08
1859,1.476730293603623e-08
1860,1.5104706818647173e-08
1861,3.7256114637784776e-08
1862,1.8975542914745347e-08
1863,1.0988165932701577e-08
1864,2.8768367243969806e-08
1865,2.023943146411966e-08
1866,1.216403244796993e-08
1867,1.3102591012170706e-08
1868,1.333765986544222e-08
1869,6.8369265804335555e-09
1870,1.548193218070537e-08
1871,1.5931766128574054e-08
1872,1.69325495846806e-08
1873,2.454261860407314e-08
1874,8.364453130127458e-09
