year,pas_ADV accompagné_VERB,pas_ADV raccompagné_VERB
1800,1.6978488304175698e-07,0.0
1801,2.214499801311831e-07,0.0
1802,1.879785713754245e-07,0.0
1803,2.02835281015723e-07,0.0
1804,2.2988213288499537e-07,0.0
1805,2.103729457303416e-07,0.0
1806,1.7290014397985942e-07,0.0
1807,2.135216305987342e-07,0.0
1808,3.3537895660629147e-07,0.0
1809,2.1234886560250743e-07,0.0
1810,2.7145469516653975e-07,0.0
1811,2.356652117896374e-07,0.0
1812,2.453831484672264e-07,0.0
1813,3.105801056335622e-07,0.0
1814,1.8250727862323401e-07,0.0
1815,1.8071398244501324e-07,0.0
1816,1.4600904307826568e-07,0.0
1817,1.3544799060127843e-07,0.0
1818,2.062363648747123e-07,0.0
1819,1.9666994433009677e-07,0.0
1820,1.578242034838695e-07,0.0
1821,1.6567300065162271e-07,0.0
1822,2.406147814326687e-07,0.0
1823,1.90735860883251e-07,0.0
1824,1.717907025522436e-07,0.0
1825,2.2101662011664303e-07,0.0
1826,2.1315321419024258e-07,0.0
1827,2.0001482425868744e-07,0.0
1828,2.311419962097716e-07,0.0
1829,3.4035508633678546e-07,0.0
1830,2.9536244028349756e-07,0.0
1831,2.525775357753446e-07,0.0
1832,2.4218644512075116e-07,0.0
1833,2.4209782623074716e-07,0.0
1834,2.2122837606275425e-07,0.0
1835,2.193295500774184e-07,0.0
1836,2.224568333986099e-07,0.0
1837,2.46309326712435e-07,0.0
1838,1.7610931024591991e-07,0.0
1839,3.362899576586642e-07,0.0
1840,2.8663598072853347e-07,0.0
1841,2.459070174154476e-07,0.0
1842,2.5223076249858423e-07,0.0
1843,1.8665838297238224e-07,0.0
1844,2.4808298348943936e-07,0.0
1845,2.2320911341466854e-07,0.0
1846,1.8207498442279757e-07,0.0
1847,2.4269505161100824e-07,0.0
1848,1.8343105523399572e-07,0.0
1849,2.681412638594338e-07,0.0
1850,2.2878916183799447e-07,0.0
1851,2.3411462279909756e-07,0.0
1852,2.701876269384229e-07,0.0
1853,2.191699053355478e-07,0.0
1854,2.0834615099829534e-07,0.0
1855,2.0537846978641028e-07,0.0
1856,2.2572544366994407e-07,0.0
1857,2.1771531066860916e-07,0.0
1858,1.928108304127818e-07,0.0
1859,1.980855444116969e-07,0.0
1860,2.2428200452395686e-07,0.0
1861,2.2778104380449804e-07,0.0
1862,2.2183311898515967e-07,0.0
1863,2.5023049943229125e-07,0.0
1864,1.9178911259132292e-07,0.0
1865,2.4993343572532467e-07,0.0
1866,1.9608420132044557e-07,0.0
1867,2.028475165616328e-07,0.0
1868,2.2328231352730654e-07,0.0
1869,2.3685068128997955e-07,0.0
1870,2.2592152504330443e-07,0.0
1871,2.0392660360357695e-07,0.0
1872,2.0984266768664384e-07,0.0
1873,2.5500378342258045e-07,0.0
1874,2.5989550067606615e-07,0.0
1875,1.853774733717728e-07,0.0
1876,2.0858750815477833e-07,0.0
1877,2.1956097384645545e-07,0.0
1878,1.7090620474391471e-07,0.0
1879,1.7900323712183308e-07,0.0
1880,1.822668309614528e-07,0.0
1881,1.8965221215694328e-07,0.0
