year,sans_ADP échauffer_VERB,sans_ADP réchauffer_VERB
1800,5.345079756580162e-08,9.432493897065797e-09
1801,3.809892135109294e-08,0.0
1802,4.923248297927785e-08,6.713520406265161e-09
1803,9.751695984050457e-08,3.900678446910888e-09
1804,9.39303390623536e-08,0.0
1805,4.264316544322355e-08,0.0
1806,4.8988376022407465e-08,0.0
1807,4.555128185756985e-08,8.540865792383556e-09
1808,5.891792298484688e-08,0.0
1809,9.262025457701384e-08,3.162642769893864e-08
1810,5.616304221689461e-08,4.680253518074551e-09
1811,5.264861258069686e-08,0.0
1812,7.20146218213813e-08,2.6672082320544632e-09
1813,1.00650957790549e-07,0.0
1814,2.5173417128598885e-08,0.0
1815,2.966945977789237e-08,0.0
1816,1.8540831092650478e-08,2.3176038865813098e-09
1817,2.6466848268569265e-08,0.0
1818,5.0068944545955674e-08,0.0
1819,5.072014630513877e-08,1.6561680027393777e-08
1820,1.4239777357261119e-08,0.0
1821,4.141825016290568e-08,0.0
1822,3.408709403629473e-08,0.0
1823,4.15072847204101e-08,2.9648061783404955e-09
1824,4.5474010335055937e-08,0.0
1825,2.1133063299316746e-08,0.0
1826,1.0569580766173203e-08,8.807984341885344e-10
1827,3.410390903013649e-08,3.6869092223668076e-09
1828,1.559291185060374e-08,0.0
1829,1.971830521085849e-08,8.57317605795771e-10
1830,1.6698937344017395e-08,1.1480519646056564e-08
1831,7.795603274018958e-09,4.677361609140007e-09
1832,2.570694235259907e-08,2.841293600397421e-08
1833,1.50587169400751e-08,8.108539617524002e-09
1834,4.1071935186209885e-08,1.6802156110884425e-08
1835,1.5882484660778573e-08,8.31939672707449e-09
1836,3.696412420595152e-08,6.720750067579218e-10
1837,3.6876823372722356e-08,5.5663127440652715e-09
1838,2.5879863585487328e-08,1.3255539776935166e-08
1839,1.4682098203877558e-08,1.3982950353153e-09
1840,1.46502836528839e-08,1.46502836528839e-08
1841,1.1556987367100646e-08,1.8619591202195807e-08
1842,1.341653010911159e-08,4.695785538189057e-09
1843,3.6622846977252266e-08,2.3627644285539873e-09
1844,2.9638231424655714e-08,1.6465684371524958e-09
1845,1.7298706467272496e-08,7.812318791877715e-09
1846,9.952652035849496e-09,1.7563503984519002e-09
1847,2.0494249852731627e-08,1.6179670936367074e-09
1848,2.413566591030758e-08,6.43617736884039e-09
1849,3.267971848686102e-08,8.379414939696517e-10
1850,4.1412874907109654e-08,6.1100964288129944e-09
1851,1.7413483988093503e-08,1.9348316282474798e-09
1852,7.161600201754936e-09,9.114764054629632e-09
1853,1.6721408258035808e-08,2.388772735173461e-09
1854,1.1950028522278444e-08,2.0782657816909023e-09
1855,2.0166361025530932e-08,3.1841622671890946e-09
1856,3.9346637947801355e-08,1.0354378465748937e-09
1857,3.368241152656992e-08,0.0
1858,4.6489923022363655e-08,9.787352039936081e-10
1859,1.323965115318515e-08,9.675129142294736e-09
1860,1.1442959468865865e-08,4.119465657481669e-09
1861,2.7352589526685733e-08,1.4147891747029462e-09
1862,4.201727321628823e-08,1.0843167252971853e-08
1863,2.097740825490746e-08,1.4983863039219614e-09
1864,4.9865171547480713e-08,7.1920918109924514e-09
1865,1.3649848362717876e-08,4.23615986733239e-09
1866,1.556996132023869e-08,9.731225603104576e-09
1867,2.038180824115443e-08,1.94112459439566e-09
1868,4.347089088696521e-08,3.457911734727759e-09
1869,2.2952539424636598e-08,6.348574999037737e-09
1870,1.834895613228582e-08,6.880858549607183e-09
1871,2.442870794538976e-08,1.274541272522356e-08
1872,3.507456725060365e-08,2.4189357183956872e-09
1873,1.7958013742713774e-08,1.1972008939764578e-09
1874,1.3741600746186577e-08,4.779687312606029e-09
1875,2.345826111138649e-08,6.293679799540541e-09
1876,2.2370254981751714e-08,1.813804439976252e-09
1877,1.1132669008873108e-08,7.421779191219002e-09
1878,1.3889904337816006e-08,0.0
1879,1.2829582729523281e-08,3.0546627449723474e-09
1880,3.5939940801199555e-08,2.5671385017744797e-09
1881,1.2550513517339823e-08,6.9725074602899895e-09
1882,1.5972924316542958e-08,3.3276925659464496e-09
1883,1.64302811356265e-08,6.319338829996468e-09
1884,1.1222884843675729e-08,1.3203393933736152e-09
1885,1.6114089618213256e-08,1.933690763067375e-09
1886,1.8069698626277386e-08,6.453463874400711e-10
1887,2.415702127223085e-08,4.570247291724172e-09
1888,1.2047167707862627e-08,1.4583413587843097e-08
1889,6.891650361495749e-09,6.265136742733546e-10
1890,2.2284913470116408e-08,7.209825181320184e-09
1891,8.92390783491237e-09,2.5496880162734215e-09
1892,1.6924984080901595e-08,1.002961980134387e-08
