year,six_DET aigles_NOUN,six_DET règles_NOUN
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,5.851017448321727e-09
1804,0.0,0.0
1805,0.0,5.685755422035754e-09
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,4.5321479902327155e-09
1809,0.0,1.129515236897305e-08
1810,0.0,1.8721014072298203e-08
1811,0.0,1.2535384286138651e-08
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,1.0788894222457657e-08
1816,0.0,2.3176038865813098e-09
1817,6.227493631882908e-09,2.80237220096069e-08
1818,0.0,4.768470951432846e-09
1819,0.0,4.140420117870747e-09
1820,0.0,0.0
1821,0.0,2.070912508145284e-08
1822,3.0076847679083585e-09,8.02049271442229e-09
1823,0.0,1.9765373782121287e-09
1824,0.0,8.421112696055388e-10
1825,0.0,1.7610886082763955e-09
1826,0.0,1.2331177634550272e-08
1827,0.0,6.452091028119611e-09
1828,0.0,7.337841001486822e-09
1829,0.0,8.57317605795771e-10
1830,3.1310507520032616e-09,9.39315203396518e-09
1831,0.0,1.5591206103948707e-09
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,2.42697808516823e-08
1835,0.0,0.0
1836,1.3441500135158435e-09,0.0
1837,0.0,3.478945576063097e-09
1838,6.312161904276081e-10,2.5248647617104325e-09
1839,0.0,1.3982950353153e-09
1840,0.0,9.55453260953476e-09
1841,0.0,2.5682194149112547e-09
1842,0.0,6.708265054555795e-09
1843,5.906911071384968e-10,6.497602011990011e-09
1844,0.0,1.0428266250528395e-08
1845,0.0,5.022205318283568e-09
1846,0.0,1.0538102168666796e-08
1847,1.0786447290911383e-09,0.0
1848,5.63165514222419e-09,8.045221711050488e-10
1849,5.02764896381791e-09,8.379414939696517e-10
1850,1.968808760466345e-08,1.3577992064028876e-09
1851,0.0,0.0
1852,0.0,4.557382027314816e-09
1853,0.0,4.777545470346922e-09
1854,2.5978321716024766e-09,3.117398617025202e-09
1855,1.5920811335945473e-09,8.491099379170919e-09
1856,6.212626857404757e-09,1.0354378465748937e-09
1857,5.857811125054013e-09,9.763018171682347e-10
1858,2.936205500958522e-09,3.9149408159744326e-09
1859,1.5276520048956854e-09,0.0
1860,0.0,6.408057640072684e-09
1861,3.3011746669586728e-09,1.4147891747029462e-09
1862,0.0,4.517986262886353e-10
1863,3.496234635136375e-09,1.4983863039219614e-09
1864,0.0,4.794727948009836e-09
1865,1.882737743486018e-09,5.1775286835642476e-09
1866,0.0,9.731226047193786e-09
1867,1.455843445796745e-09,4.367530337390235e-09
1868,0.0,1.1855697756857353e-08
1869,0.0,5.860222973552709e-09
1870,1.7202146374017957e-09,2.8670243956696595e-09
1871,0.0,2.1242354542039266e-09
1872,6.047339295989218e-10,6.047339295989218e-10
1873,1.1972008939764578e-09,8.97900703789034e-09
1874,0.0,1.1949218281515073e-09
1875,0.0,7.437985338754061e-09
1876,0.0,3.627608879952504e-09
1877,6.184815992682502e-10,4.329371083855449e-09
1878,0.0,1.6305540029293297e-08
1879,8.55305515301552e-09,8.553055041993218e-09
1880,1.2835692508872398e-09,7.059630879879819e-09
1881,0.0,2.789003084036068e-09
1882,6.655385131892899e-10,6.655385131892899e-09
1883,0.0,1.8958017378167824e-09
1884,0.0,7.2618666635548834e-09
1885,1.933690763067375e-09,3.2228177904158883e-09
1886,0.0,3.872078213618124e-09
1887,0.0,5.223139698529167e-09
1888,0.0,3.1703073499755874e-09
1889,1.2530273485467092e-09,1.8795409673089125e-09
1890,0.0,6.554386478008212e-10
1891,0.0,0.0
1892,0.0,6.268512375839919e-10
1893,0.0,6.15841644346915e-09
1894,0.0,1.2603078580752936e-09
1895,6.018614495673091e-10,1.8055843487019274e-09
1896,0.0,1.179405795248556e-09
1897,0.0,5.826713556089658e-10
1898,0.0,6.790025763869778e-09
1899,3.3165470370022376e-09,6.080336234504102e-09
1900,5.191053142894475e-10,5.710158568206225e-09
