year,quelques_DET aigles_NOUN,quelques_DET règles_NOUN
1800,1.5720822865716855e-08,4.401830384637151e-07
1801,0.0,6.762558442119371e-07
1802,0.0,5.773627549388038e-07
1803,1.950339223455444e-09,5.265916094288059e-07
1804,0.0,7.193086482004674e-07
1805,0.0,7.306195755063527e-07
1806,2.881669125542885e-09,7.204173009256465e-07
1807,0.0,7.402083390672942e-07
1808,1.5862518409903714e-08,5.302612970936593e-07
1809,1.355418333126579e-08,4.3373386571232686e-07
1810,6.084329839950442e-08,8.424456385824897e-07
1811,0.0,5.114436874009698e-07
1812,2.6672082320544632e-09,6.267939145487844e-07
1813,0.0,6.671720598205866e-07
1814,1.8880061958270744e-08,7.583492127594127e-07
1815,2.4275012222574333e-08,4.962891564375127e-07
1816,0.0,5.33048885031917e-07
1817,3.113746815941454e-09,5.635881863419456e-07
1818,0.0,4.6015744281646676e-07
1819,9.315945348475907e-09,5.98290680997593e-07
1820,2.1359666035891678e-08,6.58589677904331e-07
1821,1.1833785507064931e-08,6.745258129825515e-07
1822,4.010246357211145e-09,5.664473263777836e-07
1823,0.0,5.079701317356466e-07
1824,1.6842225392110777e-09,6.416888069793458e-07
1825,0.0,5.688316431218254e-07
1826,1.7615968683770689e-09,4.985319144168443e-07
1827,9.217273055917019e-10,6.184789973495697e-07
1828,0.0,6.136269750101064e-07
1829,0.0,5.812613190769866e-07
1830,2.0873671680021744e-09,7.034427600416393e-07
1831,1.5591206103948707e-09,6.080570500444082e-07
1832,5.411987857861789e-09,6.264375809195144e-07
1833,3.4750886612755494e-09,7.425105845726421e-07
1834,7.467624740797874e-09,6.394153544420078e-07
1835,1.8907719834260206e-08,5.61937426368786e-07
1836,1.2769425516978572e-08,7.157598673757093e-07
1837,5.566312633042969e-09,6.533459462332303e-07
1838,1.199310784016916e-08,6.432093115904536e-07
1839,1.3982950353153e-09,7.991256119055379e-07
1840,3.821813088222825e-09,5.293211220447347e-07
1841,7.0626033910059505e-09,6.889248460595354e-07
1842,1.1404050592744852e-08,6.446642633051169e-07
