year,auriez_VERB ajouté_VERB
1800,0.0
1801,3.095537337571841e-08
1802,0.0
1803,9.751696339321825e-09
1804,1.2359254952798437e-08
1805,0.0
1806,0.0
1807,5.693910232196231e-09
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,1.3336041604361526e-08
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,1.2454987263765815e-08
1818,7.152706427149269e-09
1819,9.315945348475907e-09
1820,2.3732962262101864e-09
1821,1.972297702934611e-08
1822,6.015369535816717e-09
1823,1.9765373782121287e-09
1824,1.0105335235266466e-08
1825,1.2327619813845558e-08
1826,7.927186018719112e-09
1827,2.7651818612639545e-09
1828,3.668920500743411e-09
1829,1.0287811491593857e-08
1830,2.0873671680021744e-09
1831,6.236482441579483e-09
1832,5.411987746839486e-09
1833,1.3900354645102198e-08
1834,9.334530925997342e-10
1835,3.025235173481633e-09
1836,1.3441500135158435e-09
1837,6.262101948095733e-09
1838,1.8936485712828244e-09
1839,3.4957374772659477e-09
1840,0.0
1841,3.852329122366882e-09
1842,4.695785538189057e-09
1843,3.5441467538532834e-09
1844,5.488561272137815e-10
1845,1.1160455892778032e-09
1846,7.025401593807601e-09
1847,1.3483059113639229e-08
1848,3.218088684420195e-09
1849,8.379414939696517e-10
1850,2.7155984128057753e-09
1851,3.8696632564949596e-09
1852,2.6042181744401205e-09
1853,2.388772735173461e-09
1854,2.0782657816909023e-09
1855,1.4859423913549108e-08
1856,0.0
1857,2.4407544874094356e-09
1858,2.4468380654951716e-09
1859,5.092173349652285e-10
1860,1.0527522853465143e-08
1861,5.187560159214399e-09
1862,5.421583626485926e-09
1863,9.989241656072068e-10
1864,2.8768367688059016e-09
1865,0.0
1866,0.0
1867,0.0
1868,1.4819622196071691e-09
1869,1.953407657850903e-09
1870,4.013834153937523e-09
1871,6.37270636261178e-09
1872,5.442605477412599e-09
1873,2.3944017879529156e-09
1874,7.169530746864439e-09
1875,1.716458086775674e-09
1876,3.627608879952504e-09
1877,4.329371083855449e-09
1878,6.6429977074733415e-09
1879,7.331190321480108e-09
1880,6.417846254436199e-09
1881,1.3945015142624584e-09
1882,1.1314154946262533e-08
1883,3.159669414998234e-09
1884,6.601696966868076e-10
1885,1.2891271383708158e-09
1886,2.5813855497602844e-09
1887,1.9586774424595887e-09
1888,2.53624587998047e-09
1889,1.8795409673089125e-09
1890,2.6217545912032847e-09
1891,1.9122659011827636e-09
1892,1.2537024751679837e-09
1893,3.079208221734575e-09
1894,3.150769645188234e-09
1895,2.4074457982692365e-09
1896,1.179405795248556e-09
1897,0.0
1898,0.0
1899,4.4220627160029835e-09
1900,4.15284251431558e-09
1901,5.588738916095792e-10
1902,4.910283846193408e-10
1903,1.0800440541913758e-09
1904,1.0749250378694342e-09
1905,0.0
1906,1.0288369045596824e-09
1907,1.2857108266928208e-08
1908,4.911389073214423e-10
1909,2.7504918342913243e-09
1910,1.068830135508847e-09
1911,1.5961122423746588e-09
1912,1.5628263128064646e-09
1913,0.0
1914,0.0
1915,0.0
1916,1.0987462051303964e-09
1917,9.869782324756216e-09
1918,4.594550517822427e-09
1919,1.012863304339362e-08
1920,3.028892692213958e-09
1921,3.0290989716519334e-09
1922,3.6889677978990676e-09
1923,0.0
1924,2.578324886925998e-09
1925,1.0998177923937646e-09
1926,1.1146138456652466e-09
1927,8.919379901328739e-09
1928,2.2852082448565625e-09
1929,4.4561625500705304e-09
1930,3.1510811737689437e-09
1931,0.0
1932,4.383814644626227e-09
1933,0.0
1934,3.5944740517379614e-09
1935,0.0
1936,8.487299751891442e-09
1937,1.2591118148108649e-09
1938,1.2965214457594243e-09
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,6.535512131478072e-09
1946,5.568441707737293e-09
1947,0.0
1948,3.2615663503321457e-09
1949,9.817008317369869e-10
1950,3.190608444114673e-09
1951,3.1984206394497505e-09
1952,4.2179215675730575e-09
1953,1.0773827385790469e-09
1954,9.772536113672459e-10
1955,1.8771215692936494e-09
1956,8.72114158667614e-10
1957,4.417518795207798e-09
1958,8.272243445794913e-10
1959,1.5501495642666896e-09
1960,1.3841666701708277e-09
1961,6.948159270159238e-10
1962,4.43936931660005e-09
1963,1.939815863494232e-09
1964,6.6923653285755336e-09
1965,1.0944086747954884e-09
1966,1.6617224263271169e-09
1967,1.4791006197611978e-09
1968,5.3896989093971115e-09
1969,9.083515606356229e-10
1970,4.5987250119061684e-10
1971,2.569198631618974e-09
1972,1.5390440033513642e-09
1973,1.102640756478479e-09
1974,2.2502286700643026e-09
1975,1.7134440533084216e-09
1976,0.0
1977,1.1753563677885381e-09
1978,0.0
1979,5.851973350345929e-10
1980,2.8425752862659692e-09
1981,0.0
1982,1.8622506869903077e-09
1983,0.0
1984,0.0
1985,2.4062232206745193e-09
1986,1.7983456945813714e-09
1987,2.4443267410134695e-09
1988,5.996553809062277e-10
1989,5.488122178931576e-10
1990,5.44865097484859e-10
1991,1.1722930404189924e-09
1992,2.2039776670368383e-09
1993,5.539207426075166e-10
1994,2.637463358823311e-09
1995,2.7112254663563817e-09
1996,1.6014276571496566e-09
1997,1.917957792585412e-09
1998,9.536258449571733e-10
1999,4.570201161957499e-10
2000,0.0
2001,1.3143635069212678e-09
2002,2.6287327870022636e-09
2003,1.6667691671301554e-09
2004,0.0
2005,1.3511248786457486e-09
2006,8.235779835885637e-10
2007,1.5977917877663117e-09
2008,0.0
2009,1.907277002999308e-09
2010,9.447586046817946e-10
2011,0.0
2012,1.7021263287730903e-09
2013,1.3945624655065103e-09
2014,1.2992671383216248e-09
2015,2.21657536769726e-09
2016,5.178350193091319e-09
2017,0.0
2018,1.5488800242380307e-09
2019,1.7856913725466939e-09
