year,telles_ADJ règles_NOUN
1800,2.829747991484055e-08
1801,2.8574191901498125e-08
1802,1.3427040812530322e-08
1803,9.751696339321825e-09
1804,2.7190360185613827e-08
1805,2.842877711017877e-09
1806,2.0171682990621775e-08
1807,5.693910232196231e-09
1808,9.064295980465431e-09
1809,2.25903047379461e-08
1810,0.0
1811,2.5070767684098882e-09
1812,1.0668832928217853e-08
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,2.7811246638975717e-08
1817,2.1796227045456362e-08
1818,3.099506074022429e-08
1819,2.898294049202832e-08
1820,2.3732962262101864e-08
1821,2.7612166775270452e-08
1822,2.5064039732569654e-08
1823,1.8777104315859106e-08
1824,3.2000230021367315e-08
1825,2.8177417732422327e-08
1826,9.688783109140786e-09
1827,1.6591091167583727e-08
1828,1.2841221419535032e-08
1829,6.258418494553553e-08
1830,2.0873670791843324e-08
1831,7.795603096383275e-08
1832,2.570694235259907e-08
1833,4.51761508202253e-08
1834,1.4935249481595747e-08
1835,3.6302822081779595e-08
1836,2.755507466645213e-08
1837,3.5485243188304594e-08
1838,1.8936486156917454e-08
1839,6.571986688186371e-08
1840,1.46502836528839e-08
1841,5.778493772368165e-08
1842,3.152884531232303e-08
1843,3.0125246297529884e-08
1844,1.0977122322231025e-08
1845,3.738752596404993e-08
1846,3.571245699163228e-08
1847,2.588747349818732e-08
1848,1.126331028444838e-08
1849,1.0893239199560867e-08
1850,2.5119284430275002e-08
1851,1.6768540334055615e-08
1852,1.3021090872200602e-08
1853,4.658106789179328e-08
1854,4.676098086520142e-08
1855,1.326734277995456e-08
1856,3.520488789376941e-08
1857,3.270611159678083e-08
1858,2.2510910469009104e-08
1859,2.64793023063703e-08
1860,2.197048232233101e-08
1861,6.13075279431996e-09
1862,2.3945327498609004e-08
1863,3.446288232566985e-08
1864,2.205574922697906e-08
1865,3.153585836912498e-08
1866,3.405929049904444e-08
1867,3.105799351033056e-08
1868,1.877152122631287e-08
1869,2.3929244363785074e-08
1870,3.4404294524392753e-08
1871,3.292564798584863e-08
1872,3.265563108811875e-08
1873,2.993002112816612e-08
1874,2.7483201492373155e-08
1875,2.689117728493784e-08
1876,2.418405919968336e-08
1877,2.2265338017746217e-08
1878,1.69094480639842e-08
1879,4.093248051617593e-08
1880,4.3641353641987735e-08
1881,4.8807553554297556e-08
1882,4.326000180299161e-08
1883,2.5277355319985872e-08
1884,3.4328824227713994e-08
1885,3.158361394639542e-08
1886,2.3877817056927597e-08
1887,4.8966935395355904e-08
1888,2.282621380800265e-08
1889,4.761503902273034e-08
1890,4.129263331265065e-08
1891,2.039750413018737e-08
1892,3.322311670217459e-08
1893,3.571881634911733e-08
1894,3.0877544077156927e-08
1895,1.5046536461227333e-08
1896,1.1794058174530164e-08
1897,3.088158351260972e-08
1898,3.734514208986184e-08
1899,3.814029270188257e-08
1900,4.360484595622438e-08
1901,4.359216276839106e-08
1902,3.0443761289689064e-08
1903,4.266173903033632e-08
1904,5.4283713524228006e-08
1905,3.767354073147544e-08
1906,2.41776678677752e-08
1907,5.862841589987511e-08
1908,3.241516921548282e-08
1909,2.8605114721358404e-08
1910,4.3287620599130605e-08
1911,5.213966502992662e-08
1912,3.6986889995205274e-08
1913,4.666630815108874e-08
1914,5.6252648761301316e-08
1915,6.479419312199752e-08
1916,4.0653610255958483e-08
1917,3.61891991929042e-08
1918,3.2161853624756986e-08
1919,3.4069039145379065e-08
1920,8.102288262534785e-08
1921,3.862101038976107e-08
1922,4.0578644444622114e-08
