year,vous_PRON amenez_VERB,vous_PRON ramenez_VERB
1800,6.602745239447927e-08,1.5720821977538435e-08
1801,4.7623650800687756e-08,1.1905912700171939e-08
1802,4.2518962573012686e-08,0.0
1803,1.5602713787643552e-08,3.315576746487636e-08
1804,2.471850879537385e-08,4.943701892301533e-09
1805,4.264316544322355e-08,1.1371510844071508e-08
1806,6.916005901302924e-08,5.187004603612877e-08
1807,2.2775640928784924e-08,2.562259737715067e-08
1808,2.2660739062985158e-08,1.1330369975581789e-08
1809,2.710836710662079e-08,2.2590304959990704e-08
1810,5.3822915901946544e-08,0.0
1811,1.504245972228091e-08,1.2535383397960231e-08
1812,8.00162425207418e-09,5.3344164641089264e-09
1813,2.8757416448144113e-09,2.8757416448144113e-09
1814,3.776012391654149e-08,9.440030979135372e-09
1815,0.0,1.6183340889597275e-08
1816,2.3176038865813098e-08,3.244645441213834e-08
1817,4.670620157298799e-08,3.113746815941454e-09
1818,2.1458118837358597e-08,2.384235431307502e-08
1819,4.864993607966994e-08,7.659777256918687e-08
1820,9.137190648544902e-08,2.0173017034608165e-08
1821,3.155676164823262e-08,3.648750634965836e-08
1822,3.107940926838637e-08,2.2056354964661296e-08
1823,6.324919932243489e-08,2.9648061450338048e-08
1824,6.82110155025839e-08,2.0210670470532932e-08
1825,8.189061873054015e-08,2.2013607825499548e-08
1826,5.108630762862276e-08,5.284790383086602e-09
1827,2.396490950129504e-08,1.935627425009301e-08
1828,6.145441666660645e-08,2.935136400594729e-08
1829,2.486220973541009e-08,2.8291480991260443e-08
1830,3.444155693976825e-08,1.2524203230057651e-08
1831,6.236482219534878e-09,1.091384405071949e-08
1832,6.088486359523415e-08,4.870788850031005e-08
1833,6.834340648964599e-08,4.9809603552830595e-08
1834,3.733812214967713e-08,7.467624740797874e-09
1835,4.0840674842002045e-08,1.8151411040889798e-08
1836,4.4356949002732904e-08,2.688300027031687e-08
1837,3.339787690848084e-08,3.75726116885744e-08
1838,2.903594409353616e-08,2.6511079775914936e-08
1839,3.425822692193492e-08,4.124970254260063e-08
1840,2.5478755105723394e-08,3.3122381282169044e-08
1841,1.4125206782011901e-08,2.953452371556864e-08
1842,4.494537497734541e-08,3.6895457355967665e-08
1843,3.48507769309947e-08,5.2571509367993485e-08
1844,1.591682791124427e-08,2.0307677428554882e-08
1845,3.124927605568928e-08,2.064684390123972e-08
1846,2.6345256642912318e-08,2.1076204115288988e-08
1847,3.128069714364301e-08,3.182001862001016e-08
1848,4.022610955445316e-08,2.011305433313737e-08
1849,2.513824526317876e-08,2.1786478399121734e-08
1850,3.53027802546535e-08,3.869727827066072e-08
1851,2.4507867291134744e-08,2.5797755709433545e-08
1852,3.7110110762128556e-08,1.6276363812295358e-08
1853,4.35951039712279e-08,1.3735443005202796e-08
1854,3.117398739149735e-08,2.8056587830782576e-08
1855,5.1477289986223695e-08,1.8043586180738203e-08
1856,4.55592642500946e-08,3.365172895897217e-08
1857,4.393358077336984e-08,2.2454941239757886e-08
1858,4.257498176230001e-08,5.872411090734886e-08
1859,5.244938594550774e-08,3.0043822096814665e-08
1860,4.394096597692965e-08,4.3483247225140076e-08
1861,2.8295782605880504e-08,2.8767378090766016e-08
1862,3.930648251326829e-08,3.388489855371546e-08
1863,2.6471489888990618e-08,4.495158645312358e-08
1864,2.4932585773740357e-08,4.6029388300894425e-08
1865,4.4244336416809915e-08,3.765475320438583e-08
1866,2.919367680931373e-08,4.525020180778938e-08
1867,3.299911810472622e-08,2.4749338578544666e-08
1868,3.013323202072371e-08,1.8771521892446685e-08
1869,3.271957838002493e-08,3.662639347368213e-08
1870,6.135432251141992e-08,2.981705327087525e-08
1871,1.1683295220166201e-08,2.0180236592892697e-08
1872,5.744972408905369e-08,2.7213026054795364e-08
1873,2.0352415197599782e-08,2.993002201634454e-08
