year,pourrez_VERB envoyer_VERB,pourrez_VERB renvoyer_VERB
1800,3.144164484325529e-09,0.0
1801,2.3811825844433088e-09,0.0
1802,1.1189200677108602e-08,0.0
1803,0.0,1.950339223455444e-09
1804,0.0,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,2.259030518203531e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,6.293354282149721e-09,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,4.670620334934483e-09,0.0
1818,4.768470951432846e-09,0.0
1819,1.6561680027393777e-08,0.0
1820,3.5599443393152796e-09,0.0
1821,1.972297702934611e-08,0.0
1822,3.208197085768916e-08,2.606660132187244e-08
1823,5.929612356680991e-09,0.0
1824,9.263223965660927e-09,0.0
1825,3.522177216552791e-09,0.0
1826,2.3781558056157337e-08,0.0
1827,2.1199728195142598e-08,6.452091305675367e-09
1828,6.420610709767516e-09,9.172301251858528e-10
1829,1.8860987438529264e-08,0.0
1830,1.2524203008013046e-08,0.0
1831,7.795603274018958e-09,0.0
1832,4.058990921151917e-09,0.0
1833,3.8225973497674204e-08,0.0
1834,2.8003592777992026e-09,0.0
1835,6.806779140333674e-09,0.0
1836,1.0753200108126748e-08,5.376600054063374e-09
1837,2.0873671680021744e-09,0.0
1838,1.4517972601879592e-08,5.049729523420865e-09
1839,2.7965899818127582e-08,1.3982949909063791e-08
1840,8.917564464638872e-09,3.821813088222825e-09
1841,2.1829865914924085e-08,0.0
1842,2.4149754196400863e-08,2.0124795163667386e-09
1843,1.7720733769266417e-09,5.906911071384968e-10
1844,1.701453911095996e-08,1.097712254427563e-09
1845,1.0044410636567136e-08,1.674068439427856e-09
1846,1.7563503984519002e-09,1.1709002656346001e-09
1847,3.343798482546845e-08,2.1572894581822766e-09
1848,3.539897619475596e-08,1.045878850192139e-08
1849,6.703531951757213e-09,1.005529792763582e-08
1850,1.8330290174617403e-08,2.7155984128057753e-09
1851,1.483370937194195e-08,3.2247193804124663e-09
1852,1.4974254725075298e-08,6.510545436100301e-10
1853,4.777545470346922e-09,1.1943863675867306e-09
1854,1.0391328686409906e-08,2.0782657816909023e-09
1855,1.2736649068756378e-08,5.306937111981824e-10
1856,1.2425253714809514e-08,0.0
1857,1.9526036343364694e-09,1.9526036343364694e-09
1858,1.761723389392955e-08,0.0
1859,1.476730293603623e-08,4.073738679721828e-09
1860,4.394096464466202e-08,1.1900677776566226e-08
1861,1.131831339762357e-08,4.715963619617014e-09
1862,1.8975542914745347e-08,9.487771457372673e-09
1863,2.1976331865403154e-08,1.4983863039219614e-09
1864,2.5412058235474433e-08,0.0
1865,1.0825742080555756e-08,8.001635798393636e-09
1866,2.1408697037372804e-08,4.865612912574591e-10
1867,3.396968040192405e-09,1.94112459439566e-09
1868,1.679557115608077e-08,0.0
1869,9.278686263769487e-09,0.0
1870,7.454262984651905e-09,1.7202146374017957e-09
1871,6.37270636261178e-09,2.1242354542039266e-09
1872,1.6327815544059376e-08,3.628403577593531e-09
1873,1.1373408881354408e-08,5.986004469882289e-10
1874,1.4339061493728877e-08,3.5847653734322193e-09
1875,1.3731664694205392e-08,1.1443054281912168e-09
1876,1.813804439976252e-09,0.0
1877,1.1132669008873108e-08,4.329371083855449e-09
1878,3.0195443923020093e-09,3.6234530931267273e-09
1879,1.3440515367335593e-08,6.720257683667796e-09
1880,1.6686399817444908e-08,2.5671385017744797e-09
1881,2.1614773970668466e-08,0.0
1882,1.7304001787010748e-08,0.0
1883,1.1374810426900694e-08,3.159669414998234e-09
1884,1.1883054540362536e-08,6.601696966868076e-10
1885,1.740321664556177e-08,0.0
1886,1.2261581083805595e-08,1.2906927748801422e-09
1887,5.876032105334161e-09,4.570247291724172e-09
1888,1.268122939990235e-08,8.242799331981132e-09
1889,1.6915869593958632e-08,1.8795409673089125e-09
1890,1.2453334363726754e-08,1.1142456735058204e-08
1891,4.461953917456185e-09,2.5496880162734215e-09
1892,1.5044429702015805e-08,6.268512375839919e-09
1893,1.6011883374744684e-08,0.0
1894,1.7014155417882648e-08,0.0
1895,2.2870734639468537e-08,2.4074457982692365e-09
1896,1.592197840238896e-08,0.0
1897,1.9228155068162778e-08,0.0
1898,1.3014216371232123e-08,1.6975064687230201e-09
1899,8.844125432005967e-09,2.7637891975018647e-09
1900,2.491705508589348e-08,5.191053142894475e-10
1901,5.029864968975062e-09,5.588738916095792e-10
1902,1.0802624572647801e-08,1.4730852093691738e-09
1903,1.1880484152015924e-08,3.2401321625741275e-09
1904,3.2247751136083025e-09,0.0
1905,7.2250627702885595e-09,6.708986699521802e-09
1906,1.0802787109298606e-08,0.0
1907,4.114274698707732e-09,2.057137349353866e-09
1908,2.2592390180875555e-08,2.4556945366072114e-09
1909,1.2102163715610459e-08,1.6502950117569526e-09
1910,1.4429207162436342e-08,1.6032452032632705e-09
1911,1.2236860413850081e-08,5.320374141248863e-10
1912,3.646594803896619e-09,0.0
1913,1.060597942803554e-09,2.6514948014977335e-09
1914,1.0714789944188396e-08,0.0
1915,2.3561523843085297e-09,0.0
1916,7.69122365795738e-09,0.0
1917,1.4256351654751143e-08,0.0
1918,4.594550517822427e-09,1.2635013924011673e-08
1919,9.207848372660976e-10,0.0
1920,1.1358347151713133e-08,5.300562211374427e-09
1921,7.572747762196741e-09,3.7863738810983705e-09
1922,1.1066902949607993e-08,0.0
1923,4.246379248229459e-09,1.0615948120573648e-09
1924,5.156649773851996e-09,0.0
1925,5.499089184013428e-09,2.1996355847875293e-09
1926,4.458455382660986e-09,1.1146138456652466e-09
1927,5.574612327308159e-09,1.1149224876660924e-09
1928,1.1426041224282812e-09,0.0
1929,7.798284684668033e-09,0.0
1930,1.1553964007759987e-08,0.0
1931,0.0,0.0
1932,1.3151444377967891e-08,0.0
1933,1.9500125958415992e-08,8.02946331646126e-09
1934,7.188948103475923e-09,0.0
1935,1.196828414151696e-08,0.0
1936,3.6374143697059935e-09,0.0
1937,5.0364472592434595e-09,2.5182236296217297e-09
1938,1.0372171566075394e-08,0.0
1939,6.117620188206274e-09,0.0
1940,0.0,0.0
1941,0.0,0.0
1942,0.0,0.0
1943,0.0,0.0
1944,6.4263723231761105e-09,0.0
1945,1.3071024262956144e-08,2.178504043826024e-09
1946,1.1136883415474585e-08,0.0
1947,4.7683483828109274e-09,0.0
1948,1.0871887834440486e-09,0.0
1949,0.0,0.0
1950,5.317680518146517e-09,1.0635361480382244e-09
1951,4.264560704569931e-09,0.0
1952,1.2653764258629963e-08,0.0
1953,1.1851209791302608e-08,0.0
1954,9.772536113672459e-10,0.0
1955,4.6928039232341234e-09,2.815682353940474e-09
1956,1.744228317335228e-09,8.72114158667614e-10
1957,5.301022731885041e-09,0.0
1958,4.1361216673863055e-09,0.0
1959,3.8753737996444215e-09,2.325224457422337e-09
1960,8.305000243069571e-09,0.0
1961,9.03260666262895e-09,0.0
1962,5.7077609305622445e-09,0.0
1963,5.1728425987107585e-09,6.466053248388448e-10
1964,9.125952438182594e-09,1.8251904432275978e-09
1965,4.924839203113152e-09,5.472043373977442e-10
1966,1.1078149508847446e-09,0.0
1967,4.437302081328198e-09,9.860671168482327e-10
1968,6.287982134978165e-09,8.982831700699023e-10
1969,4.087581828571274e-09,1.3625273131978588e-09
1970,6.438214850135182e-09,9.197450023812337e-10
