year,pouvions_VERB entrer_VERB,pouvions_VERB rentrer_VERB
1800,9.432493897065797e-09,0.0
1801,7.143547975374531e-09,2.3811825844433088e-09
1802,0.0,0.0
1803,3.900678446910888e-09,0.0
1804,1.2359254952798437e-08,0.0
1805,8.528632911009026e-09,0.0
1806,1.152667650217154e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,2.7192887941396293e-08,0.0
1809,9.036122072814123e-09,0.0
1810,3.7442028144596406e-08,0.0
1811,5.0141535368197765e-09,1.0028307073639553e-08
1812,5.067695596494559e-08,0.0
1813,8.627225156487839e-09,0.0
1814,6.293354282149721e-09,0.0
1815,2.1577788444915313e-08,0.0
1816,1.622322720606917e-08,0.0
1817,1.0898113522728181e-08,3.113746815941454e-09
1818,9.536941902865692e-09,1.1921177378582115e-09
1819,2.070209959015301e-08,0.0
1820,3.322614716694261e-08,0.0
1821,3.0570614484304315e-08,0.0
1822,8.02049271442229e-09,0.0
1823,1.680056804787e-08,0.0
1824,5.894778887238772e-09,1.6842225392110777e-09
1825,5.195211372210906e-08,2.3774695989686734e-08
1826,2.2019960965735663e-08,7.0463874735082754e-09
1827,6.452091305675367e-09,0.0
1828,1.3758452155343548e-08,1.8344602503717056e-09
1829,6.001223074036943e-09,8.57317605795771e-10
1830,5.0096812032052185e-08,0.0
1831,6.236482441579483e-09,1.091384405071949e-08
1832,5.411987746839486e-09,1.352996914505411e-08
1833,4.9809603552830595e-08,0.0
1834,1.0267983796552471e-08,0.0
1835,6.655517381659593e-08,0.0
1836,2.352262562510532e-08,0.0
1837,1.461157062010443e-08,0.0
1838,2.209256599883247e-08,1.2624323808552163e-09
1839,6.9914749545318955e-09,0.0
1840,1.0191501864653674e-08,0.0
1841,2.118781061710706e-08,1.2841097074556274e-09
1842,2.2137275124123335e-08,6.708265054555795e-10
1843,2.126487963494128e-08,2.953455480181333e-09
1844,1.975882035765153e-08,2.195424508855126e-09
1845,1.0044410636567136e-08,3.348136878855712e-09
1846,2.6345256642912318e-08,1.1709002656346001e-09
1847,2.9123407685460734e-08,2.6966118227278457e-09
1848,1.930853166243196e-08,0.0
1849,3.351765798242923e-08,0.0
1850,2.2403686017469226e-08,0.0
1851,9.674158363282004e-09,0.0
1852,9.765818376195057e-09,0.0
1853,5.3747388761848924e-09,1.7915795513800958e-09
1854,2.286092382064453e-08,3.63696517347023e-09
1855,1.3798036491152743e-08,1.0613874223963649e-09
1856,1.501384794266869e-08,2.0708756931497874e-09
1857,1.9526035899275485e-08,0.0
1858,1.0766087576996597e-08,4.404308473482388e-09
1859,7.129042689513199e-09,1.018434669930457e-09
1860,1.4646988510946812e-08,9.154367819341758e-10
1861,1.839225838295988e-08,1.4147891747029462e-09
1862,1.445755604123633e-08,2.2589932147099034e-09
1863,2.7470415275843152e-08,3.496234635136375e-09
1864,2.7809422320501653e-08,4.794727948009836e-10
1865,1.5061901947888146e-08,0.0
1866,1.1677471434268227e-08,4.865612912574591e-10
1867,1.844068364675877e-08,4.85281148598915e-09
1868,1.877152122631287e-08,0.0
1869,2.3929244363785074e-08,0.0
1870,6.880858549607183e-09,1.1468097582678638e-09
1871,2.1242353653860846e-08,0.0
