year,toutes_DET âmes_NOUN,toutes_DET ames_NOUN,toutes_DET rames_NOUN
1800,0.0,6.288328968651058e-09,9.432493897065797e-09
1801,0.0,0.0,2.3811825844433088e-09
1802,0.0,0.0,2.2378401354217203e-09
1803,0.0,0.0,1.950339267864365e-08
1804,0.0,0.0,1.2359254952798437e-08
1805,0.0,2.842877755426798e-08,2.842877711017877e-09
1806,1.729001475325731e-08,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,0.0,3.131650672116848e-08
1808,2.2660739951163578e-09,0.0,4.5321479902327155e-09
1809,0.0,0.0,2.259030518203531e-09
1810,2.3401267590372754e-09,0.0,9.360507036149102e-09
1811,0.0,0.0,0.0
1812,5.3344164641089264e-09,5.3344164641089264e-09,0.0
1813,2.8757416448144113e-09,0.0,0.0
1814,0.0,9.440031423224582e-09,0.0
1815,0.0,2.1577788000826104e-08,0.0
1816,0.0,0.0,4.6352077731626196e-09
1817,0.0,4.670620334934483e-09,0.0
1818,3.5763532135746345e-09,1.7881765401739358e-08,0.0
1819,3.1053151161586356e-09,9.315945348475907e-09,9.315945348475907e-09
1820,3.5599443393152796e-09,7.119888678630559e-09,1.3053129244156025e-08
1821,5.9168927535324656e-09,0.0,4.930744257336528e-09
1822,0.0,6.015369535816717e-09,2.0051231786055723e-09
1823,0.0,2.174191138237802e-08,1.581229902569703e-08
1824,4.210556348027694e-09,2.189489300974401e-08,9.263223965660927e-09
1825,2.641632912414593e-09,4.4027217427355936e-09,6.163809906922779e-09
1826,8.807984341885344e-10,0.0,1.2331177856594877e-08
1827,3.6869092223668076e-09,9.217273055917019e-10,2.7651818612639545e-09
1828,9.172301251858528e-10,8.255071293206129e-09,1.8344602503717056e-09
1829,1.714635211591542e-09,3.429270478694235e-09,8.57317605795771e-10
1830,1.0436835840010872e-09,9.39315203396518e-09,0.0
1831,3.1182412207897414e-09,7.795603274018958e-09,1.091384405071949e-08
1832,0.0,5.411987746839486e-09,6.764984572527055e-09
1833,1.1583628500844156e-09,0.0,4.2859426230279496e-08
1834,4.667265685043276e-09,0.0,5.600718555598405e-09
1835,2.2689263801112247e-09,5.294161553592858e-09,1.5126175867408165e-08
1836,3.36037508930076e-09,6.048674894287842e-09,2.1506400216253496e-08
1837,2.1569462660409044e-08,1.0436836284100082e-08,9.74104708006962e-09
1838,1.2624323808552163e-09,1.2624323808552163e-09,0.0
1839,6.29232765891885e-09,6.9914751765765e-10,3.216078425793967e-08
1840,2.547875410652267e-09,2.5478754661634184e-09,7.64362617644565e-09
1841,0.0,6.420548537278137e-10,5.1364388298225094e-09
1842,2.0124795163667386e-09,1.341653010911159e-08,7.379091560011375e-09
1843,4.7255288571079745e-09,0.0,1.2995204023980023e-08
1844,5.708103856250091e-08,1.3721403568922597e-08,1.2074834465636286e-08
1845,4.464182357111213e-09,7.812318791877715e-09,2.17628883802945e-08
1846,5.854501328173001e-09,5.854501328173001e-10,1.0538101946622191e-08
1847,3.775256551818984e-09,1.0786447290911383e-09,1.6718992412734224e-08
1848,3.218088684420195e-09,4.02261068899179e-09,7.24069959545659e-09
1849,4.1897072478036534e-09,0.0,1.6758829879393033e-09
1850,2.0366988096043315e-09,1.3577992064028876e-09,7.467895635215882e-09
1851,2.579775504329973e-09,3.2247193804124663e-09,1.0319102017319892e-08
1852,5.859490670445666e-09,6.510545436100301e-10,1.2370036550635177e-08
1853,4.359510263896027e-08,1.1943863675867306e-09,1.970737528722566e-08
1854,2.182179148491059e-08,2.5978321716024766e-09,1.558699302961486e-08
1855,1.4859423913549108e-08,0.0,1.4859423913549108e-08
1856,1.0872097611080989e-08,6.212626857404757e-09,1.2942972915652717e-08
1857,2.4407544874094356e-09,2.928905451504704e-09,7.322263684272912e-09
1858,5.3830437884982985e-09,4.404308473482388e-09,2.936205500958522e-09
1859,1.1202781591279631e-08,5.09217357169689e-09,1.8331824946926645e-08
1860,1.8766454251695208e-08,2.746310290291376e-09,1.6477862629926676e-08
1861,1.0375120318428799e-08,7.073945651470126e-09,8.960331143725853e-09
1862,6.325180851307621e-09,2.2589932147099034e-09,1.0391368654438793e-08
1863,9.489779906335372e-09,4.495158800743582e-09,7.491931519609807e-09
1864,9.109982990196386e-09,1.4384183844029508e-09,1.9178912680217763e-08
1865,8.47231973466478e-09,4.706844247692743e-09,1.0825742080555756e-08
1866,9.731225825149181e-10,0.0,6.811858188626729e-09
1867,4.85281148598915e-09,2.91168689159349e-09,1.358787216076962e-08
1868,4.939874287401835e-09,9.87974813071446e-10,2.4699371437009177e-09
1869,7.325278827963189e-09,7.81363052038131e-09,1.8557372527538973e-08
1870,3.4404292748035914e-09,4.587239033071455e-09,1.3188312664169644e-08
1871,2.1242354542039266e-09,0.0,1.3807530230280918e-08
1872,7.256807155187062e-09,4.8378714367913744e-09,6.047339295989218e-10
1873,6.58460502789282e-09,6.584604861359367e-09,1.0774807712721213e-08
1874,4.779687312606029e-09,0.0,1.3741600746186577e-08
1875,6.865832347102696e-09,5.149374426860476e-09,2.0597497041308088e-08
1876,6.04601479992084e-10,8.464420719889176e-09,1.209202959984168e-08
1877,1.36065949618569e-08,6.80329748092845e-09,8.040260901509555e-09
1878,1.2078177125118827e-08,0.0,2.4156355138416075e-08
1879,2.443730107160036e-09,1.832797580370027e-09,7.392283407625655e-08
1880,8.343199908722454e-09,2.5671385017744797e-09,3.5939940801199555e-08
