year,tes_DET ondes_NOUN
1800,3.458580977167003e-08
1801,1.6668277424969347e-08
1802,2.4616241489638924e-08
1803,1.5602713787643552e-08
1804,3.460591457837836e-08
1805,0.0
1806,2.881669125542885e-08
1807,5.693910232196231e-09
1808,3.852325747288887e-08
1809,1.129515236897305e-08
1810,5.8503168531842675e-08
1811,2.0056614147279106e-08
1812,6.13457871168066e-08
1813,5.751483289628823e-09
1814,4.405347908686963e-08
1815,1.0788894222457657e-08
1816,4.6352077731626196e-09
1817,1.0898113522728181e-08
1818,1.3113295338484932e-08
1819,2.794783426907088e-08
1820,1.898636980968149e-08
1821,1.2819934447350079e-08
1822,4.411270992932259e-08
1823,3.656594316225892e-08
1824,3.115811608722652e-08
1825,4.4907758178780455e-08
1826,1.2331177856594877e-08
1827,1.3825909306319772e-08
1828,2.5682442839070063e-08
1829,1.1145129263923081e-08
1830,4.0703660886265425e-08
1831,3.585977381703742e-08
1832,1.6235963684607668e-08
1833,4.51761508202253e-08
1834,3.733812548034621e-08
1835,2.117664621437143e-08
1836,2.5538851033957144e-08
1837,1.948209416013924e-08
1838,1.830527018853445e-08
1839,1.7478688718597368e-08
1840,1.52872523528913e-08
1841,3.659712533021775e-08
1842,2.4820581145945653e-08
1843,2.3036953678001737e-08
1844,1.5916826967554698e-08
1845,1.1160455504199973e-08
1846,3.688335725726688e-08
1847,1.294373674909366e-08
1848,1.689496492707221e-08
1849,1.75967720394965e-08
1850,1.1541293254424545e-08
1851,2.7087643017509322e-08
1852,2.4740073101270355e-08
1853,1.4929829816878737e-08
1854,1.6626126086993764e-08
1855,2.3350523292720027e-08
1856,1.2425253714809514e-08
1857,2.245494101771328e-08
1858,1.0276719919488642e-08
1859,2.851617053600819e-08
1860,1.6020143434047895e-08
1861,1.9335450573976232e-08
1862,1.581295272501393e-08
1863,2.3474717281146695e-08
1864,1.438418395505181e-08
1865,9.88437331983505e-09
1866,9.244664589402873e-09
1867,1.4073153309368536e-08
1868,6.421836395986702e-09
1869,1.4162205408396744e-08
1870,3.7271316255527154e-08
1871,5.3105884134652115e-09
1872,2.9027228176659037e-08
1873,9.577607318345116e-09
1874,8.961913877669758e-09
1875,4.577221712764867e-09
1876,1.0278225381910033e-08
1877,1.5462039981706255e-08
1878,6.6429977074733415e-09
1879,6.109325489944695e-09
1880,1.0910338410496934e-08
1881,1.9523021421719022e-08
1882,1.9300616216355593e-08
1883,1.8958017378167824e-09
1884,1.1222884843675729e-08
1885,1.0957580620640783e-08
1886,1.4842967244188543e-08
1887,1.240495717258483e-08
1888,7.608737417896805e-09
1889,1.1277245803853475e-08
1890,7.865263995654459e-09
1891,1.4660706204594476e-08
1892,1.56712811616444e-08
1893,7.390100087434348e-09
1894,8.82215478448245e-09
1895,6.6204757231957956e-09
1896,1.0024949648190784e-08
1897,1.7480140446224368e-08
1898,9.619203211741478e-09
1899,1.492446166651007e-08
1900,1.0901211489056095e-08
1901,5.029865079997364e-09
1902,3.928227076954727e-09
1903,8.640352433531007e-09
1904,5.374625189347171e-09
1905,5.676835002077496e-09
1906,1.337487931518666e-08
1907,1.3371392604266674e-08
1908,9.822778146428846e-09
1909,6.60118004702781e-09
1910,9.0850561518252e-09
1911,1.276889793899727e-08
1912,1.1460726589973547e-08
1913,1.856046338843953e-08
1914,1.2054139020278853e-08
1915,3.534228465440492e-09
1916,5.493730803607377e-09
1917,4.386569774084137e-09
1918,1.2635013924011673e-08
1919,2.1178051312631396e-08
1920,1.3630017114962811e-08
1921,1.4388220004324381e-08
1922,6.6401419362982494e-09
1923,1.5923922180860473e-08
1924,1.5469949654622894e-08
1925,1.0998178145982251e-08
1926,1.4489979882625903e-08
1927,8.919379901328739e-09
1928,1.2568645679778001e-08
1929,1.2254447234738564e-08
1930,1.2604324362008867e-08
1931,1.0264820993199919e-08
1932,1.53433514782364e-08
1933,3.4411986593596566e-09
1934,8.38710612072191e-09
1935,9.574627313213568e-09
1936,1.2124714565686645e-08
1937,7.554670666820584e-09
1938,9.075650453382877e-09
1939,3.058810094103137e-09
1940,0.0
1941,2.066051862925633e-08
1942,6.068423541449874e-09
1943,2.6129116648121453e-08
1944,3.2131861615880553e-09
1945,1.089252066321933e-08
1946,2.9234318077442367e-08
1947,1.3112957830685446e-08
1948,9.784699273041042e-09
1949,8.835307596655184e-09
1950,5.317680518146517e-09
1951,2.1322803522849654e-09
1952,1.1599284199803606e-08
1953,7.54167928107563e-09
1954,1.172704333640695e-08
1955,3.754243138587299e-09
1956,6.104799332717903e-09
1957,4.417518795207798e-09
1958,1.5717262158432277e-08
1959,1.3176271629333769e-08
1960,4.152500121534786e-09
1961,1.250668635321972e-08
1962,1.3952304422915063e-08
1963,1.2932106940866106e-08
1964,6.6923653285755336e-09
1965,8.755269398363907e-09
1966,8.862519607077957e-09
1967,8.381570104631919e-09
1968,1.1677681044375277e-08
1969,4.087581828571274e-09
1970,1.2876429700270364e-08
1971,9.24911525146399e-09
1972,4.617132121076395e-09
1973,1.0475087464101307e-08
1974,5.625571564138454e-09
1975,1.0851811893530794e-08
1976,1.2569759455516305e-08
1977,7.052138428775834e-09
1978,9.504946163474415e-09
1979,2.3407893401383717e-09
1980,6.2536656408873625e-09
1981,5.692994575756671e-09
1982,1.8622506869903077e-09
1983,2.5261264191556165e-09
1984,8.69851302098823e-09
1985,6.015557829641693e-09
1986,8.991728250862252e-09
1987,5.499735167280306e-09
1988,4.797243047249822e-09
1989,4.390497743145261e-09
1990,4.3589208909011745e-09
1991,6.4476117778156095e-09
1992,8.264915862810085e-09
1993,7.754890063438324e-09
1994,8.439882570598911e-09
1995,8.675921037148981e-09
1996,6.4057106285986265e-09
1997,4.794894259418925e-09
1998,6.675381136744818e-09
1999,4.570201106446348e-09
2000,3.092622158362701e-09
2001,3.5049694258049158e-09
2002,3.9430991805033955e-09
2003,5.000307723435071e-09
2004,5.285749615779878e-09
2005,4.503749595485829e-09
2006,4.941467679486777e-09
2007,5.192823504529542e-09
2008,6.3861596011349775e-09
2009,5.245011536203492e-09
2010,3.7790344187271785e-09
2011,5.3535606503452016e-09
2012,1.0212758250194298e-08
2013,1.0319762933086452e-08
2014,9.961047903184195e-09
2015,1.4629397609988715e-08
2016,1.3049442193491245e-08
2017,1.1320251069868448e-08
2018,1.5230653960252027e-08
2019,1.3775333540522183e-08
