year,avons_VERB accompagné_VERB,avons_VERB raccompagné_VERB
1800,3.772997558826319e-08,0.0
1801,4.7623651688866175e-09,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,2.2775640928784924e-08,0.0
1808,4.5321479902327155e-09,0.0
1809,2.259030518203531e-09,0.0
1810,4.680253518074551e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,8.627225156487839e-09,0.0
1814,2.5173417128598885e-08,0.0
1815,8.091670444798638e-09,0.0
1816,0.0,0.0
1817,9.341240669868967e-09,0.0
1818,0.0,0.0
1819,3.1053151161586356e-09,0.0
1820,1.3053129244156025e-08,0.0
1821,8.875339574387908e-09,0.0
1822,1.604098542884458e-08,0.0
1823,2.9648061783404955e-09,0.0
1824,3.2842340402794434e-08,0.0
1825,8.805443041381977e-10,0.0
1826,2.025836387531399e-08,0.0
1827,1.1060727445055818e-08,0.0
1828,2.7516904310687096e-09,0.0
1829,8.573175946935407e-09,0.0
1830,2.0873671680021744e-09,0.0
1831,6.236482441579483e-09,0.0
1832,8.117981842303834e-09,0.0
1833,2.3167257001688313e-09,0.0
1834,7.467624740797874e-09,0.0
1835,7.563087933704082e-10,0.0
1836,1.4785650037651976e-08,0.0
1837,6.957891152126194e-09,0.0
1838,2.651107955387033e-08,0.0
1839,1.677954131196202e-08,0.0
1840,1.4013314952876499e-08,0.0
1841,2.760835826620678e-08,0.0
1842,1.0062397137744483e-08,0.0
1843,8.860366662588604e-09,0.0
1844,5.488561161115513e-09,0.0
1845,3.0691253982695343e-08,0.0
1846,1.2294452567118697e-08,0.0
1847,1.4561703842730367e-08,0.0
1848,3.942158599556933e-08,0.0
1849,2.4300303991253713e-08,0.0
1850,2.5119284430275002e-08,0.0
1851,1.483370937194195e-08,0.0
1852,1.8229528109259263e-08,0.0
1853,1.3735443005202796e-08,0.0
1854,2.1302223984775992e-08,0.0
1855,1.2736649068756378e-08,0.0
1856,1.9155599773057475e-08,0.0
1857,7.810414537345878e-09,0.0
1858,1.761723389392955e-08,0.0
1859,2.3933214521321133e-08,0.0
1860,1.1442959468865865e-08,0.0
1861,2.782418562219391e-08,0.0
1862,3.252950264709398e-08,0.0
1863,1.897955925755923e-08,0.0
1864,8.63051052846231e-09,0.0
1865,2.2122168985561075e-08,0.0
1866,9.244664589402873e-09,0.0
1867,1.747012134956094e-08,0.0
1868,8.89177353968762e-09,0.0
1869,1.4650557211837167e-08,0.0
1870,1.0321287824410774e-08,0.0
1871,1.5931766128574054e-08,0.0
1872,8.4662747923403e-09,1.2094678591978436e-09
1873,5.387403856360606e-09,0.0
1874,1.1351757756017378e-08,5.974609140757536e-10
1875,6.293679799540541e-09,0.0
1876,1.1487427897804992e-08,0.0
1877,2.8450154232473324e-08,0.0
1878,1.9928991790152395e-08,0.0
1879,9.774920428640144e-09,0.0
1880,1.4761046607247863e-08,0.0
1881,1.673401861523871e-08,0.0
1882,5.324308105514319e-09,0.0
1883,1.0742875922176154e-08,0.0
1884,9.902545450302114e-09,0.0
1885,1.2246707647989297e-08,0.0
1886,1.613365974151293e-08,0.0
1887,1.7628096316002484e-08,0.0
1888,2.0924028731883482e-08,0.0
1889,7.51816386923565e-09,0.0
1890,1.9007721618891082e-08,0.0
1891,6.3742202627281586e-09,0.0
1892,1.1283322720601063e-08,0.0
1893,1.0469308087124318e-08,0.0
1894,5.041231432301174e-09,0.0
1895,1.6852119699706236e-08,0.0
1896,1.47425724961181e-08,0.0
1897,6.992056267307589e-09,0.0
1898,3.960848538042683e-09,0.0
1899,1.3818945987509323e-08,0.0
1900,1.7130474816440255e-08,0.0
1901,1.2854099118442264e-08,0.0
1902,1.6203935970793282e-08,0.0
1903,9.1803746826713e-09,0.0
1904,8.061937784020756e-09,0.0
1905,7.741138396966107e-09,0.0
1906,1.9033482345776065e-08,0.0
1907,9.771402353919711e-09,0.0
1908,8.840499887696751e-09,0.0
1909,1.7603147384193107e-08,0.0
1910,1.0153886620400954e-08,0.0
1911,9.576673676292558e-09,0.0
1912,3.646594803896619e-09,0.0
1913,1.0605979205990934e-08,0.0
1914,1.1384464038144415e-08,0.0
1915,1.295883844676382e-08,0.0
1916,5.493730803607377e-09,0.0
1917,1.973956464951243e-08,0.0
