year,aux_ADP ondes_NOUN,aux_ADP rondes_ADJ
1800,1.5720823043352539e-07,0.0
1801,2.3335588750228453e-07,0.0
1802,1.3650824826072494e-07,0.0
1803,8.386458461018265e-08,0.0
1804,1.87860678790841e-07,0.0
1805,1.0802935390685775e-07,0.0
1806,1.671368039524168e-07,0.0
1807,1.195721210933698e-07,0.0
1808,1.5409302811519865e-07,0.0
1809,1.3780085539316644e-07,0.0
1810,1.8721013361755467e-07,0.0
1811,1.2284675676710322e-07,0.0
1812,1.0935553973467904e-07,0.0
1813,1.1790540810352468e-07,0.0
1814,5.97868634599763e-08,0.0
1815,5.39444717784221e-08,0.0
1816,1.1356259221884102e-07,0.0
1817,1.71256075987003e-07,0.0
1818,1.4424624339426373e-07,0.0
1819,4.5544620519422097e-08,0.0
1820,8.899861114741725e-08,0.0
1821,1.3017164235407108e-07,0.0
1822,9.724847416237026e-08,0.0
1823,2.065481496948962e-07,0.0
1824,1.4484314192486636e-07,0.0
1825,2.0164463876426453e-07,0.0
1826,1.2243098135300556e-07,0.0
1827,1.843454668915001e-07,0.0
1828,1.1281930528683759e-07,0.0
1829,6.687077558353849e-08,0.0
1830,1.2106729641025993e-07,0.0
1831,2.8843732025052304e-07,0.0
1832,1.5288865995444212e-07,0.0
1833,1.969216907315996e-07,0.0
1834,1.4001795989315724e-07,0.0
1835,2.208421676641592e-07,0.0
1836,2.0027835034852615e-07,0.0
1837,1.6838095873161762e-07,0.0
1838,1.836839089719433e-07,0.0
1839,1.6639710809229769e-07,0.0
1840,1.764403818604876e-07,0.0
1841,1.5858754442987788e-07,4.494383976094696e-09
1842,1.663649680239132e-07,0.0
1843,1.228637529493426e-07,0.0
1844,1.201994876964818e-07,0.0
1845,1.1439467328955288e-07,1.1160455892778032e-09
1846,1.6216968945492738e-07,0.0
1847,1.2889805134363996e-07,0.0
1848,1.3274615184855065e-07,0.0
1849,1.5837094924364692e-07,0.0
1850,1.1473403560557927e-07,0.0
1851,1.6123597390560462e-07,6.449438760824933e-10
1852,1.263045845689703e-07,0.0
1853,1.6422811999206033e-07,0.0
1854,1.465177374981863e-07,0.0
1855,1.586774267536839e-07,5.306937111981824e-10
1856,1.827547810862029e-07,0.0
1857,1.5035048339662183e-07,0.0
1858,1.8644905064313377e-07,0.0
1859,1.5938502384571507e-07,0.0
1860,1.7759474246759055e-07,0.0
1861,1.7260426798948458e-07,0.0
1862,1.8388203670838266e-07,4.517986262886353e-10
1863,2.3724449249584723e-07,9.989241656072068e-10
1864,2.0185804028294285e-07,0.0
1865,2.1651483450568776e-07,4.706844358715045e-10
1866,2.1846601860886494e-07,4.865612912574591e-10
1867,2.3827303863299676e-07,0.0
1868,4.2334721683801035e-07,0.0
1869,2.4515264840374584e-07,0.0
1870,3.1135886047195527e-07,0.0
1871,2.1029930508120742e-07,0.0
1872,3.537693373800721e-07,0.0
1873,1.98735346568224e-07,5.986004469882289e-10
1874,2.1448846609928296e-07,0.0
1875,1.6935720736910298e-07,0.0
