year,aviez_VERB rempli_VERB
1800,3.144164484325529e-09
1801,2.3811825844433088e-09
1802,4.475680270843441e-09
1803,5.851017448321727e-09
1804,1.9774807569206132e-08
1805,0.0
1806,0.0
1807,1.1387820464392462e-08
1808,0.0
1809,0.0
1810,2.106114038724627e-08
1811,2.5070767684098882e-09
1812,0.0
1813,1.1502966579257645e-08
1814,0.0
1815,0.0
1816,2.3176038865813098e-09
1817,4.670620334934483e-09
1818,0.0
1819,0.0
1820,0.0
1821,4.930744257336528e-09
1822,2.0051231786055723e-08
1823,1.9765373782121287e-09
1824,1.0105335235266466e-08
1825,3.522177216552791e-09
1826,2.1139161532346407e-08
1827,9.217273055917019e-10
1828,9.172301251858528e-10
1829,0.0
1830,9.39315203396518e-09
1831,0.0
1832,0.0
1833,2.0850531967653296e-08
1834,1.4935249481595747e-08
1835,5.294161553592858e-09
1836,6.720750067579218e-10
1837,8.349468672008697e-09
1838,6.943378316748294e-09
1839,1.1885507689157748e-08
1840,1.9109065441114126e-09
1841,9.630822361827995e-09
1842,1.1404051036834062e-08
1843,1.4176587015413133e-08
1844,1.0977122322231025e-08
1845,4.464182357111213e-09
1846,5.854501328173001e-09
1847,8.089835468183537e-09
1848,2.413566457803995e-09
1849,5.02764896381791e-09
1850,2.7155984128057753e-09
1851,3.2247193804124663e-09
1852,1.3021090872200602e-09
1853,4.777545470346922e-09
1854,7.27393034694046e-09
1855,9.021793090369101e-09
1856,8.28350277259915e-09
1857,4.881508974818871e-09
1858,1.5170396494568195e-08
1859,2.036869339860914e-09
1860,9.154367819341758e-10
1861,5.187560159214399e-09
1862,1.8071945051545413e-09
1863,2.9967726078439227e-09
1864,5.753673537611803e-09
1865,2.3534221238463715e-09
1866,6.811858188626729e-09
1867,5.338092634588065e-09
1868,3.951899252285784e-09
1869,5.371870948067681e-09
1870,2.2936195165357276e-09
1871,2.549082545044712e-08
1872,1.0280476914203973e-08
1873,3.591602570907071e-09
1874,1.1351757756017378e-08
1875,9.7265964171811e-09
1876,7.255217759905008e-09
1877,7.421779191219002e-09
1878,2.4156354694326865e-09
1879,6.10932526790009e-10
1880,4.492492600149944e-09
1881,6.972507571312292e-10
1882,4.6587693702804245e-09
1883,6.319338829996468e-09
1884,2.6406787867472303e-09
1885,6.445635691854079e-10
1886,3.872078213618124e-09
1887,2.6115698492645834e-09
1888,5.07249175996094e-09
1889,1.2530273485467092e-09
1890,6.554386478008212e-10
1891,6.3742202627281586e-09
1892,1.1283322720601063e-08
1893,1.2316833108982905e-09
1894,1.8904617871129403e-09
1895,2.4074457982692365e-09
1896,0.0
1897,1.1653427112179315e-09
1898,1.6975064687230201e-09
1899,1.6582735185011188e-09
1900,5.191053142894475e-10
1901,0.0
1902,0.0
