year,voulions_VERB ajouter_VERB
1800,3.144164484325529e-09
1801,2.1430643926123594e-08
1802,1.5664880947952042e-08
1803,3.315576790896557e-08
1804,0.0
1805,0.0
1806,2.881669125542885e-09
1807,2.8469551160981155e-09
1808,0.0
1809,0.0
1810,2.3401267590372754e-09
1811,0.0
1812,0.0
1813,5.751483289628823e-09
1814,0.0
1815,0.0
1816,3.244645441213834e-08
1817,6.227493631882908e-09
1818,2.026600220972341e-08
1819,1.0351049795076506e-08
1820,2.3732962262101864e-09
1821,4.930744257336528e-09
1822,2.105379337535851e-08
1823,0.0
1824,2.5263338088166165e-09
1825,8.805443485471187e-09
1826,1.8496766784892316e-08
1827,1.1060727445055818e-08
1828,1.8344602503717056e-09
1829,1.2859763920403111e-08
1830,0.0
1831,4.677361609140007e-09
1832,1.3529969367098715e-09
1833,1.2741991461950875e-08
1834,1.3068342852307069e-08
1835,1.663879345414898e-08
1836,2.016224964762614e-09
1837,1.1828414692161004e-08
1838,4.418513555037862e-09
1839,6.292327547896548e-09
1840,4.458782232319436e-09
1841,5.1364388298225094e-09
1842,9.391571076378114e-09
1843,2.4218335781256428e-08
1844,1.097712254427563e-09
1845,6.696273757711424e-09
1846,1.2294452567118697e-08
1847,2.6966118227278457e-09
1848,1.6090443422100975e-09
1849,1.6758829879393033e-09
1850,7.467895635215882e-09
1851,1.1608989325395669e-08
1852,8.463708844885787e-09
1853,4.180352064508952e-09
1854,1.558699391779328e-09
1855,6.8990182455763716e-09
1856,4.659470143053568e-09
1857,7.810414537345878e-09
1858,3.9149408159744326e-09
1859,6.110608019582742e-09
1860,1.0985241161165504e-08
1861,5.187560159214399e-09
1862,4.517986262886353e-10
1863,2.9967726078439227e-09
1864,5.274200631788517e-09
1865,6.118897832863013e-09
1866,7.298419202328432e-09
1867,1.94112459439566e-09
1868,5.433861360870651e-09
1869,6.348574999037737e-09
1870,5.734048791339319e-10
1871,0.0
1872,1.8142017887967654e-09
1873,5.9860045809045914e-09
1874,2.9873046258899194e-09
1875,9.154443425529735e-09
1876,3.02300739996042e-09
1877,2.4739263970730008e-09
1878,2.4156354694326865e-09
1879,6.720257683667796e-09
1880,5.776061406947974e-09
1881,8.367009307619355e-09
1882,3.3276925659464496e-09
1883,1.2638677882037541e-09
1884,6.601696966868076e-10
1885,7.7347630522695e-09
1886,3.872078213618124e-09
1887,0.0
1888,1.9021844099853524e-09
1889,6.265136742733546e-10
1890,1.3108772956016423e-09
1891,3.1871101313640793e-09
1892,5.641661360300532e-09
1893,1.1085149687062312e-08
1894,5.671385139294216e-09
1895,6.018614495673091e-09
1896,7.076434549446731e-09
1897,0.0
1898,5.6583548957434e-10
1899,1.6582735185011188e-09
1900,6.22926377147337e-09
1901,0.0
1902,9.820567692386817e-10
1903,1.0800440541913758e-09
1904,5.374625189347171e-10
1905,1.0321518084666081e-09
1906,8.230695236477459e-09
1907,0.0
1908,1.4734167219643268e-09
1909,5.500983557560346e-10
1910,2.137660271017694e-09
1911,2.128149656499545e-09
1912,2.0837684910901544e-09
1913,1.590896969716482e-09
1914,6.696743715117748e-10
1915,1.1780761921542648e-09
1916,0.0
1917,0.0
1918,9.189101035644853e-09
1919,9.207848372660976e-10
1920,2.2716695191604686e-09
1921,3.7863738810983705e-09
1922,7.377935484775833e-10
1923,3.1847844361720945e-09
1924,0.0
1925,1.0998177923937646e-09
1926,1.1146138456652466e-09
1927,4.4596899506643695e-09
1928,3.4278122562625413e-09
1929,0.0
1930,0.0
1931,0.0
1932,2.1919073223131136e-09
1933,1.1470662197865522e-09
1934,4.7926320689839486e-09
1935,2.393656828303392e-09
1936,0.0
1937,1.2591118148108649e-09
1938,2.5930428915188486e-09
1939,0.0
1940,1.0143131667916805e-08
1941,8.854508237732261e-09
1942,0.0
1943,2.9032352077962287e-09
1944,0.0
1945,0.0
1946,2.7842208538686464e-09
1947,7.152522574216391e-09
1948,7.610321262063735e-09
1949,0.0
1950,1.0635361480382244e-09
1951,1.0661401761424827e-09
1952,1.0544803918932644e-09
1953,3.232148326759443e-09
1954,4.886268278880834e-09
1955,0.0
1956,3.488456634670456e-09
1957,8.835037701437898e-10
1958,0.0
1959,1.5501495642666896e-09
1960,0.0
1961,0.0
1962,0.0
1963,1.2932106496776896e-09
1964,2.4335873316516654e-09
1965,2.73602163147757e-09
1966,1.1078149508847446e-09
1967,4.437302081328198e-09
1968,2.245707841908029e-09
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,1.102640756478479e-09
1974,1.6876715580593782e-09
1975,2.2845920710778955e-09
1976,3.4281160132820787e-09
1977,0.0
1978,5.940591352171509e-10
1979,0.0
1980,1.1370301367108482e-09
1981,2.5302198114474095e-09
1982,1.2415004579935385e-09
1983,2.5261264191556165e-09
1984,3.479405208395292e-09
1985,0.0
1986,5.994485463567401e-10
1987,1.8332451112712533e-09
1988,1.1993107618124554e-09
1989,1.6464366536794728e-09
1990,1.089730194969718e-09
1991,5.861465202094962e-10
1992,5.509944167592096e-10
1993,1.1078414852150331e-09
1994,1.0549853213248639e-09
1995,1.0844901643380922e-09
1996,0.0
1997,4.79489448146353e-10
1998,4.768129224785866e-10
1999,4.570201161957499e-10
2000,1.3254094488601709e-09
2001,4.8193329327261836e-09
2002,3.066854992184176e-09
2003,1.2500769308587678e-09
2004,4.404791253964646e-10
2005,1.3511248786457486e-09
2006,4.1178899179428186e-10
2007,3.994479469415779e-10
2008,8.514879357157668e-10
2009,2.860915504498962e-09
2010,4.723793023408973e-10
2011,2.6767803529281764e-09
2012,1.0212758416727752e-09
2013,2.7891249310130206e-09
2014,3.031623174720721e-09
2015,1.329945265027277e-09
2016,1.6570720351438695e-09
2017,1.509366853724714e-09
2018,1.290733298020541e-09
2019,2.5509878653906526e-09
