year,aux_ADP aigles_NOUN,aux_ADP règles_NOUN
1800,1.3519906794101644e-07,3.197615342287463e-06
1801,9.762848840466631e-08,2.950285306724254e-06
1802,7.161088433349505e-08,3.784187583733001e-06
1803,4.6808139586573816e-08,3.50866025655705e-06
1804,8.651478111687538e-08,4.879433618043549e-06
1805,6.254330742194725e-08,4.79593472846318e-06
1806,5.4751712497136396e-08,4.702883870777441e-06
1807,1.1672516331273641e-07,7.484644811484031e-06
1808,9.290903113523541e-08,6.057215614418965e-06
1809,1.4231892864202678e-07,5.188993327465141e-06
1810,7.020380277111826e-09,6.730204404448159e-06
1811,8.022645658911642e-08,4.801052000402706e-06
1812,1.5736528169441044e-07,5.817181317979703e-06
1813,7.189354289671712e-08,5.374761258281069e-06
1814,4.720015844839054e-08,4.436814833752578e-06
1815,5.1247247778718474e-08,4.382988208817551e-06
1816,6.257530849040904e-08,5.3884291446593124e-06
1817,9.808302614544573e-08,4.211342456983402e-06
1818,9.894577557290063e-08,4.434677975950763e-06
1819,6.210630287828423e-08,5.427055384643609e-06
1820,9.730514705097448e-08,4.527062628767453e-06
1821,4.437669653967191e-08,4.488949343794957e-06
1822,1.1328945959121484e-07,4.630831881513586e-06
1823,5.040170170111935e-08,4.4985990825807676e-06
1824,6.147412356938275e-08,4.990351499145618e-06
1825,7.04435478837695e-08,4.6299019231810234e-06
1826,9.512622944907179e-08,4.641807663574582e-06
1827,6.912954714222153e-08,6.6180018620798364e-06
1828,1.1006761713172608e-07,6.1536970861197915e-06
1829,8.14451704411745e-08,6.044089332135627e-06
1830,8.558205455422296e-08,5.468902145366883e-06
1831,1.3720261904381914e-07,5.452244749903912e-06
1832,8.929779637956159e-08,6.364497494359966e-06
1833,5.560141858040879e-08,5.863632850378053e-06
1834,9.521221278063763e-08,5.8452833400224335e-06
1835,9.453859917130103e-08,5.359203896659892e-06
1836,5.981467410265395e-08,5.187746864976361e-06
1837,8.488626845881697e-08,4.821122729481431e-06
1838,1.0793796523245192e-07,5.3665999075747095e-06
1839,8.809258433828404e-08,5.6008707360888366e-06
1840,8.981260729568064e-08,5.276649972074665e-06
1841,1.020867181900087e-07,6.25939264864428e-06
1842,1.381902654529199e-07,5.937485184404068e-06
1843,6.556671211521703e-08,6.209344974195119e-06
1844,9.440325476894884e-08,5.768477876699762e-06
1845,6.752075809579594e-08,6.824618594691856e-06
1846,7.435216864415395e-08,6.2637309383717366e-06
1847,6.687597498000741e-08,6.772810138500063e-06
1848,5.6316552476953774e-08,6.18838475929806e-06
1849,6.452149792224304e-08,7.267466571647674e-06
1850,9.84404397996741e-08,6.121637852629647e-06
1851,9.86764101540416e-08,6.7370838223723695e-06
1852,9.440290704709753e-08,7.238424586830661e-06
1853,1.445207502559498e-07,5.7682891565491445e-06
1854,7.014147085371292e-08,5.896039965591626e-06
1855,1.2895857182115833e-07,5.888046871405095e-06
1856,9.318940641378504e-08,6.518599093396915e-06
1857,7.322263728681833e-08,5.392603270593099e-06
1858,5.676664183162927e-08,4.881931090494618e-06
1859,8.605772938707901e-08,5.325904112396529e-06
1860,8.696649320127925e-08,4.587711373460479e-06
1861,9.05465021294738e-08,4.9173354454978835e-06
1862,9.758850572083588e-08,5.175353180675302e-06
1863,9.33994081520062e-08,5.630935447697993e-06
1864,9.54150848331281e-08,4.533894752967171e-06
1865,9.978509851737982e-08,5.074448836239753e-06
1866,4.816956666875427e-08,5.384773885452887e-06
1867,8.298307641041447e-08,4.916868419968523e-06
1868,8.545982055352397e-08,4.945801720168674e-06
1869,6.055563894769023e-08,5.535957370739197e-06
1870,9.05979735676965e-08,4.990915840608068e-06
