year,six_DET routes_NOUN
1800,3.144164484325529e-09
1801,7.143547753329926e-09
1802,4.475680270843441e-09
1803,0.0
1804,1.730295728918918e-08
1805,3.1271653710973624e-08
1806,0.0
1807,0.0
1808,2.2660739062985158e-08
1809,0.0
1810,9.360507036149102e-09
1811,0.0
1812,1.0668832928217853e-08
1813,0.0
1814,1.8880061958270744e-08
1815,5.394447111228828e-09
1816,0.0
1817,0.0
1818,7.152706427149269e-09
1819,1.035105001712111e-09
1820,9.493184904840746e-09
1821,9.86148829262845e-10
1822,0.0
1823,0.0
1824,1.51580028528997e-08
1825,7.044354433105582e-09
1826,6.1655891503420435e-09
1827,1.1982455028203276e-08
1828,1.1006761724274838e-08
1829,6.858540846366168e-09
1830,2.0873671680021744e-09
1831,2.1827688767572795e-08
1832,1.3529969367098715e-09
1833,3.243415935827443e-08
1834,2.333632753703796e-08
1835,1.9664028627630614e-08
1836,1.9490175695580092e-08
1837,2.5744195664145764e-08
1838,1.5780404760690203e-08
1839,2.866504900111977e-08
1840,1.9746035473389156e-08
1841,1.4767262079828924e-08
1842,3.8237109478700404e-08
1843,4.1939068662344425e-08
1844,1.152597861597826e-08
1845,3.2365322699678956e-08
1846,1.6978054517835517e-08
1847,1.5640348571821505e-08
1848,8.045221766561639e-09
1849,7.54147366777147e-09
1850,1.0183494048021657e-08
1851,2.5152810501083422e-08
1852,2.9948509450150596e-08
1853,1.5527022778627497e-08
1854,1.766525914437267e-08
1855,1.3798036491152743e-08
1856,1.1389816201301528e-08
1857,4.881508974818871e-09
1858,1.0766087132907387e-08
1859,2.5460866748261424e-09
1860,2.746310373558103e-09
1861,3.0182167876091626e-08
1862,1.0843167252971853e-08
1863,1.1987089765241876e-08
1864,8.151037622639024e-09
1865,1.7886008230050265e-08
1866,3.259960712487242e-08
1867,1.164674756637396e-08
1868,9.385760946223343e-09
1869,6.348574999037737e-09
1870,2.2936195165357276e-09
1871,7.434824089713743e-09
1872,5.442605255367994e-09
1873,4.1902030178953e-09
1874,5.377148060148329e-09
1875,1.6592428320194585e-08
1876,4.232210137899983e-09
1877,1.0514186854493346e-08
1878,1.0266450745088918e-08
1879,1.1607717897987868e-08
1880,1.7328184886977738e-08
1881,2.091752193678076e-08
1882,9.317538740560849e-09
1883,2.0221884611260066e-08
1884,1.650424241717019e-08
1885,5.801072122668671e-09
1886,9.03484920211639e-09
1887,3.264462311580729e-09
1888,5.706553007911452e-09
1889,1.7542383101698533e-08
1890,6.554386366985909e-09
1891,7.649063604731055e-09
1892,8.149066088591894e-09
1893,8.621783287310336e-09
1894,8.192000855444803e-09
1895,2.4074457982692365e-09
1896,8.255840455717589e-09
1897,5.244042200480692e-09
1898,2.26334195829736e-09
1899,1.326618814800895e-08
1900,2.5436160844272138e-08
1901,8.941982043708663e-09
1902,6.383369222096036e-09
1903,1.4040573148577096e-08
1904,4.299700151477737e-09
1905,8.257214467732865e-09
1906,7.716276839708769e-09
1907,5.142843484406967e-09
1908,1.1296194868393172e-08
1909,9.351672325408344e-09
1910,2.6720753387721174e-09
1911,6.916486494645824e-09
1912,4.1675369266691575e-09
1913,1.27271754801761e-08
1914,5.357394972094198e-09
1915,1.2958838335741518e-08
1916,1.4283700444650549e-08
1917,9.869782324756216e-09
1918,0.0
1919,5.524709134618888e-09
1920,5.300562211374427e-09
1921,9.0872969149558e-09
1922,1.0329110011753073e-08
1923,6.369568872344189e-09
1924,9.02413699321869e-09
1925,6.598906754362588e-09
1926,7.802297141701331e-09
1927,5.574612438330462e-09
1928,9.14083297942625e-09
1929,1.2254446568604749e-08
1930,4.201441416995522e-09
1931,1.0264820993199919e-08
1932,1.0959536389520963e-08
1933,1.261772819560747e-08
1934,1.1981580172459871e-08
1935,1.196828414151696e-08
1936,7.274828739411987e-09
1937,1.5109342110797286e-08
1938,3.8895642262559704e-09
1939,1.070583532936098e-08
1940,1.2678914806940611e-08
1941,0.0
1942,1.2136847082899749e-08
1943,2.9032352077962287e-09
1944,9.639558484764166e-09
1945,0.0
1946,8.352662561605939e-09
1947,0.0
1948,1.4133453962728026e-08
1949,4.908504269707237e-09
1950,8.508289184305795e-09
1951,2.1322803522849654e-09
1952,6.326882129314981e-09
1953,1.0773827385790469e-09
1954,7.818028890937967e-09
1955,3.754243138587299e-09
1956,8.72114158667614e-10
1957,3.5340151360863103e-09
1958,1.6544486891589827e-09
1959,6.200598257066758e-09
1960,2.0762500052562416e-09
1961,6.25334317660986e-09
1962,6.341956571009888e-09
1963,3.879631838010766e-09
1964,4.258777885901566e-09
1965,1.6416130121932326e-09
1966,1.6617224263271169e-09
1967,5.423369198176431e-09
1968,9.431973091444945e-09
1969,7.720988182136068e-09
1970,1.0577067804939944e-08
1971,1.0276794970565106e-09
1972,5.643161493651405e-09
1973,5.513203726881244e-09
1974,1.2376257629842513e-08
1975,1.31364044086979e-08
1976,2.8567633814091664e-09
1977,4.701425304620699e-09
1978,3.564354700280603e-09
1979,5.266776015311336e-09
1980,3.97960553399912e-09
1981,3.795329717171114e-09
1982,3.1037510339615437e-09
1983,6.315316269933646e-09
1984,2.319603453759811e-09
1985,4.210890525158106e-09
1986,1.1389522436289212e-08
1987,7.3329802230404084e-09
1988,5.396898483667201e-09
1989,4.939309850016116e-09
1990,4.903785877363731e-09
1991,4.103025585955322e-09
