year,plus_ADV appelé_VERB,plus_ADV rappelé_VERB
1800,3.144164395507687e-08,0.0
1801,8.096020565062645e-08,2.3811825844433088e-09
1802,5.147032311469957e-08,0.0
1803,1.0921899473714802e-07,0.0
1804,4.449331569844617e-08,0.0
1805,6.538618890772341e-08,0.0
1806,1.7001848107156547e-07,0.0
1807,3.701041606518629e-08,5.693910232196231e-09
1808,7.931259204951857e-08,9.064295980465431e-09
1809,8.132509776714869e-08,0.0
1810,7.020380365929668e-08,1.4040760554223652e-08
1811,1.7549536934780008e-08,0.0
1812,3.467370746079723e-08,7.20146218213813e-08
1813,4.026038169513413e-08,5.751483289628823e-09
1814,9.44003133440674e-08,3.1466771410748606e-09
1815,2.4275012222574333e-08,2.1577788444915313e-08
1816,1.321034233114915e-07,0.0
1817,7.7843672841027e-08,1.556873407970727e-09
1818,1.3351719019283337e-07,4.2916237674717195e-08
1819,8.79839276990424e-08,2.794783426907088e-08
1820,1.7325062628970045e-07,9.493184904840746e-09
1821,9.664258726616026e-08,2.070912508145284e-08
1822,5.81485721795616e-08,0.0
1823,8.20263039713609e-08,2.668325471688604e-08
1824,8.168479581627253e-08,3.3684450784221553e-09
1825,1.0654586191094495e-07,6.163809906922779e-09
1826,8.367585024871005e-08,1.76159691278599e-08
1827,5.1616730445402936e-08,9.217273166939322e-09
1828,7.888178998882722e-08,1.1923991571904935e-08
1829,6.515613648616636e-08,1.2002446148073886e-08
1830,7.827626546941246e-08,3.444155893816969e-08
1831,1.4032085005055706e-07,9.354723218280014e-09
1832,4.7354891563600177e-08,2.705993873419743e-09
1833,5.90765054653275e-08,1.2741991461950875e-08
1834,6.627517024071494e-08,6.534171426153534e-09
1835,8.395027606411531e-08,1.5126175867408165e-09
1836,7.392824841190304e-08,6.048674894287842e-09
1837,1.092388899337493e-07,1.3915781860163179e-09
1838,7.385229139345029e-08,1.7042836475411605e-08
1839,6.571986688186371e-08,9.088918062616358e-09
1840,7.643626531717018e-08,3.821813088222825e-09
1841,6.548959419205858e-08,1.6693427085101575e-08
1842,8.653661609514529e-08,8.049918065466954e-09
1843,8.151537400635789e-08,1.3585895075607368e-08
1844,7.080244301960192e-08,4.390849017710252e-09
1845,7.92392356174787e-08,1.7298706467272496e-08
1846,5.3861413107370026e-08,2.751615646445771e-08
1847,7.33478415781974e-08,1.6718992412734224e-08
1848,5.63165514222419e-08,1.367687652020777e-08
1849,9.971503800443315e-08,7.54147322368226e-09
1850,6.924776130290411e-08,1.765138968323754e-08
1851,6.191461210391935e-08,1.096404567135778e-08
1852,7.422021752745422e-08,7.812654523320361e-09
1853,5.3150191803297275e-08,1.3735443005202796e-08
1854,5.871100938747986e-08,1.2469595134234623e-08
1855,7.53585069901419e-08,1.6982198758341838e-08
1856,7.040977578753882e-08,8.28350277259915e-09
1857,6.053070933376148e-08,1.6597130780837688e-08
1858,6.263905305559092e-08,1.9574704523961373e-08
1859,7.179964711667708e-08,1.0693564256314403e-08
1860,9.062824091188304e-08,6.865775947773045e-09
1861,8.300096254743039e-08,1.744906619194353e-08
1862,7.951656044724587e-08,1.400575744270327e-08
1863,6.592899381985262e-08,2.097740825490746e-08
1864,8.966141251676163e-08,1.582260189536555e-08
1865,5.695281757311932e-08,2.8241066374334878e-08
1866,6.909170480184912e-08,1.702964524952222e-08
1867,4.998396008204509e-08,2.329349513274792e-08
1868,7.16281718382561e-08,1.432563490055827e-08
1869,7.618289998845285e-08,1.70923168951731e-08
1870,7.454263339923273e-08,1.3188312664169644e-08
1871,3.717412155879174e-08,5.3105884134652115e-09
1872,3.4469834986339265e-08,2.660829245826335e-08
1873,8.38040605799506e-08,1.616221290134945e-08
1874,5.855116924635695e-08,1.9118749250424116e-08
1875,6.293679888358383e-08,1.2015206607429718e-08
1876,4.111290152764013e-08,3.567148709748835e-08
1877,4.4530676035492434e-08,1.5462040536817767e-08
1878,4.7104890654736664e-08,7.2469061862534545e-09
1879,1.0508039594014917e-07,3.0546627449723474e-09
1880,4.3641353641987735e-08,9.626769603698904e-09
1881,6.344981784422998e-08,6.9725074602899895e-09
1882,7.653692790654532e-08,1.5307385581309063e-08
1883,4.9922778799782463e-08,2.1485751844352308e-08
1884,4.951272813968899e-08,8.582206056928499e-09
1885,4.3185760745245716e-08,1.740321664556177e-08
1886,5.679048342699389e-08,1.677900662855336e-08
1887,4.113222473733913e-08,2.285123557044244e-08
1888,6.721051448721482e-08,9.510921827882157e-09
1889,4.698852507090123e-08,1.566284169030041e-08
1890,6.357755211183758e-08,2.1629475099871343e-08
1891,7.202868346212199e-08,1.1473596295275001e-08
1892,3.6984221907232495e-08,6.8953633913793055e-09
1893,5.480990594719515e-08,3.079208221734575e-09
1894,5.734400687629204e-08,2.142523314319078e-08
1895,6.740847879882494e-08,1.023164486468886e-08
1896,5.89702899844724e-08,7.076434549446731e-09
1897,4.7196380137393135e-08,7.574727511894253e-09
1898,4.9227686815811467e-08,1.6975064909274806e-08
1899,4.366786754417262e-08,1.4371703827009696e-08
1900,4.7238582823183606e-08,1.1939421895590385e-08
1901,4.750427962108006e-08,1.1177477832191585e-09
1902,4.271947062761683e-08,2.1114219705964388e-08
1903,4.968202560462487e-08,8.100330184390714e-09
1904,4.998401337275027e-08,1.4511488011237361e-08
1905,3.9221767167418875e-08,1.2385822145688508e-08
1906,4.166789580040131e-08,8.230695236477459e-09
1907,5.348557152728972e-08,8.742834012309686e-09
1908,3.045061092166179e-08,1.620758460774141e-08
