year,pourras_VERB avoir_VERB
1800,0.0
1801,4.7623651688866175e-09
1802,2.0140561218795483e-08
1803,5.851017448321727e-09
1804,0.0
1805,5.685755422035754e-09
1806,0.0
1807,1.1387820464392462e-08
1808,0.0
1809,0.0
1810,1.1700633351097167e-08
1811,5.0141535368197765e-09
1812,0.0
1813,0.0
1814,8.810695817373926e-08
1815,0.0
1816,2.3176038865813098e-09
1817,0.0
1818,1.1921177378582115e-09
1819,6.210630232317271e-09
1820,3.5599443393152796e-09
1821,4.930744257336528e-09
1822,1.303330066093622e-08
1823,2.9648061783404955e-09
1824,4.210556348027694e-09
1825,5.283265824829186e-09
1826,2.1139161532346407e-08
1827,3.6869092223668076e-09
1828,1.1006761724274838e-08
1829,7.715858174606183e-09
1830,1.5655253093882493e-08
1831,4.677361609140007e-09
1832,6.764984572527055e-09
1833,1.6217079235048004e-08
1834,5.600718555598405e-09
1835,2.647080776796429e-08
1836,9.409050427677812e-09
1837,1.1828414692161004e-08
1838,6.312161904276081e-09
1839,3.4957374772659477e-09
1840,1.7198159341091923e-08
1841,2.5682194149112547e-09
1842,6.037438549100216e-09
1843,1.1223130869097986e-08
1844,7.683985892015244e-09
1845,7.812318791877715e-09
1846,1.1123552745573306e-08
1847,1.5101026207275936e-08
1848,1.850401076808339e-08
1849,2.513824481908955e-09
1850,4.073397619208663e-09
1851,1.1608989325395669e-08
1852,5.208436348880241e-09
1853,6.569124799682413e-09
1854,5.195664343204953e-09
1855,1.8043586180738203e-08
1856,6.212626857404757e-09
1857,3.4170564155999728e-09
1858,7.829881631948865e-09
1859,1.5785737161877478e-08
1860,1.830873586072812e-08
1861,5.187560159214399e-09
1862,7.228778020618165e-09
1863,3.995696662428827e-09
1864,1.821996598039277e-08
1865,6.589582213223366e-09
1866,1.556996132023869e-08
1867,1.649955905236311e-08
1868,9.87974857480367e-09
1869,1.2697149998075474e-08
1870,7.454262984651905e-09
1871,5.3105884134652115e-09
1872,6.652073114565837e-09
1873,7.183205141814142e-09
1874,2.2703515512034755e-08
1875,1.4875970677508121e-08
1876,1.0278225381910033e-08
1877,9.895705588292003e-09
1878,6.039088784604019e-09
1879,1.710611030603104e-08
1880,2.4387816210946767e-08
1881,3.4862537301449947e-09
1882,5.989846840748214e-09
1883,1.2006744043446815e-08
1884,1.3203393933736152e-08
1885,1.2891271383708158e-09
1886,1.097088819790315e-08
1887,3.264462256069578e-09
1888,1.014498351992188e-08
1889,5.6386229019267375e-09
1890,1.0487018364813139e-08
1891,7.0116419337296065e-09
1892,4.387958441043338e-09
1893,4.310891643655168e-09
1894,5.041231432301174e-09
1895,1.1435367319734269e-08
1896,1.2383760683576384e-08
1897,3.4960281336537946e-09
1898,9.05336783318944e-09
1899,7.738609753005221e-09
1900,7.786579381274805e-09
1901,6.147612641171918e-09
1902,1.0311596021495006e-08
1903,1.0800440541913758e-08
1904,1.0749250378694342e-09
1905,2.580379465655369e-09
1906,1.1317205839134203e-08
1907,6.1714118260169926e-09
1908,8.349361202419914e-09
1909,6.0510818578052294e-09
1910,6.947395991829808e-09
1911,3.7242617878519013e-09
1912,1.40654377034366e-08
1913,1.3787773589513108e-08
1914,6.027069510139427e-09
1915,4.712304768617059e-09
1916,1.2086208478478966e-08
1917,1.0966424435210342e-09
1918,9.189101035644853e-09
1919,0.0
1920,7.572231730534895e-09
1921,1.741731914250977e-08
1922,2.2871599725249325e-08
1923,5.307974060286824e-09
1924,0.0
1925,4.399271169575059e-09
1926,5.57306911730393e-09
1927,4.4596899506643695e-09
1928,7.998228745975666e-09
1929,4.4561625500705304e-09
1930,5.2518016602221e-09
1931,7.983749661377715e-09
1932,4.383814644626227e-09
1933,1.0323596200123575e-08
1934,3.5944740517379614e-09
1935,1.6755597798123745e-08
1936,4.849885826274658e-09
1937,1.6368453259474336e-08
1938,7.779128452511941e-09
1939,1.070583532936098e-08
1940,1.7750480196809804e-08
1941,2.9515025978810172e-09
1942,1.2136847082899749e-08
1943,5.806470415592457e-09
1944,3.2131861615880553e-09
1945,6.535512131478072e-09
1946,5.568441707737293e-09
1947,2.3841742802233057e-08
1948,1.195907639583993e-08
1949,1.0798709482173763e-08
1950,5.317680518146517e-09
1951,6.396841278899501e-09
1952,3.057992969957013e-08
1953,8.619061908632375e-09
1954,1.3681550115052232e-08
1955,2.815682353940474e-09
1956,1.4825940475304833e-08
1957,8.835037590415595e-09
1958,7.445019267748876e-09
1959,3.8753737996444215e-09
1960,9.689166802218097e-09
1961,1.320150300188061e-08
1962,8.8787386332001e-09
1963,1.8104948651398445e-08
1964,1.764350798794112e-08
1965,1.094408652591028e-08
1966,1.273987226824147e-08
1967,1.232583901611406e-08
1968,5.838840522187638e-09
1969,9.537691525451919e-09
1970,1.0117195081704722e-08
1971,1.284599360218408e-08
1972,9.747279428040656e-09
1973,9.37244681864513e-09
1974,5.06301445213353e-09
1975,6.282628195464213e-09
1976,1.199840671262109e-08
1977,7.639816779203557e-09
1978,1.128712323605896e-08
1979,5.266775904289034e-09
1980,7.95921106799824e-09
1981,8.855769451088236e-09
1982,1.0552754226011984e-08
1983,1.2630632539867293e-08
1984,6.378909400694965e-09
1985,1.564045071233977e-08
1986,9.591176741707841e-09
1987,5.49973533381376e-09
