year,voulais_VERB emporter_VERB,voulais_VERB remporter_VERB
1800,6.288328968651058e-09,0.0
1801,0.0,0.0
1802,1.3427040812530322e-08,0.0
1803,0.0,0.0
1804,1.9774807569206132e-08,0.0
1805,8.528632911009026e-09,0.0
1806,3.7461699520235925e-08,0.0
1807,2.2775640928784924e-08,0.0
1808,0.0,2.2660739951163578e-09
1809,2.259030518203531e-09,4.518061036407062e-09
1810,0.0,0.0
1811,1.2535384286138651e-08,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,9.341240669868967e-09,1.556873407970727e-09
1818,1.1921177378582115e-09,0.0
1819,0.0,0.0
1820,2.3732962262101864e-09,0.0
1821,1.3806083387635226e-08,9.86148829262845e-10
1822,2.0051231786055723e-09,0.0
1823,3.063632902922109e-08,0.0
1824,4.210556348027694e-09,0.0
1825,2.1133063299316746e-08,0.0
1826,1.7615968683770689e-09,0.0
1827,5.530363722527909e-09,0.0
1828,5.503380862137419e-09,0.0
1829,2.571952872898464e-09,0.0
1830,1.2524203008013046e-08,0.0
1831,1.091384405071949e-08,0.0
1832,2.841293600397421e-08,0.0
1833,3.4750886612755494e-09,0.0
1834,1.0267983796552471e-08,0.0
1835,1.3613558280667348e-08,0.0
1836,1.747394939854985e-08,0.0
1837,9.045257876039159e-09,0.0
1838,1.3255539776935166e-08,0.0
1839,5.5931801412612e-09,0.0
1840,1.3376346252869098e-08,0.0
1841,5.778493683550323e-09,0.0
1842,1.0062397137744483e-08,0.0
1843,1.8902115428431898e-08,0.0
1844,1.2623690537338916e-08,0.0
1845,1.562463758375543e-08,0.0
1846,5.854501328173001e-09,5.854501328173001e-10
1847,4.314578916364553e-09,5.393223645455691e-10
1848,1.448139919091318e-08,0.0
1849,1.005529792763582e-08,0.0
1850,9.504594444820214e-09,0.0
1851,5.159551008659946e-09,0.0
1852,1.9531636308300904e-09,0.0
1853,6.569124799682413e-09,0.0
1854,7.79349651480743e-09,0.0
1855,1.326734277995456e-08,0.0
1856,7.248064815001953e-09,0.0
1857,1.9526036343364694e-09,0.0
1858,8.808616946964776e-09,0.0
1859,1.0693564256314403e-08,0.0
1860,4.57718396518203e-09,0.0
1861,7.545541969022906e-09,0.0
1862,9.939570055905733e-09,0.0
1863,1.4983863039219614e-08,0.0
1864,8.63051052846231e-09,0.0
1865,5.6482134525026595e-09,0.0
1866,4.379051787850585e-09,0.0
1867,1.0190904120577216e-08,0.0
1868,6.915823469455518e-09,9.87974813071446e-10
1869,1.2208797528501236e-08,0.0
1870,4.013834153937523e-09,0.0
1871,6.37270636261178e-09,0.0
1872,9.675742873582749e-09,0.0
1873,1.1972008939764578e-09,0.0
1874,1.2546679251101978e-08,0.0
1875,8.010138330405425e-09,0.0
1876,6.04601479992084e-09,0.0
1877,1.5462040536817767e-08,0.0
1878,3.6234530931267273e-09,0.0
1879,9.774920428640144e-09,0.0
1880,7.701415505323439e-09,0.0
1881,4.8807553554297556e-09,0.0
