year,pouvons_VERB amener_VERB,pouvons_VERB ramener_VERB
1800,0.0,0.0
1801,1.1905912700171939e-08,0.0
1802,6.713520406265161e-09,0.0
1803,0.0,5.851017448321727e-09
1804,0.0,0.0
1805,1.9900143755080535e-08,0.0
1806,0.0,5.76333825108577e-09
1807,0.0,0.0
1808,9.064295980465431e-09,0.0
1809,6.7770917766551975e-09,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,5.3344164641089264e-09
1813,2.0130190847567064e-08,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,4.1716869958463576e-08,0.0
1817,4.670620334934483e-09,1.556873407970727e-09
1818,3.5763532135746345e-09,0.0
1819,4.140420006848444e-09,1.3456364911235141e-08
1820,0.0,0.0
1821,1.3806083387635226e-08,1.97229765852569e-09
1822,1.0025615893027862e-09,2.0051231786055723e-09
1823,9.882686891060644e-10,1.9765373782121287e-09
1824,5.894778887238772e-09,5.894778887238772e-09
1825,6.163809906922779e-09,1.7610886082763955e-09
1826,8.807984341885344e-10,8.807984341885344e-10
1827,1.8434546111834038e-09,9.217273055917019e-10
1828,3.668920500743411e-09,3.668920500743411e-09
1829,8.57317605795771e-10,8.57317605795771e-10
1830,5.218417697960831e-09,2.0873671680021744e-09
1831,6.236482441579483e-09,1.5591206103948707e-09
1832,1.7588959622116818e-08,0.0
1833,0.0,1.1583628500844156e-09
1834,0.0,1.4001796166951408e-08
1835,4.5378527602224494e-09,1.5126175867408165e-09
1836,4.704525213838906e-09,2.352262562510532e-08
1837,4.87052354003481e-09,1.0436836284100082e-08
1838,0.0,6.312161904276081e-09
1839,1.3982950353153e-09,2.7965900706306e-09
1840,8.280594876453051e-09,8.280594876453051e-09
1841,1.2841097074556274e-09,3.2102742686390684e-09
1842,6.037438549100216e-09,3.3541325272778977e-09
1843,5.906911071384968e-10,1.5357969118667825e-08
1844,2.195424508855126e-09,1.0977122322231025e-08
1845,1.1718478631905782e-08,7.812318791877715e-09
1846,7.610851504580296e-09,2.5759806732139623e-08
1847,5.9325460100012606e-09,6.47186837454683e-09
1848,9.65426583121598e-09,1.689496542667257e-08
1849,3.3517659758786067e-09,1.6758829879393033e-09
1850,7.467895635215882e-09,2.7155984128057753e-09
1851,1.2253933867611977e-08,8.384270167027807e-09
1852,2.6042181744401205e-09,3.2552727180501506e-09
1853,4.180352064508952e-09,4.180352064508952e-09
1854,1.0910895298366086e-08,1.454786069388092e-08
1855,5.837630823180007e-09,1.0083180512765466e-08
1856,7.765783571755946e-09,1.4496129630003907e-08
1857,1.9526036343364694e-09,2.147863931156735e-08
1858,2.4468380654951716e-09,8.808616946964776e-09
1859,1.018434669930457e-09,8.656694916453489e-09
1860,8.696649622663699e-09,2.288591893773173e-08
1861,1.4147891747029462e-09,1.6034276129062164e-08
1862,4.517986429419807e-09,1.445755604123633e-08
1863,5.494082966350788e-09,7.991393324857654e-09
1864,4.315255264231155e-09,8.63051052846231e-09
1865,0.0,1.5061901947888146e-08
1866,1.2650593461671633e-08,5.352174259343201e-09
1867,2.91168689159349e-09,7.279217228983725e-09
1868,4.44588676984381e-09,2.1241458370013788e-08
1869,1.12320943657096e-08,2.2952539424636598e-08
1870,5.734048791339319e-09,8.601073631098188e-09
1871,7.434824311758348e-09,3.504988654867702e-08
1872,4.23313739617015e-09,1.7537283625301825e-08
1873,2.3944017879529156e-09,1.7958013742713774e-08
1874,9.559374625212058e-09,1.0754296120296658e-08
1875,4.005069165202713e-09,1.3731664694205392e-08
1876,6.04601479992084e-09,1.5115036333668286e-08
1877,1.1132669008873108e-08,8.658742167710898e-09
1878,7.2469061862534545e-09,9.662541877730746e-09
1879,5.498392852132383e-09,1.3440515367335593e-08
1880,5.776061406947974e-09,1.3477476912271413e-08
1881,1.045876096839038e-08,2.022027167924989e-08
1882,7.986462158271479e-09,1.3310770263785798e-08
1883,5.687405213450347e-09,1.4534479397809719e-08
1884,5.941527270181268e-09,2.442627788923346e-08
1885,1.933690763067375e-09,1.5469526104539e-08
1886,1.8069698626277386e-08,9.680196200179125e-09
1887,4.570247291724172e-09,2.6115698492645834e-09
1888,1.9021844099853524e-09,1.4583413587843097e-08
1889,1.1277245803853475e-08,1.7542383545787743e-08
1890,3.2771931834929546e-09,2.2940351840361473e-08
1891,8.92390783491237e-09,1.6572972327821844e-08
1892,4.387958441043338e-09,2.570090096298827e-08
1893,9.23762488724833e-09,2.155445777418663e-08
1894,1.071261657159539e-08,2.2055386850183822e-08
1895,3.611168697403855e-09,1.6852119699706236e-08
1896,1.179405795248556e-09,1.1204354777305525e-08
1897,1.1653427112179315e-09,2.0393496669157685e-08
1898,1.1316709347397591e-08,1.2448380992680086e-08
1899,1.1055156790007459e-08,1.713549302451156e-08
