year,très_ADV rempli_VERB
1800,0.0
1801,0.0
1802,2.2378401354217203e-09
1803,7.801356893821776e-09
1804,0.0
1805,2.842877711017877e-09
1806,0.0
1807,0.0
1808,0.0
1809,2.259030518203531e-09
1810,0.0
1811,0.0
1812,5.601137331723294e-08
1813,5.751483289628823e-09
1814,0.0
1815,0.0
1816,0.0
1817,6.227493631882908e-09
1818,1.1921177378582115e-09
1819,0.0
1820,3.5599443393152796e-09
1821,0.0
1822,1.0025615893027862e-09
1823,9.882686891060644e-10
1824,5.894778887238772e-09
1825,0.0
1826,0.0
1827,1.8434546111834038e-09
1828,0.0
1829,0.0
1830,5.218417697960831e-09
1831,0.0
1832,0.0
1833,2.3167257001688313e-09
1834,9.334531370086552e-09
1835,2.4958190181223472e-08
1836,0.0
1837,6.957890930081589e-10
1838,3.1560809521380406e-09
1839,5.5931801412612e-09
1840,1.2739377330817092e-09
1841,1.926164561183441e-09
1842,1.341653010911159e-09
1843,4.134837805480629e-09
1844,8.781698035420504e-09
1845,2.2320911785556063e-09
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,5.159551008659946e-09
1852,0.0
1853,1.1943863675867306e-09
1854,1.0391328908454511e-09
1855,1.0613874223963649e-09
1856,0.0
1857,2.4407544874094356e-09
1858,6.361778659424999e-09
1859,8.656694916453489e-09
1860,9.154367819341758e-10
1861,4.715963730639317e-10
1862,2.6204320491274302e-08
1863,1.9978483312144135e-09
1864,3.3563094525845827e-09
1865,0.0
1866,0.0
1867,0.0
1868,1.1361710683388537e-08
1869,0.0
1870,1.1468097582678638e-09
1871,1.0621177271019633e-09
1872,1.8142017887967654e-09
1873,3.591602570907071e-09
1874,5.974609140757536e-10
1875,0.0
1876,3.02300739996042e-09
1877,0.0
1878,4.831270938865373e-09
1879,7.331190321480108e-09
1880,3.8507077526617195e-09
1881,9.761510710859511e-09
1882,7.320923423037584e-09
1883,3.6020232130340446e-08
1884,9.902545450302114e-09
1885,1.160214413431504e-08
1886,1.7424351739236954e-08
1887,1.0446279397058333e-08
1888,1.2047167707862627e-08
1889,1.566284169030041e-08
1890,9.831579994568074e-09
1891,1.8485238229004608e-08
1892,2.005923960268774e-08
1893,2.5249507373814595e-08
1894,2.2685540557176864e-08
1895,1.9861428057765806e-08
1896,1.0614652268259306e-08
1897,1.981082675683865e-08
1898,1.3580051749784161e-08
1899,1.4371703827009696e-08
1900,2.2321527737290126e-08
1901,1.2295225282343836e-08
1902,2.7497589982772297e-08
1903,1.674068350610014e-08
1904,2.579820090886642e-08
1905,3.4577084306874895e-08
1906,2.2634411678268407e-08
1907,1.3885677496716653e-08
1908,1.3751889405000384e-08
1909,9.901770070541716e-09
1910,1.9238942883248455e-08
1911,1.5429085564733214e-08
1912,2.5005221004903433e-08
1913,1.484837142129436e-08
1914,3.4153391226254826e-08
1915,2.1205371680821372e-08
1916,5.493730803607377e-09
1917,2.1932848426331475e-08
