year,sans_ADP envoyer_VERB,sans_ADP renvoyer_VERB
1800,3.772997558826319e-08,3.144164484325529e-09
1801,5.000483582762172e-08,4.7623651688866175e-09
1802,1.0070280609397742e-07,1.5664880947952042e-08
1803,1.014176405078615e-07,1.1702034896643454e-08
1804,1.0134588990240445e-07,4.2021465418429216e-08
1805,1.7057265822018053e-08,3.1271653710973624e-08
1806,4.3225035994964855e-08,1.729001475325731e-08
1807,3.9857372513552036e-08,3.9857372513552036e-08
1808,3.172503681980743e-08,3.6257183921861724e-08
1809,1.0391540428145163e-07,2.4849335034105025e-08
1810,5.616304221689461e-08,7.020380277111826e-09
1811,4.262030373070047e-08,1.7549536490690798e-08
1812,6.668020802180763e-08,5.867858021701977e-08
1813,4.601186631703058e-08,4.026038169513413e-08
1814,4.405347908686963e-08,3.1466772298927026e-08
1815,8.091670444798638e-09,3.236668177919455e-08
1816,2.3176038865813098e-09,2.0858434979231788e-08
1817,3.113746771532533e-08,1.71256075987003e-08
1818,3.5763530803478716e-08,4.172412104708201e-08
1819,7.970308502081025e-08,5.796588098405664e-08
1820,2.254631326081835e-08,4.153268218232142e-08
1821,5.9168929311681495e-08,5.1279737789400315e-08
1822,1.6141241587774857e-07,6.717162648328667e-08
1823,1.0772128433700345e-07,7.807322788266902e-08
1824,1.0779024250950897e-07,2.105278085196005e-08
1825,6.780191341704267e-08,5.811592274085342e-08
1826,1.153845943235865e-07,6.605988289720699e-08
1827,1.0231173186436848e-07,6.91295483079557e-08
1828,7.246118127746115e-08,4.494427585655103e-08
1829,6.858540757548326e-08,6.001223340490469e-08
1830,1.0436836106464398e-07,3.965997663613052e-08
1831,4.989185953263586e-08,5.456922025359745e-08
1832,7.306183391619925e-08,4.19429042608499e-08
1833,3.4750886612755494e-08,4.7492876520394134e-08
1834,8.307732457524253e-08,4.760610750054184e-08
1835,9.605121675804185e-08,3.479020449503878e-08
1836,1.1089237261785456e-07,4.637317374545091e-08
1837,8.697363540477454e-08,7.097048637660919e-08
1838,1.1488134532555705e-07,7.953323688525415e-08
1839,7.760537101830778e-08,6.781731087812659e-08
1840,6.624476184269312e-08,7.006657226638069e-08
1841,4.943822418113086e-08,7.447836170015876e-08
1842,7.110760691375617e-08,3.957876515414682e-08
1843,6.674809599482856e-08,3.2488010948128476e-08
1844,5.433675648314207e-08,4.390849023261367e-08
1845,5.4686232431322424e-08,3.627148004170522e-08
1846,5.913046408068112e-08,2.2247105491146613e-08
1847,7.981971350545791e-08,4.6921044827286096e-08
1848,5.712107359334695e-08,3.137636639394259e-08
1849,9.133562173246901e-08,5.027649052635752e-08
1850,5.974316508172706e-08,6.04220646849285e-08
1851,3.8696633453128015e-08,3.611685728266423e-08
1852,2.539112742283578e-08,3.7761164861649377e-08
1853,6.808001984381917e-08,3.941475057445132e-08
1854,6.598493795806348e-08,4.46827144173767e-08
1855,3.555647865027822e-08,1.963566731433275e-08
1856,5.746679876406091e-08,3.986435626046614e-08
1857,1.1227471219399376e-07,4.14928260639158e-08
1858,3.7191938417890924e-08,3.1808895073481835e-08
1859,5.1940169498720934e-08,3.6154431004575827e-08
1860,5.904567146330919e-08,2.700538548339182e-08
1861,5.611996911625283e-08,3.442653506713356e-08
1862,7.228778298173921e-08,2.936691068100572e-08
1863,6.592899493007565e-08,2.0977407033662132e-08
1864,4.9865170770324596e-08,4.2193605054308136e-08
1865,6.307171673824996e-08,4.23615986733239e-08
1866,7.979605509689236e-08,5.157549765044678e-08
1867,6.017486064990862e-08,5.192508290008391e-08
