year,puissiez_VERB entrer_VERB,puissiez_VERB rentrer_VERB
1800,9.432493897065797e-09,9.432493897065797e-09
1801,4.7623651688866175e-09,0.0
1802,8.951360541686881e-09,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,5.685755422035754e-09,0.0
1806,0.0,2.881669125542885e-09
1807,0.0,0.0
1808,2.2660739951163578e-09,2.2660739951163578e-09
1809,1.581321384946932e-08,4.518061036407062e-09
1810,2.574139479349924e-08,0.0
1811,0.0,2.5070767684098882e-09
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,4.6352077731626196e-09,2.3176038865813098e-09
1817,1.556873407970727e-09,0.0
1818,3.5763532135746345e-09,0.0
1819,0.0,0.0
1820,1.898636980968149e-08,0.0
1821,2.2681422962023134e-08,2.9584463767662328e-09
1822,1.5038423839541792e-08,2.0051231786055723e-09
1823,1.7788837070042973e-08,0.0
1824,9.263223965660927e-09,0.0
1825,5.283265824829186e-09,8.805443041381977e-10
1826,8.807984341885344e-10,0.0
1827,3.6869092223668076e-09,0.0
1828,6.420610709767516e-09,7.337841001486822e-09
1829,8.57317605795771e-10,8.57317605795771e-10
1830,2.0873671680021744e-09,1.0436835840010872e-09
1831,1.2472964883158966e-08,1.5591206103948707e-09
1832,2.705993873419743e-09,1.3529969367098715e-09
1833,3.359252431778259e-08,0.0
1834,9.334531370086552e-09,9.334530925997342e-10
1835,1.5882484660778573e-08,2.2689263801112247e-09
1836,1.2097349788575684e-08,2.688300027031687e-09
1837,6.957891152126194e-09,1.3915781860163179e-09
1838,1.5780404538645598e-08,6.312161904276081e-10
1839,4.894032734625853e-09,6.9914751765765e-10
1840,5.732719632334238e-09,1.9109065441114126e-09
1841,1.926164561183441e-09,1.2841097074556274e-09
1842,2.6162233268678392e-08,0.0
1843,8.269675610961258e-09,0.0
1844,9.879410178825765e-09,3.2931368743049916e-09
1845,3.9061593959388574e-09,6.696273757711424e-09
1846,1.1709002656346001e-08,2.9272506640865004e-09
1847,1.6179670936367074e-09,0.0
1848,2.413566457803995e-09,0.0
1849,5.02764896381791e-09,0.0
1850,2.7155984128057753e-09,0.0
1851,3.8696632564949596e-09,6.449438760824933e-10
1852,3.2552727180501506e-09,0.0
1853,3.5831591027601917e-09,0.0
1854,6.754363734984281e-09,2.0782657816909023e-09
1855,5.837630823180007e-09,1.0613874223963649e-09
1856,5.177189232874468e-10,5.177189232874468e-10
1857,9.763017949637742e-09,7.322263684272912e-09
1858,1.4191660291373864e-08,4.893676019968041e-10
1859,3.5645213447565993e-09,0.0
1860,5.950338888283113e-09,0.0
1861,1.5091083938045813e-08,9.431927461278633e-10
1862,1.0843167252971853e-08,4.517986262886353e-10
1863,3.995696662428827e-09,0.0
1864,1.6781548595190543e-08,0.0
1865,1.6473954644879996e-08,4.706844358715045e-10
1866,7.298419202328432e-09,9.731225825149181e-10
1867,4.85281148598915e-09,0.0
1868,2.4699371437009177e-09,1.4819622196071691e-09
1869,8.790334682373668e-09,4.883519366671862e-09
1870,4.013834153937523e-09,4.013834153937523e-09
1871,5.3105884134652115e-09,0.0
1872,1.2094679036067646e-08,1.2094678591978436e-09
1873,3.591602570907071e-09,4.190203295451056e-09
1874,4.182226565063729e-09,5.974609140757536e-10
1875,8.010138330405425e-09,4.577221712764867e-09
1876,6.04601479992084e-10,1.813804439976252e-09
1877,4.9478527941460015e-09,6.184815992682502e-10
1878,6.039088673581716e-10,1.2078177347163432e-09
1879,7.331190321480108e-09,2.443730107160036e-09
1880,1.9253538763308597e-09,3.2089231272180996e-09
1881,1.3945014920579979e-08,0.0
1882,6.655385131892899e-10,0.0
1883,3.791603475633565e-09,2.5277355764075082e-09
1884,1.3203393933736152e-09,6.601696966868076e-10
1885,6.445635580831777e-09,2.5782542767416317e-09
1886,5.808117542471791e-09,3.872078213618124e-09
1887,3.264462256069578e-09,0.0
1888,1.268122939990235e-09,6.340614699951175e-10
