year,voulons_VERB entrer_VERB,voulons_VERB rentrer_VERB
1800,9.432493897065797e-09,2.5153315874604232e-08
1801,4.7623651688866175e-09,2.3811825844433088e-09
1802,2.9091921760482364e-08,4.475680270843441e-09
1803,1.3652374342143503e-08,5.851017448321727e-09
1804,0.0,7.4155526164076946e-09
1805,8.528632911009026e-09,2.842877711017877e-09
1806,2.881669125542885e-09,2.881669125542885e-09
1807,2.8469550272802735e-08,1.1387820464392462e-08
1808,4.5321479902327155e-09,4.5321479902327155e-09
1809,2.4849335034105025e-08,2.0331274441787173e-08
1810,1.4040760554223652e-08,7.020380277111826e-09
1811,2.5070767684098882e-09,2.5070767684098882e-09
1812,1.3336041604361526e-08,2.6672082320544632e-09
1813,8.627225156487839e-09,0.0
1814,0.0,0.0
1815,2.4275012222574333e-08,1.8880564667256294e-08
1816,1.1588019432906549e-08,9.270415546325239e-09
1817,1.401186100480345e-08,4.670620334934483e-09
1818,4.768470951432846e-09,7.152706427149269e-09
1819,1.035105001712111e-09,3.1053151161586356e-09
1820,3.20394981656591e-08,2.3732962262101864e-09
1821,2.9584464655840748e-08,2.9584463767662328e-09
1822,9.023054303725075e-09,1.303330066093622e-08
1823,1.7788837070042973e-08,1.1859224713361982e-08
1824,2.6947560627377243e-08,4.210556348027694e-09
1825,3.874394849390228e-08,4.4027217427355936e-09
1826,2.3781558056157337e-08,1.145037931138404e-08
1827,1.2904182611350734e-08,9.217273055917019e-10
1828,1.6510142586412258e-08,2.7516904310687096e-09
1829,1.457439946506156e-08,3.429270423183084e-09
1830,1.2524203008013046e-08,7.305785310052215e-09
1831,2.3386808933878456e-08,3.1182412207897414e-09
1832,8.117981842303834e-09,1.3529969367098715e-09
1833,3.4750886612755494e-08,1.1583628278799551e-08
1834,2.42697808516823e-08,9.334531370086552e-09
1835,3.781543966852041e-08,1.5126175867408165e-08
1836,3.1587525484155776e-08,6.048674894287842e-09
1837,2.922314124020886e-08,3.478945576063097e-09
1838,3.092959488526503e-08,2.5248647617104325e-09
1839,1.5381244722334486e-08,7.690622361167243e-09
1840,3.821813265858509e-08,1.52872523528913e-08
1841,3.2102743574569104e-08,2.118781061710706e-08
1842,3.085801836277824e-08,1.1404051036834062e-08
1843,1.8311423488626133e-08,3.5441467538532834e-09
1844,5.43367555394525e-08,5.488561161115513e-09
1845,4.8547981634783355e-08,6.696273757711424e-09
1846,4.2152407786488766e-08,3.5127007969038004e-09
1847,2.1033571329098777e-08,9.168480197274675e-09
1848,4.666228647920434e-08,2.413566457803995e-09
1849,7.206296714912241e-08,9.217356655710773e-09
1850,4.752297400045791e-08,2.0366988096043315e-09
1851,3.676180071465751e-08,3.8696632564949596e-09
1852,3.059956199535918e-08,5.859490670445666e-09
1853,3.1054046445433414e-08,4.777545470346922e-09
1854,3.013485283531736e-08,5.7152309551611324e-09
1855,2.865746040470185e-08,5.837630823180007e-09
1856,2.5368226630462232e-08,4.141751386299575e-09
1857,3.4658715009072694e-08,8.298565390418844e-09
1858,2.9851424443450014e-08,4.893676130990343e-09
1859,2.64793023063703e-08,2.036869339860914e-09
1860,5.6757080812985805e-08,3.661747127736703e-09
1861,4.008569121083383e-08,3.3011746669586728e-09
1862,4.201727321628823e-08,1.0391368654438793e-08
1863,2.7969877081091e-08,2.9967726078439227e-09
1864,3.1165733105353866e-08,2.3973640850272204e-09
1865,4.23615986733239e-08,5.6482134525026595e-09
1866,4.184427027098536e-08,1.0217787504984699e-08
1867,4.804283548764943e-08,2.91168689159349e-09
1868,3.853101659956337e-08,4.44588676984381e-09
