year,devons_VERB approcher_VERB,devons_VERB rapprocher_VERB
1800,6.288328968651058e-09,3.144164484325529e-09
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,2.5070767684098882e-09
1812,2.6672082320544632e-09,8.00162425207418e-09
1813,5.751483289628823e-09,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,2.697223555614414e-09
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,7.152706427149269e-09,3.5763532135746345e-09
1819,1.035105001712111e-09,0.0
1820,0.0,0.0
1821,0.0,9.86148829262845e-10
1822,8.02049271442229e-09,0.0
1823,2.9648061783404955e-09,0.0
1824,5.052667617633233e-09,0.0
1825,2.641632912414593e-09,0.0
1826,8.807984341885344e-10,0.0
1827,5.530363722527909e-09,1.8434546111834038e-09
1828,6.420610709767516e-09,7.337841001486822e-09
1829,1.714635211591542e-09,1.2002446148073886e-08
1830,7.305785310052215e-09,7.305785310052215e-09
1831,9.354723218280014e-09,7.795603274018958e-09
1832,4.058990921151917e-09,1.3529969367098715e-09
1833,2.89590715851773e-08,5.791814139399776e-09
1834,2.240287422239362e-08,2.42697808516823e-08
1835,8.31939672707449e-09,1.739510224751939e-08
1836,6.048674894287842e-09,7.392825018825988e-09
1837,1.1132625488130543e-08,2.2265250976261086e-08
1838,6.312161904276081e-10,8.2058102535143e-09
1839,5.5931801412612e-09,2.7965900706306e-09
1840,7.0066574764382494e-09,5.732719632334238e-09
1841,2.5682194149112547e-09,1.926164472365599e-08
1842,1.0062397137744483e-08,2.1466448174578545e-08
1843,8.860366662588604e-09,2.3627643841450663e-08
1844,7.683985892015244e-09,3.841992946007622e-09
1845,7.254296274794569e-09,3.738752596404993e-08
1846,8.196302303531411e-09,1.3465353276842507e-08
1847,1.0786447290911383e-08,5.9325460100012606e-09
1848,4.82713291560799e-09,1.126331028444838e-08
1849,2.513824481908955e-09,8.379414939696517e-10
1850,4.752297222410107e-09,7.467895635215882e-09
1851,1.2898877521649865e-08,1.3543821175687754e-08
1852,1.9531636308300904e-09,5.208436348880241e-09
1853,5.3747388761848924e-09,1.4332636411040767e-08
1854,1.2469595134234623e-08,1.8184826089395756e-08
1855,5.306937111981824e-09,9.021793090369101e-09
1856,1.8120163147727908e-08,7.248064815001953e-09
1857,2.4407544874094356e-09,7.810414537345878e-09
1858,8.31924928945682e-09,7.34051397444091e-09
1859,7.638259802433822e-09,9.675129142294736e-09
