year,veuillez_VERB entrer_VERB,veuillez_VERB rentrer_VERB
1800,0.0,0.0
1801,4.7623651688866175e-09,0.0
1802,1.1189200677108602e-08,0.0
1803,1.950339223455444e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,2.259030518203531e-09,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,3.113746815941454e-09,0.0
1818,1.1921177378582115e-09,0.0
1819,0.0,1.035105001712111e-09
1820,0.0,0.0
1821,9.86148829262845e-10,4.930744257336528e-09
1822,7.017931125119503e-09,1.0025615893027862e-09
1823,1.9765373782121287e-09,0.0
1824,4.210556348027694e-09,0.0
1825,8.805443041381977e-10,0.0
1826,0.0,0.0
1827,5.530363722527909e-09,0.0
1828,3.6689205562545624e-09,0.0
1829,6.001223296081548e-09,0.0
1830,0.0,1.0436835840010872e-09
1831,4.677361831184612e-09,0.0
1832,2.5706941020331442e-08,2.705993873419743e-09
1833,4.6334514003376626e-09,2.3167257001688313e-09
1834,1.3068342852307069e-08,0.0
1835,1.5882484660778573e-08,2.2689263801112247e-09
1836,7.392825018825988e-09,6.720750067579218e-10
1837,1.1828414692161004e-08,0.0
1838,1.009945904684173e-08,0.0
1839,7.690622805256453e-09,1.3982950353153e-09
1840,1.2739377552861697e-08,0.0
1841,6.420548537278137e-09,4.494383976094696e-09
1842,1.2074877098200432e-08,2.683306021822318e-09
1843,1.00417489878879e-08,1.1813822142769936e-09
1844,1.975881991356232e-08,8.781698035420504e-09
1845,1.4508592993678349e-08,5.580227946389016e-10
1846,2.0490755092694712e-08,4.0981509297211005e-09
1847,1.0786447290911383e-08,4.314578916364553e-09
1848,6.43617736884039e-09,0.0
1849,1.759677159540729e-08,0.0
1850,4.752297222410107e-09,4.752297222410107e-09
1851,1.4188764829725642e-08,0.0
1852,1.1067927241370512e-08,0.0
1853,1.134667049207394e-08,5.971931837933653e-10
1854,8.832629516675183e-09,2.5978321716024766e-09
1855,1.326734277995456e-08,0.0
1856,1.0872097444547535e-08,2.0708756931497874e-09
1857,1.513267777752958e-08,9.763018171682347e-10
1858,2.0064072181469328e-08,0.0
1859,3.055303920973529e-08,4.073738679721828e-09
1860,2.197048232233101e-08,4.1194655464593666e-09
1861,1.3676295207432076e-08,3.3011746669586728e-09
1862,7.68057684119583e-09,0.0
1863,1.4484400345793347e-08,4.994620828036034e-10
1864,2.7329949414678367e-08,0.0
1865,8.001635576349031e-09,9.41368871743009e-10
1866,1.2650593683716238e-08,9.731225825149181e-10
1867,1.455843445796745e-08,4.367530337390235e-09
1868,1.1855697756857353e-08,5.433861582915256e-09
1869,9.767038289254515e-09,4.883519144627257e-10
1870,6.880858549607183e-09,2.8670243956696595e-09
1871,1.274541272522356e-08,0.0
1872,1.2094678591978436e-08,6.047339295989218e-10
1873,1.4366410727717494e-08,0.0
1874,2.0313671633687136e-08,8.961914044203212e-09
1875,1.8881038954532414e-08,6.293679799540541e-09
1876,1.269663130187837e-08,2.418405919968336e-09
1877,1.4843558382438005e-08,6.184815992682502e-10
1878,1.872117483259217e-08,1.2078177347163432e-09
1879,1.221865053580018e-08,4.27652757650776e-09
1880,2.9522092326317306e-08,0.0
1881,3.2073534050880426e-08,9.064259787194828e-09
1882,1.4641847734253588e-08,1.3310770263785798e-09
1883,2.0221884611260066e-08,1.895801682305631e-09
1884,1.2543224237049344e-08,0.0
1885,1.2246707647989297e-08,4.511944928786704e-09
1886,2.452316305578961e-08,6.453463874400711e-10
1887,8.487601954598745e-09,0.0
1888,2.4728397107764977e-08,6.340614699951175e-10
1889,1.8795409673089125e-08,0.0
1890,1.9007720730712663e-08,5.243509293428872e-09
1891,5.736797703548291e-09,1.9122659011827636e-09
1892,1.191017373614045e-08,0.0
1893,1.1700991731089516e-08,2.463366621796581e-09
1894,1.1972924873759894e-08,1.8904617871129403e-09
1895,1.0833505648122355e-08,1.8055843487019274e-09
1896,1.592197840238896e-08,0.0
1897,1.806281213490024e-08,2.9133566670225264e-09
1898,2.772593887812036e-08,5.6583548957434e-10
1899,1.1055156790007459e-08,2.2110313580014918e-09
1900,1.038210584169974e-08,1.5573159428683425e-09
1901,8.38310842965484e-09,0.0
1902,1.2275709782016975e-08,0.0
1903,1.4040572704487886e-08,0.0
1904,4.837162670412454e-09,0.0
1905,8.773290538499623e-09,0.0
1906,1.0288368823552219e-08,2.0576738091193647e-09
1907,1.1828539481228972e-08,0.0
1908,1.2769611590357499e-08,2.9468334439286537e-09
1909,1.4302557360679202e-08,2.2003934230241384e-09
1910,6.412980813053082e-09,5.344150677544235e-10
1911,1.2236860413850081e-08,5.320374141248863e-10
1912,1.1981668546212632e-08,3.125652792146383e-09
1913,1.3257474229533273e-08,5.30298971401777e-10
1914,8.705766774141921e-09,6.027069510139427e-09
1915,4.712304768617059e-09,0.0
1916,7.691223435912775e-09,0.0
1917,7.676497326691845e-09,0.0
1918,2.2972752589112133e-09,1.1486376294556067e-09
1919,9.207848705727883e-09,9.207848372660976e-10
1920,6.815008557481406e-09,7.572231730534895e-10
1921,1.8931868517313433e-08,4.543648568500203e-09
1922,9.591315963675129e-09,2.951174193910333e-09
1923,6.369568872344189e-09,0.0
1924,1.0313299325659386e-08,0.0
1925,1.5397449093512705e-08,2.1996355847875293e-09
1926,1.3375366592072169e-08,0.0
1927,3.9022287623424745e-08,0.0
1928,1.2568645235688791e-08,0.0
1929,1.1140406375176326e-08,0.0
1930,1.1553964007759987e-08,1.0503603542488804e-09
1931,9.124285327288817e-09,2.2810713318222042e-09
1932,1.3151443933878681e-08,0.0
1933,6.882397318719313e-09,0.0
1934,8.38710612072191e-09,0.0
1935,2.752705352548901e-08,0.0
1936,1.333718602225531e-08,0.0
1937,1.636845392560815e-08,0.0
1938,7.779128785578848e-09,2.5930428915188486e-09
1939,1.2235240376412548e-08,0.0
1940,1.0143131667916805e-08,2.5357829169792012e-09
1941,0.0,0.0
1942,9.102635090130207e-09,6.068423541449874e-09
1943,2.9032352077962287e-09,0.0
1944,1.2852744646352221e-08,0.0
1945,1.089252021913012e-08,0.0
1946,2.3665877257883494e-08,0.0
1947,1.0728783861324587e-08,0.0
1948,1.848220954059343e-08,1.0871887834440486e-09
1949,7.853606653895895e-09,0.0
1950,7.444753036267571e-09,0.0
1951,7.462981455041984e-09,2.1322803522849654e-09
1952,7.381362521208246e-09,0.0
1953,1.4005975268460702e-08,0.0
1954,1.9545072227344917e-09,0.0
1955,9.385607846468247e-09,1.8771215692936494e-09
1956,1.831439710997529e-08,0.0
1957,1.1485548734313511e-08,1.7670075402875796e-09
1958,1.8198936135860322e-08,8.272243445794913e-10
1959,1.4726421415645063e-08,0.0
1960,7.612916741450704e-09,0.0
1961,1.59807664878997e-08,0.0
1962,8.244543270308213e-09,0.0
1963,1.2932106496776896e-08,1.2932106496776896e-09
1964,1.5818317766758128e-08,1.2167936658258327e-09
1965,7.660860834590721e-09,0.0
1966,1.8278947244709798e-08,1.1078149508847446e-09
1967,8.874603940611792e-09,9.860671168482327e-10
1968,5.389699020419414e-09,3.5931326525240337e-09
1969,8.62933968726054e-09,4.5417578031781147e-10
1970,1.0117194859660117e-08,0.0
1971,4.624557625731995e-09,1.0276794970565106e-09
1972,3.0780880067027283e-09,0.0
1973,8.821126273872437e-09,5.513203782392395e-10
1974,9.00091468025721e-09,1.1251143350321513e-09
1975,7.4249242310031605e-09,5.711480177694739e-10
1976,9.141642998145016e-09,5.713526873840635e-10
1977,6.464459856303506e-09,1.1753563677885381e-09
1978,7.128709622605811e-09,1.7821774056514528e-09
1979,1.0533552252667278e-08,0.0
1980,6.822180820265089e-09,5.685150683554241e-10
1981,5.0604397339171214e-09,6.325549528618524e-10
1982,2.483000915987077e-09,0.0
1983,1.2630632095778083e-08,0.0
1984,6.378909400694965e-09,0.0
1985,4.210890636180409e-09,6.015558051686298e-10
1986,7.79283104712647e-09,5.994485463567401e-10
1987,5.499735000746853e-09,1.8332451112712533e-09
1988,1.199310739607995e-08,1.1993107618124554e-09
1989,1.0976244357863152e-09,0.0
1990,4.358920779878872e-09,0.0
1991,1.582595654525676e-08,0.0
1992,1.597883780846132e-08,1.1019888335184191e-09
1993,6.647049133334804e-09,0.0
1994,1.4242302226463721e-08,1.5824779264761446e-09
1995,2.1689803286761844e-09,1.0844901643380922e-09
1996,1.2277611816102763e-08,5.338092190498855e-10
1997,1.006927874414032e-08,0.0
1998,8.105819793158275e-09,0.0
1999,9.597422190310567e-09,0.0
2000,3.0926219363180962e-09,0.0
2001,6.133696300869573e-09,4.3812117822561447e-10
2002,8.762442771370615e-09,4.38122149670761e-10
2003,9.58392254446494e-09,0.0
2004,4.845270240583233e-09,0.0
2005,1.261049842327111e-08,1.8014998381943315e-09
2006,7.000412693969338e-09,2.8825229980711242e-09
2007,1.3980677948666198e-08,3.994479469415779e-10
2008,1.3623806971452268e-08,8.514879357157668e-10
2009,1.3827758493789588e-08,1.430457752249481e-09
2010,1.8895172537725102e-08,1.8895172093635892e-09
2011,2.4091022954308983e-08,1.1471915639660324e-09
2012,3.6425504390535934e-08,2.723402198201441e-09
2013,3.235385115374356e-08,2.7891250975464743e-09
2014,2.7501153354592134e-08,2.598534165620947e-09
2015,3.2805316685369235e-08,1.9949178142741886e-09
2016,3.169150275539323e-08,2.6927420293532123e-09
2017,2.4149868771417005e-08,2.264050197320344e-09
2018,3.175204099647999e-08,2.323319980845895e-09
2019,3.5458729286119706e-08,2.0407902590058313e-09
